0,0,0
1,1997,23321
2,1998,4059
3,1999,23321
4,2000,4059
5,2001,4059
6,2002,4059
7,2003,35180
8,2004,35180
9,2005,23321
10,2006,4059
11,2007,4059
12,2008,23321
13,2009,4059
14,2010,35180
15,2011,35180
16,2012,23321
17,2013,35180
18,2014,4059
19,2015,23321
20,2016,4059
21,2017,4059
22,2018,35180
23,2019,35180
24,2020,35180
25,2021,23321
26,2022,23321
27,2023,35180
28,2024,4059
29,2025,4357
30,2026,23321
31,2027,4059
32,2028,4059
33,2029,4059
34,2030,35180
35,2031,4059
36,2032,23321
37,2033,23321
38,2034,23321
39,2041,23321
40,2042,4059
41,2043,23321
42,2044,4059
43,2045,35180
44,2046,4059
45,2047,35180
46,2048,4059
47,2049,35180
48,2050,35180
49,2051,35180
50,2052,23321
51,2053,23321
52,2054,23321
53,2055,23321
54,2056,23321
55,2057,35180
56,2058,35180
57,2059,23321
58,2060,35180
59,2061,4059
60,2062,23321
61,2063,23321
62,2064,23321
63,2065,35180
64,2066,35180
65,2067,35180
66,2068,23321
67,2069,23321
68,2070,23321
69,2071,35180
70,2072,35180
71,2073,35180
72,2074,35180
73,2075,23321
74,2076,23321
75,2077,23321
76,2078,4059
77,2079,4059
78,2080,4059
79,2081,23321
80,2082,23321
81,2083,23321
82,2084,23321
83,2085,35180
