pretty			可愛（かわい）
strict	with	に	厳（きび）し
glad			嬉（うれ）し
kind			優（やさ）し
careful	about	に	注意深（ちゅういぶか）
noisy			うるさ
warm-hearted			心温（こころあた）か
tall			背（せ）が高（たか）
short			背（せ）が低（ひく）
poor			貧（まず）し
polite			礼儀正（れいぎただ）し
distant			水（みず）くさ
slender			細（ほそ）
likable			感（かん）じ良（よ）
jealous	of	に	嫉妬深（しっとぶか）
sly (cunning)			ずる
small			（サイズなどが）小（ちいさ）
little			小（ちいさ）
big			大（おお）き
large			（サイズなどが）大（おお）き
loud			声（こえ）が大（おお）き
lovely			愛（あい）らし　
heavy			重（おも）
light			軽（かる）
slow			とろ
cold			冷（つめ）た
great			とても素晴（すば）らし
difficult			気難（きむずか）し
funny			おもしろ
cool			かっこ良（よ）
short-tempered			気（き）が短（みじか）
gentle			穏（おだ）やかで優（やさ）し
right			正（ただ）し
wrong			悪（わる）
untidy			だらしな
snappy			口（くち）うるさ
annoying			うっとうし
"humble (modest, reserved)"			つつまし
decent (well-dressed)			身（み）だしなみが良（よ）
boring			つまらな
amazing			すご
