step-1	am	is	are								だ
	am	is	are	not							ではない
	was	was	were								だった
	was	was	were	not							ではなかった
step-2	am	is	are	going to	be						になる予定（よてい）だ
	am	is	are	not going to	be						になる予定（よてい）ではない
	was	was	were	going to	be						になる予定（よてい）だった
	was	was	were	not going to	be						になる予定（よてい）ではなかった
	want	wants	want	to	be						でいたい
	do not want	does not want	do not want	to	be						でいたくない
	wanted	wanted	wanted	to	be						でいたかった
	did not want	did not want	did not want	to	be						でいたくなかった
	have	has	have	to	be						でいなければいけない
	do not have	does not have	do not have	to	be						でいなくてもいい
	had	had	had	to	be						でいなければいけなかった
	did not have	did not have	did not have	to	be						でいなくてもよかった
step-3	will	will	will		be						だろう
	will	will	will	not	be						ではないだろう
	may	may	may		be						かもしれない
	may	may	may	not	be						ではないかもしれない
	can	can	can		be						である可能性（かのうせい）がある
	can	can	can	not	be						である可能性（かのうせい）はない
	should	should	should		be						であるほうがいい
	should	should	should	not	be						ではないほうがいい
	should	should	should		be						であるはずだ
	should	should	should	not	be						ではないはずだ
	must	must	must		be						にちがいない
	must	must	must	not	be						であってはいけない
	had better	had better	had better	 	be						でいるべきだ
	had better	had better	had better	not	be						でいるべきではない
	will have	will have	will have	to	be						でなければいけないだろう
	will	will	will	not have to	be						でなくてもいいだろう
	may have	may have	may have	to	be						でなければいけないかもしれない
	may	may	may	not have to	be						でなくてもいいかもしれない
step-4	have	has	have		been	形容詞			（ずっと）	形容詞	だ
	have	has	have	not	been	形容詞			（ずっと）	形容詞	ではない
	have	has	have		been	形容詞				形容詞	だったことがある
	have	has	have	not	been	形容詞				形容詞	だったことはない
	had	had	had		been	形容詞	till then		それまでずっと	形容詞	だった
	had	had	had	not	been	形容詞	till then		それまでずっと	形容詞	ではなかった
	had	had	had		been	形容詞	before that		それ以前（いぜん）	形容詞	だったことがあった
	had	had	had	not	been	形容詞	before that		それ以前（いぜん）	形容詞	だったことはなかった
step-5	may have	may have	may have		been						だったかもしれない
	may not have	may not have	may not have		been						ではなかったかもしれない
	can not have	can not have	can not have		been						だったはずがない
	should have	should have	should have		been						でいるほうがよかった
	should not have	should not have	should not have		been						でいないほうがよかった
	must have	must have	must have		been						だったにちがいない
	must not have	must not have	must not have		been						ではなかったにちがいない
step-6	would	would	would		be						だっただろう
	would	would	would	not	be						ではなかっただろう
	would have	would have	would have		been						だったことだろう
	would not have	would not have	would not have		been						ではなかったことだろう
	could have	could have	could have		been						だった可能性（かのうせい）がある
	could not have	could not have	could not have		been						だった可能性（かのうせい）はない
	might have	might have	might have		been						だったかもしれなかった
	might not have	might not have	might not have		been						ではなかったかもしれなかった
