thankful	for	[物事（ものごと）]に	感謝（かんしゃ）し
shocked	at	に	ショックを受（う）け
impressed	with	に	感動（かんどう）し
wrong			間違（まちが）っ
satisfied	with	に	満足（まんぞく）し
lost			途方（とほう）にくれ
half-asleep			寝（ね）ぼけ
absent-minded			ぼうっとし
picky	about	に	こだわっ
excellent			優（すぐ）れ
prepared			用意（ようい）し
ready	for	の	準備（じゅんび）はでき
worried	about	を	心配（しんぱい）し
awake			目（め）が覚（さ）め
well-liked			好（す）かれ
alive			生（い）き
absent	from	を	欠席（けっせき）し
proud	of	を	誇（ほこ）りに思（おも）っ
hardworking (diligent)			よく働（はたら）い
available			手（て）が空（あ）い
familiar	with	を	（よく）知（し）っ
loving			愛情（あいじょう）にあふれ
creative (imaginative)			想像力（そうぞうりょく）にあふれ
dependent (reliant)	on	に	頼（たよ）っ
dependent (reliant)	on	に	依存（いぞん）し
thrilled	with	に	ゾクゾクし
amazed	at	に	[心地（ここち）よく]驚（おどろ）い
amazed	at	に	呆気（あっけ）にとられ
