step-1	am	is	are								い
	am	is	are	not							くない
	was	was	were								かった
	was	was	were	not							くなかった
	become	becomes	become								くなる
	do	does	do	not	become						くならない
	became	became	became								くなった
	did	did	did	not	become						くならなかった
	am	is	are		becoming						くなってきている
	am	is	are	not	becoming						くなってきていない
	was	was	were		becoming						くなってきていた
	was	was	were	not	becoming						くなってきていなかった
step-2	am	is	are	going to	be						くしている予定（よてい）だ
	am	is	are	not going to	be						くしている予定（よてい）ではない
	am	is	are	going to	become						くなる予定（よてい）だ
	am	is	are	not going to	become						くなる予定（よてい）ではない
	was	was	were	going to	be						くしている予定（よてい）だった
	was	was	were	not going to	be						くしている予定（よてい）ではなかった
	was	was	were	going to	become						くなる予定（よてい）だった
	was	was	were	not going to	become						くなる予定（よてい）ではなかった
	am	is	are	able to	become						くなることができる
	am	is	are	not able to	become						くなることはできない
	was	was	were	able to	become						くなることができた
	was	was	were	not able to	become						くなることはできなかった
				could not	become						くなることはできなかった
	am	is	are	supposed to	become						くなることになっている
	am	is	are	not supposed to	become						くなってはいけない
	was	was	were	supposed to	become						くなることになっていた
	was	was	were	not supposed to	become						くなってはいけなかった
	want	wants	want	to	be						くしていたい
	do not want	does not want	do not want	to	be						くしていたくない
	wanted	wanted	wanted	to	be						くしていたかった
	did not want	did not want	did not want	to	be						くしていたくなかった
	want	wants	want	to	become						くなりたい
	do not want	does not want	do not want	to	become						くなりたくない
	wanted	wanted	wanted	to	become						くなりたかった
	did not want	did not want	did not want	to	become						くなりたくなかった
	have	has	have	to	be						くしていなければいけない
	do not have	does not have	do not have	to	be						くしていなくてもいい
	had	had	had	to	be						くしていなければいけなかった
	did not have	did not have	did not have	to	be						くしていなくてもよかった
	have	has	have	to	become						くならなければいけない
	do not have	does not have	do not have	to	become						くならなくてもいい
	had	had	had	to	become						くならなければいけなかった
	did not have	did not have	did not have	to	become						くならなくてもよかった
step-3	will	will	will		be						いだろう
	will	will	will	not	be						くないだろう
	will	will	will		become						くなるだろう
	will	will	will	not	become						くならないだろう
	will	will	will	be able to	become						くなることができるだろう
	will	will	will	not be able to	become						くなることはできないだろう
	may	may	may		be						いかもしれない
	may	may	may	not	be						くないかもしれない
	may	may	may		become						くなるかもしれない
	may	may	may	not	become						くならないかもしれない
	may	may	may	be able to	become						くなることができるかもしれない
	may	may	may	not be able to	become						くなることはできないかもしれない
	can	can	can		be						い可能性（かのうせい）がある
	can	can	can	not	be						い可能性（かのうせい）はない
	can	can	can		become						くなることができる
	can	can	can	not	become						くなることはできない
	should	should	should		be						いほうがいい
	should	should	should	not	be						くないほうがいい
