step-1	am	is	are								い
	am	is	are	not							くない
	was	was	were								かった
	was	was	were	not							くなかった
	feel	feels	feel								くなる
	do	does	do	not	feel						くならない
	felt	felt	felt								くなった
	did	did	did	not	feel						くならなかった
	am	is	are		feeling						くなってきている
	am	is	are	not	feeling						くなってきていない
	was	was	were		feeling						くなってきていた
	was	was	were	not	feeling						くなってきていなかった
step-2	am	is	are	going to	be						くしている予定（よてい）だ
	am	is	are	not going to	be						くしている予定（よてい）ではない
	am	is	are	going to	feel						くなる予定（よてい）だ
	am	is	are	not going to	feel						くなる予定（よてい）ではない
	was	was	were	going to	be						くしている予定（よてい）だった
	was	was	were	not going to	be						くしている予定（よてい）ではなかった
	was	was	were	going to	feel						くなる予定（よてい）だった
	was	was	were	not going to	feel						くなる予定（よてい）ではなかった
	am	is	are	able to	feel						くなることができる
	am	is	are	not able to	feel						くなることはできない
	was	was	were	able to	feel						くなることができた
	was	was	were	not able to	feel						くなることはできなかった
				could not	feel						くなることはできなかった
	am	is	are	supposed to	feel						くなることになっている
	am	is	are	not supposed to	feel						くなってはいけない
	was	was	were	supposed to	feel						くなることになっていた
	was	was	were	not supposed to	feel						くなってはいけなかった
	want	wants	want	to	be						くしていたい
	do not want	does not want	do not want	to	be						くしていたくない
	wanted	wanted	wanted	to	be						くしていたかった
	did not want	did not want	did not want	to	be						くしていたくなかった
	want	wants	want	to	feel						くなりたい
	do not want	does not want	do not want	to	feel						くなりたくない
	wanted	wanted	wanted	to	feel						くなりたかった
	did not want	did not want	did not want	to	feel						くなりたくなかった
	have	has	have	to	be						くしていなければいけない
	do not have	does not have	do not have	to	be						くしていなくてもいい
	had	had	had	to	be						くしていなければいけなかった
	did not have	did not have	did not have	to	be						くしていなくてもよかった
	have	has	have	to	feel						くならなければいけない
	do not have	does not have	do not have	to	feel						くならなくてもいい
	had	had	had	to	feel						くならなければいけなかった
	did not have	did not have	did not have	to	feel						くならなくてもよかった
step-3	will	will	will		be						いだろう
	will	will	will	not	be						くないだろう
	will	will	will		feel						くなるだろう
	will	will	will	not	feel						くならないだろう
	will	will	will	be able to	feel						くなることができるだろう
	will	will	will	not be able to	feel						くなることはできないだろう
	may	may	may		be						いかもしれない
	may	may	may	not	be						くないかもしれない
	may	may	may		feel						くなるかもしれない
	may	may	may	not	feel						くならないかもしれない
	may	may	may	be able to	feel						くなることができるかもしれない
	may	may	may	not be able to	feel						くなることはできないかもしれない
	can	can	can		be						い可能性（かのうせい）がある
	can	can	can	not	be						い可能性（かのうせい）はない
	can	can	can		feel						くなることができる
	can	can	can	not	feel						くなることはできない
