afraid	of	が	怖（こわ）	b
beautiful			美（うつく）し	b
cheerful			明（あかる）	b
"clever (smart, sharp)"			賢（かしこ）	b
close	to	と	親（した）し	b
patient			辛抱強（しんぼうづよ）	b
"quiet (silent, calm)"			大人（おとな）し	b
"smart (clever, sharp)"			頭（あたま）が良（よ）	b
strong			強（つよ）	b
ugly			醜（みにく）	b
weak			弱（よわ）い	b
young			若（わか）	b
ashamed	of	が	恥（は）ずかし	f
comfortable	with	と一緒（いっしょ）で	心地（ここち）良（よ）	f
embarrassed			ばつが悪（わる）	f
empty			空（むな）し	f
happy			楽（たの）し	f
lonely			寂（さみ）し	f
sad			悲（かな）し	f
better			もっと良（よ）	g
busy			忙（いそが）し	g
crazy			頭（あたま）がおかし	g
dirty			汚（きた）な	g
forgetful			忘（わす）れっぽ	g
lucky			運（うん）が良（よ）	g
unlucky	of	が	運（うん）が悪（わる）	g
worse			もっと悪（わる）	g
scared			怖（こわ）	g
sleepy (drowsy)			眠（ねむ）	g
