step-1	am	is	are								だ
	am	is	are	not							ではない
	was	was	were								だった
	was	was	were	not							ではなかった
	become	becomes	become								になる
	do	does	do	not	become						にならない
	became	became	became								になった
	did	did	did	not	become						にならなかった
	am	is	are		becoming						になってきている
	am	is	are	not	becoming						になってきていない
	was	was	were		becoming						になってきていた
	was	was	were	not	becoming						になってきていなかった
step-2	am	is	are	going to	be						でいる予定（よてい）だ
	am	is	are	not going to	be						でいる予定（よてい）ではない
	am	is	are	going to	become						になる予定（よてい）だ
	am	is	are	not going to	become						になる予定（よてい）ではない
	was	was	were	going to	be						でいる予定（よてい）だった
	was	was	were	not going to	be						でいる予定（よてい）ではなかった
	was	was	were	going to	become						になる予定（よてい）だった
	was	was	were	not going to	become						になる予定（よてい）ではなかった
	am	is	are	able to	become						になることができる
	am	is	are	not able to	become						になることができない
	was	was	were	able to	become						になることができた
	was	was	were	not able to	become						になることができなかった
				could not	become						になることはできなかった
	am	is	are	supposed to	become						になることになっている
	am	is	are	not supposed to	become						になってはいけない
	was	was	were	supposed to	become						になることになっていた
	was	was	were	not supposed to	become						になってはいけなかった
	want	wants	want	to	be						でいたい
	do not want	does not want	do not want	to	be						でいたくない
	wanted	wanted	wanted	to	be						でいたかった
	did not want	did not want	did not want	to	be						でいたくなかった
	want	wants	want	to	become						になりたい
	do not want	does not want	do not want	to	become						になりたくない
	wanted	wanted	wanted	to	become						になりたかった
	did not want	did not want	did not want	to	become						になりたくなかった
	have	has	have	to	be						でいなければいけない
	do not have	does not have	do not have	to	be						でいなくてもいい
	had	had	had	to	be						でいなければいけなかった
	did not have	did not have	did not have	to	be						でいなくてもよかった
	have	has	have	to	become						にならなければいけない
	do not have	does not have	do not have	to	become						にならなくてもいい
	had	had	had	to	become						にならなければいけなかった
	did not have	did not have	did not have	to	become						にならなくてもよかった
step-3	will	will	will		be						だろう
	will	will	will	not	be						ではないだろう
	will	will	will		become						になるだろう
	will	will	will	not	become						にならないだろう
	will	will	will	be able to	become						になることができるだろう
	will	will	will	not be able to	become						になることができないだろう
	may	may	may		be						かもしれない
	may	may	may	not	be						ではないかもしれない
	may	may	may		become						になるかもしれない
	may	may	may	not	become						にならないかもしれない
	may	may	may	be able to	become						になることができるかもしれない
	may	may	may	not be able to	become						になることはできないかもしれない
	can	can	can		be						の可能性（かのうせい）がある
	can	can	can	not	be						の可能性（かのうせい）はない
	can	can	can		become						になることができる
	can	can	can	not	become						になることはできない
	should	should	should		be						のほうがいい
	should	should	should	not	be						ではないほうがいい
	should	should	should		become						になるほうがいい
	should	should	should	not	become						にならないほうがいい
	should	should	should		be						のはずだ
	should	should	should	not	be						のはずではない
	should	should	should		become						になるはずだ
	should	should	should	not	become						にならないはずだ
	should	should	should	be able to	become						になれるはずだ
	should	should	should	not be able to	become						になれるはずがない
	must	must	must		be						にちがいない
	must	must	must	not	be						でいてはいけない
	must	must	must		become						になるにちがいない
	must	must	must	not	become						になってはいけない
	must	must	must	be able to	become						になれるにちがいない
	must	must	must	not be able to	become						になれないにちがいない
	had better	had better	had better		be						でいるべきだ
	had better	had better	had better	not	be						でいるべきではない
	had better	had better	had better		become						になるべきだ
	had better	had better	had better	not	become						になるべきではない
	will have	will have	will have	to	be						でいなければいけないだろう
	will not have	will not have	will not have	to	be						でいなくてもいいだろう
	will have	will have	will have	to	become						にならなければいけないだろう
