step-1	am	is	are								だ
	am	is	are	not							ではない
	was	was	were								だった
	was	was	were	not							ではなかった
	go	goes	go								になる
	do	does	do	not	go						にならない
	went	went	went								になった
	did	did	did	not	go						にならなかった
	am	is	are		going						になってきている
	am	is	are	not	going						になってきていない
	was	was	were		going						になってきていた
	was	was	were	not	going						になってきていなかった
step-2	am	is	are	going to	be						でいる予定（よてい）だ
	am	is	are	not going to	be						でいる予定（よてい）ではない
	am	is	are	going to	go						になる予定（よてい）だ
	am	is	are	not going to	go						になる予定（よてい）ではない
	was	was	were	going to	be						でいる予定（よてい）だった
	was	was	were	not going to	be						でいる予定（よてい）ではなかった
	was	was	were	going to	go						になる予定（よてい）だった
	was	was	were	not going to	go						になる予定（よてい）ではなかった
	am	is	are	able to	go						になることができる
	am	is	are	not able to	go						になることができない
	was	was	were	able to	go						になることができた
	was	was	were	not able to	go						になることができなかった
				could not	go						になることはできなかった
	am	is	are	supposed to	go						になることになっている
	am	is	are	not supposed to	go						になってはいけない
	was	was	were	supposed to	go						になることになっていた
	was	was	were	not supposed to	go						になってはいけなかった
	want	wants	want	to	be						でいたい
	do not want	does not want	do not want	to	be						でいたくない
	wanted	wanted	wanted	to	be						でいたかった
	did not want	did not want	did not want	to	be						でいたくなかった
	want	wants	want	to	go						になりたい
	do not want	does not want	do not want	to	go						になりたくない
	wanted	wanted	wanted	to	go						になりたかった
	did not want	did not want	did not want	to	go						になりたくなかった
	have	has	have	to	be						でいなければいけない
	do not have	does not have	do not have	to	be						でいなくてもいい
	had	had	had	to	be						でいなければいけなかった
	did not have	did not have	did not have	to	be						でいなくてもよかった
	have	has	have	to	go						にならなければいけない
	do not have	does not have	do not have	to	go						にならなくてもいい
	had	had	had	to	go						にならなければいけなかった
	did not have	did not have	did not have	to	go						にならなくてもよかった
step-3	will	will	will		be						だろう
	will	will	will	not	be						ではないだろう
	will	will	will		go						になるだろう
	will	will	will	not	go						にならないだろう
	will	will	will	be able to	go						になることができるだろう
	will	will	will	not be able to	go						になることができないだろう
	may	may	may		be						かもしれない
	may	may	may	not	be						ではないかもしれない
	may	may	may		go						になるかもしれない
	may	may	may	not	go						にならないかもしれない
	may	may	may	be able to	go						になることができるかもしれない
	may	may	may	not be able to	go						になることはできないかもしれない
	can	can	can		be						の可能性（かのうせい）がある
	can	can	can	not	be						の可能性（かのうせい）はない
	can	can	can		go						になることができる
	can	can	can	not	go						になることはできない
	should	should	should		be						のほうがいい
	should	should	should	not	be						ではないほうがいい
	should	should	should		go						になるほうがいい
	should	should	should	not	go						にならないほうがいい
	should	should	should		be						のはずだ
	should	should	should	not	be						のはずではない
	should	should	should		go						になるはずだ
	should	should	should	not	go						にならないはずだ
	should	should	should	be able to	go						になれるはずだ
	should	should	should	not be able to	go						になれるはずがない
	must	must	must		be						にちがいない
	must	must	must	not	be						でいてはいけない
	must	must	must		go						になるにちがいない
	must	must	must	not	go						になってはいけない
	must	must	must	be able to	go						になれるにちがいない
	must	must	must	not be able to	go						になれないにちがいない
	had better	had better	had better		be						でいるべきだ
	had better	had better	had better	not	be						でいるべきではない
	had better	had better	had better		go						になるべきだ
	had better	had better	had better	not	go						になるべきではない
	will have	will have	will have	to	be						でいなければいけないだろう
	will not have	will not have	will not have	to	be						でいなくてもいいだろう
	will have	will have	will have	to	go						にならなければいけないだろう
	will not have	will not have	will not have	to	go						にならなくてもいいだろう
