step-1	am	is	are								っている
	am	is	are	not							っていない
	was	was	were								っていた
	was	was	were	not							っていなかった
	become	becomes	become								う
	do	does	do	not	become						わない
	became	became	became								った
	did	did	did	not	become						わなかった
	am	is	are		becoming						ってきている
	am	is	are	not	becoming						ってきていない
	was	was	were		becoming						ってきていた
	was	was	were	not	becoming						ってきていなかった
step-2	am	is	are	going to	be						っている予定（よてい）だ
	am	is	are	not going to	be						っている予定（よてい）ではない
	am	is	are	going to	become						う予定（よてい）だ
	am	is	are	not going to	become						う予定（よてい）ではない
	was	was	were	going to	be						っている予定（よてい）だった
	was	was	were	not going to	be						っている予定（よてい）ではなかった
	was	was	were	going to	become						う予定（よてい）だった
	was	was	were	not going to	become						う予定（よてい）ではなかった
	am	is	are	able to	become						うことができる
	am	is	are	not able to	become						うことはできない
	was	was	were	able to	become						うことができた
	was	was	were	not able to	become						うことはできなかった
				could not	become						うことはできなかった
	am	is	are	supposed to	become						うことになっている
	am	is	are	not supposed to	become						ってはいけない
	was	was	were	supposed to	become						うことになっていた
	was	was	were	not supposed to	become						ってはいけなかった
	want	wants	want	to	be						っていたい
	do not want	does not want	do not want	to	be						っていたくない
	wanted	wanted	wanted	to	be						っていたかった
	did not want	did not want	did not want	to	be						っていたくなかった
	want	wants	want	to	become						いたい
	do not want	does not want	do not want	to	become						いたくない
	wanted	wanted	wanted	to	become						いたかった
	did not want	did not want	did not want	to	become						いたくなかった
	have	has	have	to	be						っていなければいけない
	do not have	does not have	do not have	to	be						っていなくてもいい
	had	had	had	to	be						っていなければいけなかった
	did not have	did not have	did not have	to	be						っていなくてもよかった
	have	has	have	to	become						わなければいけない
	do not have	does not have	do not have	to	become						わなくてもいい
	had	had	had	to	become						わなければいけなかった
	did not have	did not have	did not have	to	become						わなくてもよかった
step-3	will	will	will		be						っているだろう
	will	will	will	not	be						っていないだろう
	will	will	will		become						うだろう
	will	will	will	not	become						わないだろう
	will	will	will	be able to	become						うことができるだろう
	will	will	will	not be able to	become						うことはできないだろう
	may	may	may		be						っているかもしれない
	may	may	may	not	be						っていないかもしれない
	may	may	may		become						うかもしれない
	may	may	may	not	become						わないかもしれない
	may	may	may	be able to	become						うことができるかもしれない
	may	may	may	not be able to	become						うことはできないかもしれない
	can	can	can		be						っている可能性（かのうせい）がある
	can	can	can	not	be						っている可能性（かのうせい）はない
	can	can	can		become						うことができる
	can	can	can	not	become						うことはできない
	should	should	should		be						っているほうがいい
	should	should	should	not	be						っていないほうがいい
	should	should	should		become						うほうがいい
	should	should	should	not	become						わないほうがいい
	should	should	should		be						っているはずだ
	should	should	should	not	be						っているはずではない
	should	should	should		become						うはずだ
	should	should	should	not	become						わないはずだ
	should	should	should	be able to	become						うことができるはずだ
	should	should	should	not be able to	become						うことができるはずがない
	must	must	must		be						っているにちがいない
	must	must	must	not	be						っていてはいけない
	must	must	must		become						うにちがいない
	must	must	must	not	become						ってはいけない
	must	must	must	be able to	become						うことができるにちがいない
	must	must	must	not be able to	become						うことはできないにちがいない
	had better	had better	had better		be						っているべきだ
	had better	had better	had better	not	be						っているべきではない
	had better	had better	had better		become						うべきだ
	had better	had better	had better	not	become						うべきではない
	will have	will have	will have	to	be						っていなければいけないだろう
	will not have	will not have	will not have	to	be						っていなくてもいいだろう
	will have	will have	will have	to	become						わなければいけないだろう
	will not have	will not have	will not have	to	become						わなくてもいいだろう
	will have	will have	will have	to be able to	become						うことができなければいけないだろう
	will not have	will not have	will not have	to be able to	become						うことはできなくてもいいだろう
	may have	may have	may have	to	be						っていなければいけないかもしれない
	may not have	may not have	may not have	to	be						っていなくてもいいかもしれない
	may have	may have	may have	to	become						わなければいけないかもしれない
	may not have	may not have	may not have	to	become						わなくてもいいかもしれない
	may have	may have	may have	to be able to	become						うことができなければいけないかもしれない
	may not have	may not have	may not have	to be able to	become						うことはできなくてもいいかもしれない
step-4	have	has	have		been				（ずっと）	形容詞	っている
	have	has	have	not	been				（ずっと）	形容詞	っていない
	have	has	have		been						っていたことがある
	have	has	have	not	been						っていたことはない
	have	has	have		become						ったことがある
	have	has	have	not	become						ったことはない
	had	had	had		been		till then		それまでずっと	形容詞	っていた
	had	had	had	not	been		till then		それまでずっと	形容詞	っていなかった
	had	had	had		been		before that		それ以前（いぜん）	形容詞	っていたことがあった
	had	had	had	not	been		before that		それ以前（いぜん）	形容詞	っていたことはなかった
	had	had	had		become		before that		それ以前（いぜん）	形容詞	ったことがあった
	had	had	had	not	become		before that		それ以前（いぜん）	形容詞	ったことはなかった
step-5	may have	may have	may have		been						っていたかもしれない
	may not have	may not have	may not have		been						っていなかったかもしれない
	may have	may have	may have		become						ったかもしれない
	may not have	may not have	may not have		become						わなかったかもしれない
	can not have	can not have	can not have		been						っていたはずがない
	can not have	can not have	can not have		become						ったはずがない
	should have	should have	should have		been						っているほうがよかった
	should not have	should not have	should not have		been						っていないほうがよかった
	should have	should have	should have		become						うほうがよかった
	should not have	should not have	should not have		become						わないほうがよかった
	must have	must have	must have		been						っていたにちがいない
	must not have	must not have	must not have		been						っていなかったにちがいない
	must have	must have	must have		become						ったにちがいない
	must not have	must not have	must not have		become						わなかったにちがいない
step-6	would	would	would		be						っていただろう
	would	would	would	not	be						っていなかっただろう
	would	would	would		become						っただろう
	would	would	would	not	become						わなかっただろう
	would have	would have	would have		been						っていたことだろう
	would not have	would not have	would not have		been						っていなかったことだろう
	would have	would have	would have		become						ったことだろう
	would not have	would not have	would not have		become						わなかったことだろう
	could have	could have	could have		been						っていた可能性（かのうせい）がある
	could not have	could not have	could not have		been						っていた可能性（かのうせい）はない
	could have	could have	could have		become						った可能性（かのうせい）がある
	could not have	could not have	could not have		become						った可能性（かのうせい）はない
	might have	might have	might have		been						っていたかもしれなかった
	might not have	might not have	might not have		been						っていなかったかもしれなかった
	might have	might have	might have		become						ったかもしれなかった
	might not have	might not have	might not have		become						わなかったかもしれなかった
