step-1	am	is	are								っている
	am	is	are	not							っていない
	was	was	were								っていた
	was	was	were	not							っていなかった
	become	becomes	become								つ
	do	does	do	not	become						たない
	became	became	became								った
	did	did	did	not	become						たなかった
	am	is	are		becoming						ってきている
	am	is	are	not	becoming						ってきていない
	was	was	were		becoming						ってきていた
	was	was	were	not	becoming						ってきていなかった
step-2	am	is	are	going to	be						っている予定（よてい）だ
	am	is	are	not going to	be						っている予定（よてい）ではない
	am	is	are	going to	become						つ予定（よてい）だ
	am	is	are	not going to	become						つ予定（よてい）ではない
	was	was	were	going to	be						っている予定（よてい）だった
	was	was	were	not going to	be						っている予定（よてい）ではなかった
	was	was	were	going to	become						つ予定（よてい）だった
	was	was	were	not going to	become						つ予定（よてい）ではなかった
	am	is	are	able to	become						つことができる
	am	is	are	not able to	become						つことはできない
	was	was	were	able to	become						つことができた
	was	was	were	not able to	become						つことはできなかった
				could not	become						つことはできなかった
	am	is	are	supposed to	become						つことになっている
	am	is	are	not supposed to	become						ってはいけない
	was	was	were	supposed to	become						つことになっていた
	was	was	were	not supposed to	become						ってはいけなかった
	want	wants	want	to	be						っていたい
	do not want	does not want	do not want	to	be						っていたくない
	wanted	wanted	wanted	to	be						っていたかった
	did not want	did not want	did not want	to	be						っていたくなかった
	want	wants	want	to	become						ちたい
	do not want	does not want	do not want	to	become						ちたくない
	wanted	wanted	wanted	to	become						ちたかった
	did not want	did not want	did not want	to	become						ちたくなかった
	have	has	have	to	be						っていなければいけない
	do not have	does not have	do not have	to	be						っていなくてもいい
	had	had	had	to	be						っていなければいけなかった
	did not have	did not have	did not have	to	be						っていなくてもよかった
	have	has	have	to	become						たなければいけない
	do not have	does not have	do not have	to	become						たなくてもいい
	had	had	had	to	become						たければいけなかった
	did not have	did not have	did not have	to	become						たなくてもよかった
step-3	will	will	will		be						っているだろう
	will	will	will	not	be						っていないだろう
	will	will	will		become						つだろう
	will	will	will	not	become						たないだろう
	will	will	will	be able to	become						つことができるだろう
	will	will	will	not be able to	become						つことはできないだろう
	may	may	may		be						っているかもしれない
	may	may	may	not	be						っていないかもしれない
	may	may	may		become						つかもしれない
	may	may	may	not	become						たないかもしれない
	may	may	may	be able to	become						つことができるかもしれない
	may	may	may	not be able to	become						つことはできないかもしれない
	can	can	can		be						っている可能性（かのうせい）がある
	can	can	can	not	be						っている可能性（かのうせい）はない
	can	can	can		become						つことができる
	can	can	can	not	become						つことはできない
	should	should	should		be						っているほうがいい
	should	should	should	not	be						っていないほうがいい
	should	should	should		become						つほうがいい
	should	should	should	not	become						たないほうがいい
	should	should	should		be						っているはずだ
	should	should	should	not	be						っているはずではない
	should	should	should		become						つはずだ
	should	should	should	not	become						たないはずだ
	should	should	should	be able to	become						つことができるはずだ
	should	should	should	not be able to	become						つことができるはずがない
	must	must	must		be						っているにちがいない
	must	must	must	not	be						っていてはいけない
	must	must	must		become						つにちがいない
	must	must	must	not	become						ってはいけない
	must	must	must	be able to	become						つことができるにちがいない
	must	must	must	not be able to	become						つことができないにちがいない
	had better	had better	had better		be						っているべきだ
	had better	had better	had better	not	be						っているべきではない
	had better	had better	had better		become						つべきだ
	had better	had better	had better	not	become						つべきではない
	will have	will have	will have	to	be						っていなければいけないだろう
	will not have	will not have	will not have	to	be						っていなくてもいいだろう
	will have	will have	will have	to	become						たなければいけないだろう
	will not have	will not have	will not have	to	become						たなくてもいいだろう
	will have	will have	will have	to be able to	become						つことができなければいけないだろう
	will not have	will not have	will not have	to be able to	become						つことができなくてもいいだろう
	may have	may have	may have	to	be						っていなければいけないかもしれない
	may not have	may not have	may not have	to	be						っていなくてもいいかもしれない
	may have	may have	may have	to	become						たなければいけないかもしれない
	may not have	may not have	may not have	to	become						たなくてもいいかもしれない
	may have	may have	may have	to be able to	become						つことができなければいけないかもしれない
	may not have	may not have	may not have	to be able to	become						つことができなくてもいいかもしれない
step-4	have	has	have		been					（ずっと）形容詞	っている
	have	has	have	not	been					（ずっと）形容詞	っていない
	have	has	have		been						っていたことがある
	have	has	have	not	been						っていたことはない
	have	has	have		become						ったことがある
	have	has	have	not	become						ったことはない
	had	had	had		been		till then	それまでずっと		形容詞	っていた
	had	had	had	not	been		till then	それまでずっと		形容詞	っていなかった
	had	had	had		been		before that	それ以前（いぜん）		形容詞	っていたことがあった
	had	had	had	not	been		before that	それ以前（いぜん）		形容詞	っていたことはなかった
	had	had	had		become		before that	それ以前（いぜん）		形容詞	ったことがあった
	had	had	had	not	become		before that	それ以前（いぜん）		形容詞	ったことはなかった
step-5	may have	may have	may have		been						っていたかもしれない
	may not have	may not have	may not have		been						っていなかったかもしれない
	may have	may have	may have		become						ったかもしれない
	may not have	may not have	may not have		become						たなかったかもしれない
	can not have	can not have	can not have		been						っていたはずがない
	can not have	can not have	can not have		become						ったはずがない
	should have	should have	should have		been						っているほうがよかった
	should not have	should not have	should not have		been						っていないほうがよかった
	should have	should have	should have		become						つほうがよかった
	should not have	should not have	should not have		become						たないほうがよかった
	must have	must have	must have		been						っていたにちがいない
	must not have	must not have	must not have		been						っていなかったにちがいない
	must have	must have	must have		become						ったにちがいない
	must not have	must not have	must not have		become						たなかったにちがいない
step-6	would	would	would		be						っていただろう
	would	would	would	not	be						っていなかっただろう
	would	would	would		become						っただろう
	would	would	would	not	become						たなかっただろう
	would have	would have	would have		been						っていたことだろう
	would not have	would not have	would not have		been						っていなかったことだろう
	would have	would have	would have		become						ったことだろう
	would not have	would not have	would not have		become						たなかったことだろう
	could have	could have	could have		been						っていた可能性（かのうせい）がある
	could not have	could not have	could not have		been						っていた可能性（かのうせい）はない
	could have	could have	could have		become						った可能性（かのうせい）がある
	could not have	could not have	could not have		become						った可能性（かのうせい）はない
	might have	might have	might have		been						っていたかもしれなかった
	might not have	might not have	might not have		been						っていなかったかもしれなかった
	might have	might have	might have		become						ったかもしれなかった
	might not have	might not have	might not have		become						たなかったかもしれなかった
