shallow			浅（あさ）
comfortable (cozy)			居心地（いごこち）がよ
uncomfortable (unpleasant)			居心地（いごこち）が悪（わる）
annoying			うっとうし
noisy			うるさ
nice (delicious, tasty)			美味（おい）し
scary			恐（おそ）ろし
amazing			驚（おどろ）くほど素晴（すば）らし
airy			風通（かぜとお）しが良（よ）
musty			カビ臭（くさ）
hot and spicy			辛（から）
salty			塩（しお）が多（おお）
square			四角（しかく）
tasteful			趣味（しょみ）は良（よ）
salty			しょっぱ
unbelievable			信（しん）じられな
little			少（すく）な
stressful			ストレスが多（おお）
noisy			騒々（そうぞう）し
expensive			[値段（ねだん）が]高（たか）
little			小（ちい）さ
near (close to)			近（ちか）
far	from	から	遠（とお）
bitter			にが
embarrassing			ばつが悪（わる）
terrible			ひど
deep			深（ふか）
dusty			ほこりっぽ
terrible			まず
round			丸（まる）
useless			役（やく）に立（た）たな
lukewarm			生温（なまあたた）か
pale			青白（あおじろ）
