step-1		is	are								だ
		is	are	not							ではない
		was	were								だった
		was	were	not							ではなかった
step-2		has	have	to	be						でなければならない
		does not have	do not have	to	be						でなくてもいい
		had	had	to	be						でなければならなかった
		did not have	did not have	to	be						でなくてもよかった
step-3		will	will		be						だろう
		will	will	not	be						ではないだろう
		may	may		be						かもしれない
		may	may	not	be						ではないかもしれない
		can	can		be						な・の可能性（かのうせい）がある
		can	can	not	be						な・の可能性（かのうせい）はない
		should	should		be						な・のほうがいい
		should	should	not	be						ではないほうがいい
		should	should		be						な・のはずだ
		should	should	not	be						ではないはずだ
		must	must		be						にちがいない
		must	must	not	be						であってはならない
		will have	will have	to	be						でなければいけないだろう
		will	will	not have to	be						でなくてもいいだろう
		may have	may have	to	be						でなければいけないかもしれない
		may	may	not have to	be						でなくてもいいかもしれない
step-4		has	have		been				（ずっと）	形容詞	だ
		has	have	not	been				（ずっと）	形容詞	ではない
		has	have		been					形容詞	だったことがある
		has	have	not	been					形容詞	だったことはない
		had	had		been	形容詞	till then		それまでずっと	形容詞	だった
		had	had	not	been	形容詞	till then		それまでずっと	形容詞	ではなかった
		had	had		been	形容詞	before that		それ以前（いぜん）	形容詞	だったことがあった
		had	had	not	been	形容詞	before that		それ以前（いぜん）	形容詞	だったことはなかった
step-5		may have	may have		been						だったかもしれない
		may not have	may not have		been						ではなかったかもしれない
		can not have	can not have		been						だったはずがない
		should have	should have		been						な・のほうがよかった
		should not have	should not have		been						ではないほうがよかった
		must have	must have		been						だったにちがいない
		must not have	must not have		been						ではなかったにちがいない
step-6		would	would		be						だっただろう
		would	would	not	be						ではなかっただろう
		would have	would have		been						だったことだろう
		would not have	would not have		been						ではなかったことだろう
		could have	could have		been						だった可能性（かのうせい）がある
		could not have	could not have		been						だった可能性（かのうせい）はない
		might have	might have		been						だったかもしれなかった
		might not have	might not have		been						ではなかったかもしれなかった
