probable			ありそう
surprising			意外（いがい）
bimonthly			１ヶ月（かげつ）に２度（ど）
heaping			大盛（おおも）り
surprising			驚（おどろ）き
folding			折（お）りたたみ式（しき）
pleasant			快適（かいてき）
casual			カジュアル
impressive			感動的（かんどうてき）
standard			基準（きじゅん）
seasonal			季節的（きせつてき）
memorial			記念（きねん）
weird			奇妙（きみょう）
huge (giant)			巨大（きょだい）
metallic			金属（きんぞく）
economical			経済的（けいざいてき）
expensive			高級（こうきゅう）
fare			公正（こうせい）
the last			最後（さいご）
final			最終（さいしゅう）
the first			最初（さいしょ）
the latest			最新（さいしん）
prepaid			先払（さきばら）い
various			様々（さまざま）
triangular			三角（さんかく）
homemade			自家製（じかせい）
colorful			色彩豊（しきさいゆた）か
silent			静（しず）か
natural			自然（しぜん）
modest			質素（しっそ）
plain			地味（じみ）
enough			十分（じゅうぶん）
elegant			上品（じょうひん）
edible			食用（しょくよう）
true			真実（しんじつ）
fresh			新鮮（しんせん）
brand new			新品（しんぴん）
nice			素敵（すてき）
all			すべて
mental			精神的（せいしんてき）
spiritual			精神的（せいしんてき）・霊的（れいてき）
total			全体的（ぜんたいてき）
all			全部（ぜんぶ）
instant			即時（そくじ）
simple			単純（たんじゅん）
singular			単数（たんすう）
next			次（つぎ）
handmade			手作（てづく）り
special			特別（とくべつ）
sudden			突然（とつぜん）
raw			生（なま）
bimonthly			２ヶ月（かげつ）に１度（ど）
reasonable			値段（ねだん）が手（て）ごろ
flashy (gaudy)			派手（はで）
half			半分(はんぶん)
daily			日々（ひび）
secret (confidential)			秘密（ひみつ）
standard			標準（ひょうじゅん）
formal			フォーマル
spooky			不気味（ぶきみ）
plural			複数（ふくすう）
ordinary			普通（ふつう）
partial			部分的（ぶぶんてき）
inconvenient			不便（ふべん）
convenient			便利（べんり）
real			本当（ほんとう）
real			本物（ほんもの）
weekly			毎週（まいしゅう）
annual			毎年（まいとし）
monthly			毎月（まいつき）
unusual (rare)			まれ
harmless			無害（むがい）
colorless			無色（むしょく）
troublesome			面倒（めんどう）
wooden			木製（もくせい）
recyclable			リサイクル可能（かのう）
wild			野生（やせい）
troublesome			厄介（やっかい）
harmful			有害（ゆうがい）
strange			変（へん）
unique			ユニーク
quarter			1/4 （よんぶんのいち）
clean			きれい
milky			ミルクのよう   
virtual			バーチャル
regular			正規（せいき）
irregular			不正規（ふせいき）
material			物質的（ぶっしつてき）
physical			肉体上（にくたいじょう）
pink			ピンク色（いろ）
red			赤色（あかいろ）
black			黒色（くろいろ）
blue			青色（あおいろ）
light blue			水色（みずいろ）
white			白色（しろいろ）
yellow			黄色（きいろ）
purple			紫色（むらさきいろ）
orange			オレンジ色（いろ）
gray			灰色（はいいろ）
brown			茶色（ちゃいろ）
green			緑色（みどりいろ）
deep blue (navy)			紺色（こんいろ）
yellow green			黄緑色（きみどりいろ）
golden			金色（きんいろ）
silver			銀色（ぎんいろ）
