washable			洗（あら）え
depressing			意気消沈（いきしょうちん）させ
frustrating			イライラさせ
disappointing			がっかりさせ
interesting			興味（きょうみ）がもて
portable			携帯（けいたい）でき
believable			信（しん）じられ
enjoyable			楽（たの）しめ
tiring (painstaking)			[仕事（しごと）などが]疲(つか)れ
exhausting			非常（ひじょう）に疲（つか）れ
satisfying			満足（まんぞく）させ
portable			持（も）ち運（はこ）びでき
crooked			歪（ゆが）んでい
open			開（あ）いてい
seasoned	with	で	味付（あじつ）けされてい
deep-fried			油（あぶら）で揚（あ）げられてい
grilled			網焼（あみや）きされてい
colored			色（いろ）がついてい
tinted			薄（うす）い色（いろ）がついてい
curled			カールしてい
crisp			カリカリしてい
dead			枯(か）れてい
wooden			木（き）でできてい
metallic			金属（きんぞく）でできてい
dead			（バッテリーなどが）切（き）れてい
frozen			凍（こお）ってい
heavy			[味（あじ）などが]こってりしてい
refreshing			さっぱりしてい
salted			塩漬（しおづ）けされてい
squeezed			絞（しぼ）られてい
closed			閉（し）まってい
grated			すりおろされてい
neat (tidy)			整理（せいり）されてい
gift-wrapped			贈答用（ぞうとうよう）に包（つつ）まれてい
dyed			染（そ）められてい
messy			散（ち）らかってい
piled up (stacked)			積（つ）み重（かさ）ねられてい
aged			年老（としおい）てい
similar	to	に	似（に）てい
simmering			煮（に）えたぎってい
packed			荷造（にづく）りされてい
slimy			ネバネバしてい
powdery			パサパサしてい
away	from	から	離（はな）れてい
balanced			バランスが取（と）れてい
ground			挽（ひ）かれてい
irritated			ヒリヒリしてい
bleached			漂白（ひょうはく）されてい
bent			曲（ま）がってい
rolled			丸（まる）まってい
recycled			リサイクルされてい
roasted			ローストされてい
toasted			（パンなどが）焼（や）かれてい
spacious			[場所（ばしょ）が]ゆったりしてい
boiled			茹（ゆ）でられてい
boiled			煮（に）てあ
imported			輸入（ゆにゅう）されてい
cultured (farmed)			養殖（ようしょく）されてい
well cooked			よく焼（や）けてい
worn out			[古（ふる）くて]よれてい
understandable			理解（りかい）でき
expected			予期（よき）されてい
disgusting			むかつかせてい
thrilling			ゾクゾクさせてい
exciting			ワクワクさせてい
handy			手元（てもと）にあ
foggy			霧（きり）がかかってい
