step-1		is	are								い
		is	are	not							くない
		was	were								かった
		was	were	not							くなかった
		becomes	become								くなる
		does	do	not	become						くならない
		became	became								くなった
		did	did	not	become						くならなかった
		is	are		becoming						くなってきている
		is	are	not	becoming						くなってきていない
		was	were		becoming						くなってきていた
		was	were	not	becoming						くなってきていなかった
step-2		is	are	going to	be						くなろうとしている
		is	are	not going to	be						くなろうとしていない
		was	were	going to	be						くなろうとしていた
		was	were	not going to	be						くなろうとしていなかった
		has	have	to	be						くなければいけない
		does not have	do not have	to	be						くなくてもいい
		has	have	to	become						くならなければいけない
		does not have	do not have	to	become						くならなくてもいい
		had	had	to	be						くなければいけなかった
		did not have	did not have	to	be						くなくてもよかった
		had	had	to	become						くならなければいけなかった
		did not have	did not have	to	become						くならなくてもよかった
step-3		will	will		be						いだろう
		will	will	not	be						くはないだろう
		will	will		become						くなるだろう
		will	will	not	become						くならないだろう
		may	may		be						いかもしれない
		may	may	not	be						くないかもしれない
		may	may		become						くなるかもしれない
		may	may	not	become						くならないかもしれない
		can	can		be						い可能性（かのうせい）がある
		can	can	not	be						い可能性（かのうせい）はない
		can	can		become						くなる可能性（かのうせい）がある
		can	can	not	become						くなる可能性（かのうせい）はない
		should	should		be						いほうがいい
		should	should	not	be						くないほうがいい
		should	should		become						くなるほうがいい
		should	should	not	become						くならないほうがいい
		should	should		be						いはずだ
		should	should	not	be						くないはずだ
		should	should		become						くなるはずだ
		should	should	not	become						くなるはずがない
		must	must		be						いにちがいない
		must	must	not	be						くてはいけない
		must	must		become						くなるにちがいない
		must	must	not	become						くなってはいけない
		will have to	will have to		be						くなければいけないだろう
		will not have to	will not have to		be						くなくてもいいだろう
		will have to	will have to		become						くならなければいけないだろう
		will not have to	will not have to		become						くならなくてもいいだろう
		may have to	may have to		be						くなければいけないかもしれない
		may not have to	may not have to		be						くなくてもいいかもしれない
		may have to	may have to		become						くならなければいけないかもしれない
		may not have to	may not have to		become						くならなくてもいいかもしれない
step-4		has	have		been				（ずっと）	形容詞	い
		has	have	not	been				（ずっと）	形容詞	くはない
		has	have		been						かったことがある
		has	have	not	been						かったことはない
		has	have		become						くなったことがある
		has	have	not	become						くなったことはない
		had	had		been		till then		それまでずっと	形容詞	かった
		had	had	not	been		till then		それまでずっと	形容詞	くはなかった
		had	had		been		before that		それ以前（いぜん）	形容詞	かったことがあった
		had	had	not	been		before that		それ以前（いぜん）	形容詞	かったことはなかった
		had	had		become		before that		それ以前（いぜん）	形容詞	くなったことがあった
		had	had	not	become		before that		それ以前（いぜん）	形容詞	くなったことはなかった
step-5		may have	may have		been						かったかもしれない
		may not have	may not have		been						くなかったかもしれない
		may have	may have		become						くなったかもしれない
		may not have	may not have		become						くならなかったかもしれない
		can not have	can not have		been						かったはずがない
		can not have	can not have		become						くなったはずがない
		should have	should have		been						いほうがよかった
		should not have	should not have		been						くないほうがよかった
		should have	should have		become						くなるほうがよかった
		should not have	should not have		become						くならないほうがよかった
		must have	must have		been						かったにちがいない
		must not have	must not have		been						くなかったにちがいない
		must have	must have		become						くなったにちがいない
		must not have	must not have		become						くならなかったにちがいない
step-6		would	would		be						かっただろう
		would	would	not	be						くなかっただろう
		would	would		become						くなっただろう
		would	would	not	become						くならなかっただろう
		would have	would have		been						かったことだろう
		would not have	would not have		been						くなかったことだろう
		would have	would have		become						くなったことだろう
		would not have	would not have		become						くならなかったことだろう
		could have	could have		been						かった可能性（かのうせい）がある
		could not have	could not have		been						かった可能性（かのうせい）はない
		could have	could have		become						くなった可能性（かのうせい）がある
		could not have	could not have		become						くなった可能性（かのうせい）はない
		might have	might have		been						かったかもしれなかった
		might not have	might not have		been						くなかったかもしれなかった
		might have	might have		become						くなったかもしれなかった
		might not have	might not have		become						くならなかったかもしれなかった
