step-1		is	are								い
		is	are	not							くない
		was	were								かった
		was	were	not							くなかった
		feels	feel								くなる
		does	do	not	feel						くならない
		felt	felt								くなった
		did	did	not	feel						くならなかった
		is	are		feeling						くなってきている
		is	are	not	feeling						くなってきていない
		was	were		feeling						くなってきていた
		was	were	not	feeling						くなってきていなかった
step-2		is	are	going to	be						くなろうとしている
		is	are	not going to	be						くなろうとしていない
		was	were	going to	be						くなろうとしていた
		was	were	not going to	be						くなろうとしていなかった
		has	have	to	be						くなければいけない
		does not have	do not have	to	be						くなくてもいい
		has	have	to	feel						くならなければいけない
		does not have	do not have	to	feel						くならなくてもいい
		had	had	to	be						くなければいけなかった
		did not have	did not have	to	be						くなくてもよかった
		had	had	to	feel						くならなければいけなかった
		did not have	did not have	to	feel						くならなくてもよかった
step-3		will	will		be						いだろう
		will	will	not	be						くはないだろう
		will	will		feel						くなるだろう
		will	will	not	feel						くならないだろう
		may	may		be						いかもしれない
		may	may	not	be						くないかもしれない
		may	may		feel						くなるかもしれない
		may	may	not	feel						くならないかもしれない
		can	can		be						い可能性（かのうせい）がある
		can	can	not	be						い可能性（かのうせい）はない
		can	can		feel						くなる可能性（かのうせい）がある
		can	can	not	feel						くなる可能性（かのうせい）はない
		should	should		be						いほうがいい
		should	should	not	be						くないほうがいい
		should	should		feel						くなるほうがいい
		should	should	not	feel						くならないほうがいい
		should	should		be						いはずだ
		should	should	not	be						くないはずだ
		should	should		feel						くなるはずだ
		should	should	not	feel						くなるはずがない
		must	must		be						いにちがいない
		must	must	not	be						くてはいけない
		must	must		feel						くなるにちがいない
		must	must	not	feel						くなってはいけない
		will have to	will have to		be						くなければいけないだろう
		will not have to	will not have to		be						くなくてもいいだろう
		will have to	will have to		feel						くならなければいけないだろう
		will not have to	will not have to		feel						くならなくてもいいだろう
		may have to	may have to		be						くなければいけないかもしれない
		may not have to	may not have to		be						くなくてもいいかもしれない
		may have to	may have to		feel						くならなければいけないかもしれない
		may not have to	may not have to		feel						くならなくてもいいかもしれない
step-4		has	have		been				（ずっと）	形容詞	い
		has	have	not	been				（ずっと）	形容詞	くはない
		has	have		been						かったことがある
		has	have	not	been						かったことはない
		has	have		felt						くなったことがある
		has	have	not	felt						くなったことはない
		had	had		been		till then		それまでずっと	形容詞	かった
		had	had	not	been		till then		それまでずっと	形容詞	くはなかった
		had	had		been		before that		それ以前（いぜん）	形容詞	かったことがあった
		had	had	not	been		before that		それ以前（いぜん）	形容詞	かったことはなかった
		had	had		felt		before that		それ以前（いぜん）	形容詞	くなったことがあった
		had	had	not	felt		before that		それ以前（いぜん）	形容詞	くなったことはなかった
step-5		may have	may have		been						かったかもしれない
		may not have	may not have		been						くなかったかもしれない
		may have	may have		felt						くなったかもしれない
		may not have	may not have		felt						くならなかったかもしれない
		can not have	can not have		been						かったはずがない
		can not have	can not have		felt						くなったはずがない
		should have	should have		been						いほうがよかった
		should not have	should not have		been						くないほうがよかった
		should have	should have		felt						くなるほうがよかった
		should not have	should not have		felt						くならないほうがよかった
		must have	must have		been						かったにちがいない
		must not have	must not have		been						くなかったにちがいない
		must have	must have		felt						くなったにちがいない
		must not have	must not have		felt						くならなかったにちがいない
step-6		would	would		be						かっただろう
		would	would	not	be						くなかっただろう
		would	would		feel						くなっただろう
		would	would	not	feel						くならなかっただろう
		would have	would have		been						かったことだろう
		would not have	would not have		been						くなかったことだろう
		would have	would have		felt						くなったことだろう
		would not have	would not have		felt						くならなかったことだろう
		could have	could have		been						かった可能性（かのうせい）がある
		could not have	could not have		been						かった可能性（かのうせい）はない
		could have	could have		felt						くなった可能性（かのうせい）がある
		could not have	could not have		felt						くなった可能性（かのうせい）はない
		might have	might have		been						かったかもしれなかった
		might not have	might not have		been						くなかったかもしれなかった
		might have	might have		felt						くなったかもしれなかった
		might not have	might not have		felt						くならなかったかもしれなかった
