hard			固（かた）	g
soft			柔（やわ）らか	g
warm			温（あたた）か	g
hot			熱（あつ）	g
thick			厚（あつ）	g
thick			太（ふと）	g
big			太（ふと）	g
thin			薄（うす）	g
thin			細（ほそ）	g
wide			広（ひろ）	b
large			大（おお）き	b
big			大（おお）き	b
small			小（ちい）さ	b
narrow			狭（せま）	b
heavy			重（おも）	g
light			軽（かる）	b
dirty			汚（きたな）	g
hard			[仕事(しごと）などが]きつ	g
fun			楽（たの）し	b
boring			つまらな	g
long			長（なが）	g
short			短（みじか）	g
unbalanced			バランスが悪（わる）	b
low			低（ひく）	b
high			高（たか）	b
equal	to	に	等（ひと）し	b
difficult			難（むつか）し	b
cheap (inexpensive)　			安（やす）	b
stiff			硬（かた）	b
funny			面白（おもしろ）	b
interesting			[知的（ちてき）に面白（おもしろ）]	g
stuffy			[部屋（へや）などが]息苦（いきぐる）し	g
beautiful			美（うつく）し	b
itchy			痒（かゆ）	f
