step-1		is									い
		is		not							くはない
		was									かった
		was		not							くはなかった
		gets									くなる
		does		not get							くはならない
				got							くなった
		did		not get							くはならなかった
		is		getting							くなってきている
		is		not getting							くはなってきていない
		was		getting							くなってきていた
		was		not getting							くはなってきていなかった
step-2		is		going to be							くなろうとしている
		is		not going to be							くなろうとしていない
		was		going to be							くなろうとしていた
		was		not going to be							くなろうとしていなかった
step-3		will		be							いだろう
		will		not be							くはないだろう
		will		get							くなるだろう
		will		not get							くはならないだろう
		may		be							いかもしれない
		may		not be							くはないかもしれない
		may		get							くなるかもしれない
		may		not get							くはならないかもしれない
		can		be							い可能性（かのうせい）がある
		can		not be							い可能性（かのうせい）はない
		can		get							くなる可能性（かのうせい）がある
		can		not get							くなる可能性（かのうせい）はない
		should		be							いほうがいい
		should		not be							くないほうがいい
		should		get							くなるほうがいい
		should		not get							くならないほうがいい
		should		be							いはずだ
		should		not be							くはないはずだ
		should		get							くなるはずだ
		should		not get							くはならないはずだ
		must		be							いにちがいない
		must		not be							くてはいけない
		must		get							くなるにちがいない
		must		not get							くなってはいけない
		has to		be							くなければいけない
		does not have to		be							くなくてもいい
		has to		get							くならなければいけない
		does not have to		get							くならなくてもいい
		had to		be							くなければいけなかった
		did not have to		be							くなくてもよかった
		had to		get							くならなければいけなかった
		did not have to		get							くならなくてもよかった
		will have to		be							くなければいけないだろう
		will not have to		be							くなくてもいいだろう
		will have to		get							くならなければいけないだろう
		will not have to		get							くならなくてもいいだろう
		may have to		be							くなければいけないかもしれない
		may not have to		be							くなくてもいいかもしれない
		may have to		get							くならなければいけないかもしれない
		may not have to		get							くならなくてもいいかもしれない
step-4		has		been					（ずっと）	形容詞	い
		has		not been					（ずっと）	形容詞	くはない
		has		been							かったことがある
		has		not been							かったことはない
		has		gotten							くなったことがある
		has		not gotten							くなったことはない
		had		been	形容詞	till then			それまでずっと	形容詞	かった
		had		not been	形容詞	till then			それまでずっと	形容詞	くはなかった
		had		been	形容詞	before that			それ以前（いぜん）	形容詞	かったことがあった
		had		not been	形容詞	before that			それ以前（いぜん）	形容詞	かったことはなかった
		had		gotten	形容詞	before that			それ以前（いぜん）	形容詞	くなったことがあった
		had		not gotten	形容詞	before that			それ以前（いぜん）	形容詞	くなったことはなかった
step-5		may have		been							かったかもしれない
		may not have		been							くはなかったかもしれない
		may have		gotten							くなったかもしれない
		may not have		gotten							くはならなかったかもしれない
		can not have		been							かったはずがない
		can not have		gotten							くなったはずがない
		should have		been							いほうがよかった
		should not have		been							くないほうがよかった
		should have		gotten							くなるほうがよかった
		should not have		gotten							くならないほうがよかった
		must have		been							かったにちがいない
		must not have		been							くなかったにちがいない
		must have		gotten							くなったにちがいない
		must not have		gotten							くなかったにちがいない
step-6		would		be							かっただろう
		would		not be							くはなかっただろう
		would		get							くなっただろう
		would		not get							くはならなかっただろう
		would have		been							かったことだろう
		would not have		been							くはなかったことだろう
		would have		gotten							くなったことだろう
		would not have		gotten							くはならなかったことだろう
		could have		been							かった可能性（かのうせい）がある
		could not have		been							かった可能性（かのうせい）はない
		could have		gotten							くなった可能性（かのうせい）がある
		could not have		gotten							くなった可能性（かのうせい）はない
		might have		been							かったかもしれなかった
		might not have		been							くはなかったかもしれなかった
		might have		gotten							くなったかもしれなかった
		might not have		gotten							くならなかったかもしれなかった
