step-1		is									だ
		is		not							ではない
		was									だった
		was		not							ではなかった
step-2		is		going to be							になるだろう
		is		not going to be							にはならないないだろう
		was		going to be							になっただろう
		was		not going to be							にはならないなかっただろう
step-3		will		be							だろう
		will		not be							ではないだろう
		may		be							かもしれない
		may		not be							ではないかもしれない
		can		be							の可能性（かのうせい）がある
		can		not be							の可能性（かのうせい）はない
		should		be							のほうがいい
		should		not be							ではないほうがいい
		should		be							のはずだ
		should		not be							のはずがない
		must		be							にちがいない
		must		not be							ではいけない
		has to		be							でなければいけない
		does not have to		be							でなくてもいい
		had to		be							でなければいけなかった
		did not have to		be							でなくてもよかった
		will have to		be							でなければいけないだろう
		will not have to		be							でなくてもいいだろう
		may have to		be							でなければいけないかもしれない
		may not have to		be							でなくてもいいかもしれない
step-4		has		been					（ずっと）	形容詞	だ
		has		not been					（ずっと）	形容詞	ではない
		has		been							だったことがある
		has		not been							だったことはない
		had		been		形容詞	till then		それまでずっと	形容詞	だった
		had		not been		形容詞	till then		それまでずっと	形容詞	ではなかった
		had		been		形容詞	before that		それ以前（いぜん）	形容詞	だったことがあった
		had		not been		形容詞	before that		それ以前（いぜん）	形容詞	だったことはなかった
step-5		may have		been							だったかもしれない
		may not have		been							ではなかったかもしれない
		can not have		been							だったはずがない
		should have		been							のほうがよかった
		should not have		been							ではないほうがよかった
		must have		been							だったににちがいない
		must not have		been							ではなかったにちがいない
step-6		would		be							だっただろう
		would		not be							ではなかっただろう
		would have		been							だったことだろう
		would not have		been							ではなかったことだろう
		could have		been							だった可能性（かのうせい）がある
		could not have		been							だった可能性（かのうせい）はない
		might have		been							だったかもしれなかった
		might not have		been							ではなかったかもしれなかった
