step-1		is									がある
		is		not							はない
		was									があった
		was		not							はなかった
step-2		is		going to be							になるだろう
		is		not going to be							にはならないないだろう
		was		going to be							になっただろう
		was		not going to be							にはならないだろう
step-3		will		be							があるだろう
		will		not be							はないだろう
		may		be							があるかもしれない
		may		not be							はないかもしれない
		can		be							がある可能性（かのうせい）がある
		can		not be							がある可能性（かのうせい）はない
		should		be							があるほうがいい
		should		not be							はないほうがいい
		should		be							があるはずだ
		should		not be							があるはずがない
		must		be							があるにちがいない
		must		not be							があってはいけない
		has to		be							がなければいけない
		does not have to		be							はなくてもいい
		had to		be							がなければいけなかった
		did not have to		be							はなくてもよかった
		will have to		be							がなければいけないだろう
		will not have to		be							はなくてもいいだろう
		may have to		be							がなければいけないかもしれない
		may not have to		be							はなくてもいいかもしれない
step-4		has		been					（ずっと）	形容詞	がある
		has		not been					（ずっと）	形容詞	はない
		has		been							があったことがある
		has		not been							があったことはない
		had		been		形容詞	till then		それまでずっと	形容詞	があった
		had		not been		形容詞	till then		それまでずっと	形容詞	はなかった
		had		been		形容詞	before that		それ以前（いぜん）	形容詞	があったことがあった
		had		not been		形容詞	before that		それ以前（いぜん）	形容詞	があったことはなかった
step-5		may have		been							があったかもしれない
		may not have		been							はなかったかもしれない
		can not have		been							があったはずがない
		should have		been							があるほうがよかった
		should not have		been							はないほうがよかった
		must have		been							があったにちがいない
		must not have		been							はなかったにちがいない
step-6		would		be							があっただろう
		would		not be							はなかっただろう
		would have		been							があったことだろう
		would not have		been							はなかったことだろう
		could have		been							があった可能性（かのうせい）がある
		could not have		been							があった可能性（かのうせい）はない
		might have		been							があったかもしれなかった
		might not have		been							はなかったかもしれなかった
