愛（あい）		love		1
愛嬌（あいきょう）	a	charm	charms	1
合図（あいず）	a	signal (cue)	signals (cues)	1
愛情（あいじょう）		love		1
アイスクリーム		ice cream		
アイロン	an	iron	irons	1
アイロンかけ		ironing		1
青（あお）		blue		
赤（あか）		red		
赤（あか）ちゃん	a	baby	babies	
秋（あき）	an	autumn	autumns	
アクセサリー	an	accessory	accessories	
アクセル	an	accelerator	accelerators	1
あくび	a	yawn	yawns	
顎（あご）	a	chin	chins	
アザラシ	a	seal	seals	
足（あし）	a	leg	legs	
足先（あしさき）	a	foot	feet	
味（あじ）	a	taste	tastes	
鯵（あじ）	a	horse mackerel	horse mackerels	1
足首（あしくび）	an	ankle	ankles	
足（あし）の裏（うら）	a	sole	soles	1
足（あし）の指（ゆび）	a	toe	toes	
汗（あせ）	a	sweat	sweats	
あだ名（な）	a	nickname	nicknames	
穴（あな）	a	hole	holes	
兄（あに）	an	older brother	older brothers	
アニメ		animation		
姉（あね）	an	older sister	older sisters	
アパート	an	apartment building	apartment buildings	
アパートの部屋（へや）	an	apartment room	apartment rooms	
油（あぶら）		oil		
アプリ	an	application	applications	
会（あ）う約束（やくそく）	an	appointment	appointments	
雨具（あまぐ）		rain gear		
雨靴（あまぐつ）	a	rain shoe	rain shoes	
雨雲（あまぐも）	a	rain cloud	rain clouds	
網（あみ）	a	net	nets	
編（あ）み物（もの）		knitting		
飴（あめ）	a	candy	candies	
雨（あめ）		rain		
嵐（あらし）	a	storm	storms	
アリ	an	ant	ants	
アルバイト	a	part time job	part time jobs	
アルバム	an	album	albums	
アルミ（あるみ）		aluminum		
泡（あわ）（ちいさな）	a	foam	foams	1
泡（あわ）	a	bubble	bubbles	
あんこ		sweet bean paste		
暗号（あんごう）	a	secret code	secret codes	1
暗証番号（あんしょうばんごう）	a	password number	password numbers	
案内（あんない）	a	guide sign	guide signs	1
胃（い）	a	stomach	stomachs	
家（いえ）	a	home	homes	
イカ	a	squid	squids	1
医学（いがく）		medical science		1
医学部（いがくぶ）	a	faculty of medicine	faculties of medicine	1
怒（いか）り		anger		1
育児休暇（いくじきゅうか）	a	childcare leave	childcare leaves	
いくら		salmon roe		
池（いけ）	a	pond	ponds	
意見（いけん）	an	opinion	opinions	
居酒屋（いざかや）	an	izakaya place	izakaya places	1
遺産（いさん）	a	heritage	heritages	1
石（いし）	a	stone	stones	
意思（いし）	an	intention	intentions	1
医者（いしゃ）	a	doctor	doctors	
慰謝料（いしゃりょう）		consolation money		1
遺書（いしょ）	a	will	wills	1
衣装（いしょう）	a	costume	costumes	
椅子（いす）	a	chair	chairs	
板（いた）	a	board	boards	
委託（いたく）		entrustment		1
いたずら電話（でんわ）	a	prank call	prank calls	1
痛（いた）み		pain		
苺（いちご）	a	strawberry	strawberries	
糸（いと）	a	yarn	yarns	
田舎（いなか）	the	countryside		
稲妻（いなずま）	a	bolt	bolts	1
犬（いぬ）	a	dog	dogs	
命（いのち）	a	life	lives	
違反（いはん）	a	violation	violations	1
イベント	an	event	events	
居間（いま）	a	living room	living rooms	
芋（いも）	a	potato	potatoes	
妹（いもうと）	a	younger sister	younger sisters	
イヤホン	an	earphone	earphones	
イヤリング	an	earring	earrings	
入（い）り口（ぐち）	an	entrance	entrances	
医療（いりょう）		medical care		1
衣料（いりょう）		clothing		
医療費（いりょうひ）	a	medical bill	medical bills	
色（いろ）	a	color	colors	
岩（いわ）	a	rock	rocks	
鰯（いわし）	a	sardine	sardines	1
印鑑（いんかん）	a	personal seal	personal seals	1
印象（いんしょう）	an	impression	impressions	
飲食店（いんしょくてん）	a	restaurant	restaurants	
飲料水（いんりょうすい）	a	beverage	beverages	1
ウイスキー		whisky		1
牛（うし）	a	cow	cows	
嘘（うそ）	a	lie	lies	
歌（うた）	a	song	songs	
鬱（うつ）		depression		1
訴（うった）え	an	appeal	appeals	1
うつ病（うつびょう）		depression		1
腕（うで）	an	arm	arms	
腕時計（うでどけい）	a	watch	watches	
ウニ		sea urchin		
馬（うま）	a	horse	horses	
海（うみ）	the	sea		
海（うみ）	an	ocean	oceans	
梅（うめ）	a	plum	plums	1
梅干（うめぼ）し	a	salted plum	salted plums	
裏側（うらがわ）		reverse side		1
裏切（うらぎ）り		betrayal		1
裏切（うらぎ）り者（もの）	a	traitor	traitors	1
裏庭（うらにわ）	a	backyard	backyards	1
売（う）り手（て）	a	seller	sellers	1
浮気（うわき）		cheating		1
上着（うわぎ）		outerwear		1
運（うん）		luck		
運営（うんえい）		management		1
うんち		shit		
運転（うんてん）		driving		1
運転手（うんてんしゅ）	a	driver	drivers	
動き	a	motion	motions	1
運動（うんどう）	an	exercise	exercises	
絵（え）	a	painting	paintings	
エアコン	an	air conditioner	air conditioners	
映画（えいが）	a	movie	movies	
