step-1	spend	spends	spend			on			に	【お金（かね）】を使（つか）	う
	do	does	do	not	spend	on			に	【お金（かね）】を使（つか）	わ	ない
	spent	spent	spent			on			に	【お金（かね）】を使（つか）	っ	た
	did	did	did	not	spend	on			に	【お金（かね）】を使（つか）	わ	なかった
	am	is	are		spending	on			に	【お金（かね）】を使（つか）	っ	ている
	am	is	are	not	spending	on			に	【お金（かね）】を使（つか）	っ	ていない
	was	was	were		spending	on			に	【お金（かね）】を使（つか）	っ	ていた
	was	was	were	not	spending	on			に	【お金（かね）】を使（つか）	っ	ていなかった
step-2	am	is	are	going to	spend	on			に	【お金（かね）】を使（つか）	う	予定（よてい）だ
	am	is	are	not going to	spend	on			に	【お金（かね）】を使（つか）	う	予定（よてい）ではない
	was	was	were	going to	spend	on			に	【お金（かね）】を使（つか）	う	予定（よてい）だった
	was	was	were	not going to	spend	on			に	【お金（かね）】を使（つか）	う	予定（よてい）ではなかった
	am	is	are	able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができる
	am	is	are	not able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできない
	was	was	were	able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができた
	was	was	were	not able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかった
	could	could	could	not	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかった
	want	wants	want	to	spend	on			に	【お金（かね）】を使（つか）	い	たい
	do	does	do	not want to	spend	on			に	【お金（かね）】を使（つか）	い	たくない
	wanted  	wanted  	wanted	to	spend	on			に	【お金（かね）】を使（つか）	い	たかった
	did	did	did	not want to	spend	on			に	【お金（かね）】を使（つか）	い	たくなかった
	want	wants	want	to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていたい
	do	does	do	not want to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていたくない
	wanted  	wanted  	wanted	to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていたかった
	did	did	did	not want to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていたくなかった
	want	wants	want	to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができるようになりたい
	do	does	do	not want to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができるようになりたかった
	did	did	did	not want to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできるようになりたくなかった
	have to	has to	have to		spend	on			に	【お金（かね）】を使（つか）	わ	なければいけない
	do	does	do	not have to	spend	on			に	【お金（かね）】を使（つか）	わ	なくてもいい
	have to	has to	have to	be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなければいけない
	do	does	do	not have to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなくてもいい
	have to	has to	have to	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができなければいけない
	do	does	do	not have to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなくてもいい
	had to	had to	had to		spend	on			に	【お金（かね）】を使（つか）	わ	なければいけなかった
	did	did	did	not have to	spend	on			に	【お金（かね）】を使（つか）	わ	なくてもよかった
	had to	had to	had to	be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなければいけなかった
	did	did	did	not have to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなくてもよかった
	had to	had to	had to	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができなければいけなかった
	did	did	did	not have to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなくてもよかった
step-3	will	will	will		spend	on			に	【お金（かね）】を使（つか）	う	だろう
	will	will	will	not	spend	on			に	【お金（かね）】を使（つか）	わ	ないだろう
	will	will	will	be	spending	on			に	【お金（かね）】を使（つか）	っ	ているだろう
	will	will	will	not be	spending	on			に	【お金（かね）】を使（つか）	っ	ていないだろう
	will	will	will	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができるだろう
	will	will	will	not be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできないだろう
	may	may	may		spend	on			に	【お金（かね）】を使（つか）	う	かもしれない
	may	may	may	not	spend	on			に	【お金（かね）】を使（つか）	わ	ないかもしれない
	may	may	may	be	spending	on			に	【お金（かね）】を使（つか）	っ	ているかもしれない
	may	may	may	not be	spending	on			に	【お金（かね）】を使（つか）	っ	ていないかもしれない
	may	may	may	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができるかもしれない
	may	may	may	not be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできないかもしれない
	can	can	can		spend	on			に	【お金（かね）】を使（つか）	う	ことができる
	can	can	can	not	spend	on			に	【お金（かね）】を使（つか）	う	ことはできない
	should	should	should		spend	on			に	【お金（かね）】を使（つか）	う	ほうがいい
	should	should	should	not	spend	on			に	【お金（かね）】を使（つか）	わ	ないほうがいい
	should	should	should	be	spending	on			に	【お金（かね）】を使（つか）	っ	ているほうがいい
	should	should	should	not be	spending	on			に	【お金（かね）】を使（つか）	っ	ていないほうがいい
	should	should	should	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができるほうがいい
	should	should	should	not be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできないほうがいい
	should	should	should		spend	on			に	【お金（かね）】を使（つか）	う	はずだ
	should	should	should	not	spend	on			に	【お金（かね）】を使（つか）	わ	ないはずだ
	should	should	should	be	spending	on			に	【お金（かね）】を使（つか）	っ	ているはずだ
	should	should	should	not be	spending	on			に	【お金（かね）】を使（つか）	っ	ていないはずだ
	should	should	should	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができるはずだ
	should	should	should	not be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできるはずがない
	had better	had better	had better		spend	on			に	【お金（かね）】を使（つか）	う	べきだ
	had better	had better	had better	not	spend	on			に	【お金（かね）】を使（つか）	う	べきではない
	must	must	must		spend	on			に	【お金（かね）】を使（つか）	う	にちがいない
	must	must	must	not	spend	on			に	【お金（かね）】を使（つか）	っ	てはいけない
	must	must	must	be	spending	on			に	【お金（かね）】を使（つか）	っ	ているにちがいない
	must	must	must	not be	spending	on			に	【お金（かね）】を使（つか）	っ	ていてはいけない
	must	must	must	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができるにちがいない
	must	must	must	not be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできてはいけない
	will	will	will	have to	spend	on			に	【お金（かね）】を使（つか）	わ	なければいけないだろう
