step-1	tease	teases	tease						を	からか	う
	do	does	do	not	tease				を	からか	わ	ない
	teased	teased	teased						を	からか	っ	た
	did	did	did	not	tease				を	からか	わ	なかった
	am	is	are		teasing				を	からか	っ	ている
	am	is	are	not	teasing				を	からか	っ	ていない
	was	was	were		teasing				を	からか	っ	ていた
	was	was	were	not	teasing				を	からか	っ	ていなかった
step-2	am	is	are	going to	tease				を	からか	う	予定（よてい）だ
	am	is	are	not going to	tease				を	からか	う	予定（よてい）ではない
	was	was	were	going to	tease				を	からか	う	予定（よてい）だった
	was	was	were	not going to	tease				を	からか	う	予定（よてい）ではなかった
	am	is	are	able to	tease				を	からか	う	ことができる
	am	is	are	not able to	tease				を	からか	う	ことはできない
	was	was	were	able to	tease				を	からか	う	ことができた
	was	was	were	not able to	tease				を	からか	う	ことはできなかった
	could	could	could	not	tease				を	からか	う	ことはできなかった
	want	wants	want	to	tease				を	からか	い	たい
	do	does	do	not want to	tease				を	からか	い	たくない
	wanted  	wanted  	wanted	to	tease				を	からか	い	たかった
	did	did	did	not want to	tease				を	からか	い	たくなかった
	want	wants	want	to be	teasing				を	からか	っ	ていたい
	do	does	do	not want to be	teasing				を	からか	っ	ていたくない
	wanted  	wanted  	wanted	to be	teasing				を	からか	っ	ていたかった
	did	did	did	not want to be	teasing				を	からか	っ	ていたくなかった
	want	wants	want	to be able to	tease				を	からか	う	ことができるようになりたい
	do	does	do	not want to be able to	tease				を	からか	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	tease				を	からか	う	ことができるようになりたかった
	did	did	did	not want to be able to	tease				を	からか	う	ことはできるようになりたくなかった
	have to	has to	have to		tease				を	からか	わ	なければいけない
	do	does	do	not have to	tease				を	からか	わ	なくてもいい
	have to	has to	have to	be	teasing				を	からか	っ	ていなければいけない
	do	does	do	not have to be	teasing				を	からか	っ	ていなくてもいい
	have to	has to	have to	be able to	tease				を	からか	う	ことができなければいけない
	do	does	do	not have to be able to	tease				を	からか	う	ことはできなくてもいい
	had to	had to	had to		tease				を	からか	わ	なければいけなかった
	did	did	did	not have to	tease				を	からか	わ	なくてもよかった
	had to	had to	had to	be	teasing				を	からか	っ	ていなければいけなかった
	did	did	did	not have to be	teasing				を	からか	っ	ていなくてもよかった
	had to	had to	had to	be able to	tease				を	からか	う	ことができなければいけなかった
	did	did	did	not have to be able to	tease				を	からか	う	ことはできなくてもよかった
step-3	will	will	will		tease				を	からか	う	だろう
	will	will	will	not	tease				を	からか	わ	ないだろう
	will	will	will	be	teasing				を	からか	っ	ているだろう
	will	will	will	not be	teasing				を	からか	っ	ていないだろう
	will	will	will	be able to	tease				を	からか	う	ことができるだろう
	will	will	will	not be able to	tease				を	からか	う	ことはできないだろう
	may	may	may		tease				を	からか	う	かもしれない
	may	may	may	not	tease				を	からか	わ	ないかもしれない
	may	may	may	be	teasing				を	からか	っ	ているかもしれない
	may	may	may	not be	teasing				を	からか	っ	ていないかもしれない
	may	may	may	be able to	tease				を	からか	う	ことができるかもしれない
	may	may	may	not be able to	tease				を	からか	う	ことはできないかもしれない
	can	can	can		tease				を	からか	う	ことができる
	can	can	can	not	tease				を	からか	う	ことはできない
	should	should	should		tease				を	からか	う	ほうがいい
	should	should	should	not	tease				を	からか	わ	ないほうがいい
	should	should	should	be	teasing				を	からか	っ	ているほうがいい
	should	should	should	not be	teasing				を	からか	っ	ていないほうがいい
	should	should	should	be able to	tease				を	からか	う	ことができるほうがいい
	should	should	should	not be able to	tease				を	からか	う	ことはできないほうがいい
	should	should	should		tease				を	からか	う	はずだ
	should	should	should	not	tease				を	からか	わ	ないはずだ
	should	should	should	be	teasing				を	からか	っ	ているはずだ
	should	should	should	not be	teasing				を	からか	っ	ていないはずだ
	should	should	should	be able to	tease				を	からか	う	ことができるはずだ
	should	should	should	not be able to	tease				を	からか	う	ことはできるはずがない
	had better	had better	had better		tease				を	からか	う	べきだ
	had better	had better	had better	not	tease				を	からか	う	べきではない
	must	must	must		tease				を	からか	う	にちがいない
	must	must	must	not	tease				を	からか	っ	てはいけない
	must	must	must	be	teasing				を	からか	っ	ているにちがいない
	must	must	must	not be	teasing				を	からか	っ	ていてはいけない
	must	must	must	be able to	tease				を	からか	う	ことができるにちがいない
	must	must	must	not be able to	tease				を	からか	う	ことはできてはいけない
	will	will	will	have to	tease				を	からか	わ	なければいけないだろう
	will	will	will	not have to	tease				を	からか	わ	なくてもいいだろう
	will	will	will	have to be	teasing				を	からか	っ	ていなければいけないだろう
	will	will	will	not have to be	teasing				を	からか	っ	ていなくてもいいだろう
	will	will	will	have to be able to	tease				を	からか	う	ことができなければいけないだろう
	will	will	will	not have to be able to	tease				を	からか	う	ことはできなくてもいいだろう
	may	may	may	have to	tease				を	からか	わ	なければいけないかもしれない
	may	may	may	not have to	tease				を	からか	わ	なくてもいいかもしれない
