step-1	relax	relaxes	relax							くつろ	ぐ
	do	does	do	not	relax					くつろ	が	ない
	relaxed	relaxed	relaxed							くつろ	い	だ
	did	did	did	not	relax					くつろ	が	なかった
	am	is	are		relaxing					くつろ	い	でいる
	am	is	are	not	relaxing					くつろ	い	でいない
	was	was	were		relaxing					くつろ	い	でいた
	was	was	were	not	relaxing					くつろ	い	でいなかった
step-2	am	is	are	going to	relax					くつろ	ぐ	予定（よてい）だ
	am	is	are	not going to	relax					くつろ	ぐ	予定（よてい）ではない
	was	was	were	going to	relax					くつろ	ぐ	予定（よてい）だった
	was	was	were	not going to	relax					くつろ	ぐ	予定（よてい）ではなかった
	am	is	are	able to	relax					くつろ	ぐ	ことができる
	am	is	are	not able to	relax					くつろ	ぐ	ことはできない
	was	was	were	able to	relax					くつろ	ぐ	ことができた
	was	was	were	not able to	relax					くつろ	ぐ	ことはできなかった
	could	could	could	not	relax					くつろ	ぐ	ことはできなかった
	want	wants	want	to	relax					くつろ	ぎ	たい
	do	does	do	not want to	relax					くつろ	ぎ	たくない
	wanted  	wanted  	wanted	to	relax					くつろ	ぎ	たかった
	did	did	did	not want to	relax					くつろ	ぎ	たくなかった
	want	wants	want	to be	relaxing					くつろ	い	でいたい
	do	does	do	not want to be	relaxing					くつろ	い	でいたくない
	wanted  	wanted  	wanted	to be	relaxing					くつろ	い	でいたかった
	did	did	did	not want to be	relaxing					くつろ	い	でいたくなかった
	want	wants	want	to be able to	relax					くつろ	ぐ	ことができるようになりたい
	do	does	do	not want to be able to	relax					くつろ	ぐ	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	relax					くつろ	ぐ	ことができるようになりたかった
	did	did	did	not want to be able to	relax					くつろ	ぐ	ことはできるようになりたくなかった
	have to	has to	have to		relax					くつろ	が	なければいけない
	do	does	do	not have to	relax					くつろ	が	なくてもいい
	have to	has to	have to	be	relaxing					くつろ	い	でいなければいけない
	do	does	do	not have to be	relaxing					くつろ	い	でいなくてもいい
	have to	has to	have to	be able to	relax					くつろ	ぐ	ことができなければいけない
	do	does	do	not have to be able to	relax					くつろ	ぐ	ことはできなくてもいい
	had to	had to	had to		relax					くつろ	が	なければいけなかった
	did	did	did	not have to	relax					くつろ	が	なくてもよかった
	had to	had to	had to	be	relaxing					くつろ	い	でいなければいけなかった
	did	did	did	not have to be	relaxing					くつろ	い	でいなくてもよかった
