step-1	sob	sobs	sob							すすり泣（な）	く
	do	does	do	not	sob					すすり泣（な）	か	ない
	sobbed	sobbed	sobbed							すすり泣（な）	い	た
	did	did	did	not	sob					すすり泣（な）	か	なかった
	am	is	are		sobbing					すすり泣（な）	い	ている
	am	is	are	not	sobbing					すすり泣（な）	い	ていない
	was	was	were		sobbing					すすり泣（な）	い	ていた
	was	was	were	not	sobbing					すすり泣（な）	い	ていなかった
step-2	am	is	are	going to	sob					すすり泣（な）	く	予定（よてい）だ
	am	is	are	not going to	sob					すすり泣（な）	く	予定（よてい）ではない
	was	was	were	going to	sob					すすり泣（な）	く	予定（よてい）だった
	was	was	were	not going to	sob					すすり泣（な）	く	予定（よてい）ではなかった
	am	is	are	able to	sob					すすり泣（な）	く	ことができる
	am	is	are	not able to	sob					すすり泣（な）	く	ことはできない
	was	was	were	able to	sob					すすり泣（な）	く	ことができた
	was	was	were	not able to	sob					すすり泣（な）	く	ことはできなかった
	could	could	could	not	sob					すすり泣（な）	く	ことはできなかった
	want	wants	want	to	sob					すすり泣（な）	き	たい
	do	does	do	not want to	sob					すすり泣（な）	き	たくない
	wanted  	wanted  	wanted	to	sob					すすり泣（な）	き	たかった
	did	did	did	not want to	sob					すすり泣（な）	き	たくなかった
	want	wants	want	to be	sobbing					すすり泣（な）	い	ていたい
	do	does	do	not want to be	sobbing					すすり泣（な）	い	ていたくない
	wanted  	wanted  	wanted	to be	sobbing					すすり泣（な）	い	ていたかった
	did	did	did	not want to be	sobbing					すすり泣（な）	い	ていたくなかった
	want	wants	want	to be able to	sob					すすり泣（な）	く	ことができるようになりたい
	do	does	do	not want to be able to	sob					すすり泣（な）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	sob					すすり泣（な）	く	ことができるようになりたかった
	did	did	did	not want to be able to	sob					すすり泣（な）	く	ことはできるようになりたくなかった
	have to	has to	have to		sob					すすり泣（な）	か	なければいけない
	do	does	do	not have to	sob					すすり泣（な）	か	なくてもいい
	have to	has to	have to	be	sobbing					すすり泣（な）	い	ていなければいけない
	do	does	do	not have to be	sobbing					すすり泣（な）	い	ていなくてもいい
	have to	has to	have to	be able to	sob					すすり泣（な）	く	ことができなければいけない
	do	does	do	not have to be able to	sob					すすり泣（な）	く	ことはできなくてもいい
