step-1	rinse	rinses	rinse						を	ゆす	ぐ
	do	does	do	not	rinse				を	ゆす	が	ない
	rinsed	rinsed	rinsed						を	ゆす	い	だ
	did	did	did	not	rinse				を	ゆす	が	なかった
	am	is	are		rinsing				を	ゆす	い	でいる
	am	is	are	not	rinsing				を	ゆす	い	でいない
	was	was	were		rinsing				を	ゆす	い	でいた
	was	was	were	not	rinsing				を	ゆす	い	でいなかった
step-2	am	is	are	going to	rinse				を	ゆす	ぐ	予定（よてい）だ
	am	is	are	not going to	rinse				を	ゆす	ぐ	予定（よてい）ではない
	was	was	were	going to	rinse				を	ゆす	ぐ	予定（よてい）だった
	was	was	were	not going to	rinse				を	ゆす	ぐ	予定（よてい）ではなかった
	am	is	are	able to	rinse				を	ゆす	ぐ	ことができる
	am	is	are	not able to	rinse				を	ゆす	ぐ	ことはできない
	was	was	were	able to	rinse				を	ゆす	ぐ	ことができた
	was	was	were	not able to	rinse				を	ゆす	ぐ	ことはできなかった
	could	could	could	not	rinse				を	ゆす	ぐ	ことはできなかった
	want	wants	want	to	rinse				を	ゆす	ぎ	たい
	do	does	do	not want to	rinse				を	ゆす	ぎ	たくない
	wanted  	wanted  	wanted	to	rinse				を	ゆす	ぎ	たかった
	did	did	did	not want to	rinse				を	ゆす	ぎ	たくなかった
	want	wants	want	to be	rinsing				を	ゆす	い	でいたい
	do	does	do	not want to be	rinsing				を	ゆす	い	でいたくない
	wanted  	wanted  	wanted	to be	rinsing				を	ゆす	い	でいたかった
	did	did	did	not want to be	rinsing				を	ゆす	い	でいたくなかった
	want	wants	want	to be able to	rinse				を	ゆす	ぐ	ことができるようになりたい
	do	does	do	not want to be able to	rinse				を	ゆす	ぐ	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	rinse				を	ゆす	ぐ	ことができるようになりたかった
	did	did	did	not want to be able to	rinse				を	ゆす	ぐ	ことはできるようになりたくなかった
	have to	has to	have to		rinse				を	ゆす	が	なければいけない
	do	does	do	not have to	rinse				を	ゆす	が	なくてもいい
	have to	has to	have to	be	rinsing				を	ゆす	い	でいなければいけない
	do	does	do	not have to be	rinsing				を	ゆす	い	でいなくてもいい
	have to	has to	have to	be able to	rinse				を	ゆす	ぐ	ことができなければいけない
	do	does	do	not have to be able to	rinse				を	ゆす	ぐ	ことはできなくてもいい
	had to	had to	had to		rinse				を	ゆす	が	なければいけなかった
	did	did	did	not have to	rinse				を	ゆす	が	なくてもよかった
	had to	had to	had to	be	rinsing				を	ゆす	い	でいなければいけなかった
	did	did	did	not have to be	rinsing				を	ゆす	い	でいなくてもよかった
	had to	had to	had to	be able to	rinse				を	ゆす	ぐ	ことができなければいけなかった
	did	did	did	not have to be able to	rinse				を	ゆす	ぐ	ことはできなくてもよかった
step-3	will	will	will		rinse				を	ゆす	ぐ	だろう
	will	will	will	not	rinse				を	ゆす	が	ないだろう
	will	will	will	be	rinsing				を	ゆす	い	でいるだろう
	will	will	will	not be	rinsing				を	ゆす	い	でいないだろう
	will	will	will	be able to	rinse				を	ゆす	ぐ	ことができるだろう
	will	will	will	not be able to	rinse				を	ゆす	ぐ	ことはできないだろう
	may	may	may		rinse				を	ゆす	ぐ	かもしれない
	may	may	may	not	rinse				を	ゆす	が	ないかもしれない
	may	may	may	be	rinsing				を	ゆす	い	でいるかもしれない
	may	may	may	not be	rinsing				を	ゆす	い	でいないかもしれない
	may	may	may	be able to	rinse				を	ゆす	ぐ	ことができるかもしれない
	may	may	may	not be able to	rinse				を	ゆす	ぐ	ことはできないかもしれない
	can	can	can		rinse				を	ゆす	ぐ	ことができる
	can	can	can	not	rinse				を	ゆす	ぐ	ことはできない
	should	should	should		rinse				を	ゆす	ぐ	ほうがいい
	should	should	should	not	rinse				を	ゆす	が	ないほうがいい
	should	should	should	be	rinsing				を	ゆす	い	でいるほうがいい
	should	should	should	not be	rinsing				を	ゆす	い	でいないほうがいい
	should	should	should	be able to	rinse				を	ゆす	ぐ	ことができるほうがいい
	should	should	should	not be able to	rinse				を	ゆす	ぐ	ことはできないほうがいい
	should	should	should		rinse				を	ゆす	ぐ	はずだ
	should	should	should	not	rinse				を	ゆす	が	ないはずだ
	should	should	should	be	rinsing				を	ゆす	い	でいるはずだ
	should	should	should	not be	rinsing				を	ゆす	い	でいないはずだ
	should	should	should	be able to	rinse				を	ゆす	ぐ	ことができるはずだ
	should	should	should	not be able to	rinse				を	ゆす	ぐ	ことはできるはずがない
	had better	had better	had better		rinse				を	ゆす	ぐ	べきだ
	had better	had better	had better	not	rinse				を	ゆす	ぐ	べきではない
	must	must	must		rinse				を	ゆす	ぐ	にちがいない
	must	must	must	not	rinse				を	ゆす	い	ではいけない
