step-1	sip	sips	sip						を	一口（ひとくち）吸（す）	う
	do	does	do	not	sip				を	一口（ひとくち）吸（す）	わ	ない
	sipped	sipped	sipped						を	一口（ひとくち）吸（す）	っ	た
	did	did	did	not	sip				を	一口（ひとくち）吸（す）	わ	なかった
	am	is	are		sipping				を	一口（ひとくち）吸（す）	っ	ている
	am	is	are	not	sipping				を	一口（ひとくち）吸（す）	っ	ていない
	was	was	were		sipping				を	一口（ひとくち）吸（す）	っ	ていた
	was	was	were	not	sipping				を	一口（ひとくち）吸（す）	っ	ていなかった
step-2	am	is	are	going to	sip				を	一口（ひとくち）吸（す）	う	予定（よてい）だ
	am	is	are	not going to	sip				を	一口（ひとくち）吸（す）	う	予定（よてい）ではない
	was	was	were	going to	sip				を	一口（ひとくち）吸（す）	う	予定（よてい）だった
	was	was	were	not going to	sip				を	一口（ひとくち）吸（す）	う	予定（よてい）ではなかった
	am	is	are	able to	sip				を	一口（ひとくち）吸（す）	う	ことができる
	am	is	are	not able to	sip				を	一口（ひとくち）吸（す）	う	ことはできない
	was	was	were	able to	sip				を	一口（ひとくち）吸（す）	う	ことができた
	was	was	were	not able to	sip				を	一口（ひとくち）吸（す）	う	ことはできなかった
	could	could	could	not	sip				を	一口（ひとくち）吸（す）	う	ことはできなかった
	want	wants	want	to	sip				を	一口（ひとくち）吸（す）	い	たい
	do	does	do	not want to	sip				を	一口（ひとくち）吸（す）	い	たくない
	wanted  	wanted  	wanted	to	sip				を	一口（ひとくち）吸（す）	い	たかった
	did	did	did	not want to	sip				を	一口（ひとくち）吸（す）	い	たくなかった
	want	wants	want	to be	sipping				を	一口（ひとくち）吸（す）	っ	ていたい
	do	does	do	not want to be	sipping				を	一口（ひとくち）吸（す）	っ	ていたくない
	wanted  	wanted  	wanted	to be	sipping				を	一口（ひとくち）吸（す）	っ	ていたかった
	did	did	did	not want to be	sipping				を	一口（ひとくち）吸（す）	っ	ていたくなかった
	want	wants	want	to be able to	sip				を	一口（ひとくち）吸（す）	う	ことができるようになりたい
	do	does	do	not want to be able to	sip				を	一口（ひとくち）吸（す）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	sip				を	一口（ひとくち）吸（す）	う	ことができるようになりたかった
	did	did	did	not want to be able to	sip				を	一口（ひとくち）吸（す）	う	ことはできるようになりたくなかった
	have to	has to	have to		sip				を	一口（ひとくち）吸（す）	わ	なければいけない
	do	does	do	not have to	sip				を	一口（ひとくち）吸（す）	わ	なくてもいい
	have to	has to	have to	be	sipping				を	一口（ひとくち）吸（す）	っ	ていなければいけない
	do	does	do	not have to be	sipping				を	一口（ひとくち）吸（す）	っ	ていなくてもいい
	have to	has to	have to	be able to	sip				を	一口（ひとくち）吸（す）	う	ことができなければいけない
	do	does	do	not have to be able to	sip				を	一口（ひとくち）吸（す）	う	ことはできなくてもいい
	had to	had to	had to		sip				を	一口（ひとくち）吸（す）	わ	なければいけなかった
	did	did	did	not have to	sip				を	一口（ひとくち）吸（す）	わ	なくてもよかった
	had to	had to	had to	be	sipping				を	一口（ひとくち）吸（す）	っ	ていなければいけなかった
	did	did	did	not have to be	sipping				を	一口（ひとくち）吸（す）	っ	ていなくてもよかった
	had to	had to	had to	be able to	sip				を	一口（ひとくち）吸（す）	う	ことができなければいけなかった
	did	did	did	not have to be able to	sip				を	一口（ひとくち）吸（す）	う	ことはできなくてもよかった
step-3	will	will	will		sip				を	一口（ひとくち）吸（す）	う	だろう
	will	will	will	not	sip				を	一口（ひとくち）吸（す）	わ	ないだろう
	will	will	will	be	sipping				を	一口（ひとくち）吸（す）	っ	ているだろう
