step-1	see	sees	see						と	会（あ）	う
	do	does	do	not	see				と	会（あ）	わ	ない
	saw	saw	saw						と	会（あ）	っ	た
	did	did	did	not	see				と	会（あ）	わ	なかった
	am	is	are		seeing				と	会（あ）	っ	ている
	am	is	are	not	seeing				と	会（あ）	っ	ていない
	was	was	were		seeing				と	会（あ）	っ	ていた
	was	was	were	not	seeing				と	会（あ）	っ	ていなかった
step-2	am	is	are	going to	see				と	会（あ）	う	予定（よてい）だ
	am	is	are	not going to	see				と	会（あ）	う	予定（よてい）ではない
	was	was	were	going to	see				と	会（あ）	う	予定（よてい）だった
	was	was	were	not going to	see				と	会（あ）	う	予定（よてい）ではなかった
	am	is	are	able to	see				と	会（あ）	う	ことができる
	am	is	are	not able to	see				と	会（あ）	う	ことはできない
	was	was	were	able to	see				と	会（あ）	う	ことができた
	was	was	were	not able to	see				と	会（あ）	う	ことはできなかった
	could	could	could	not	see				と	会（あ）	う	ことはできなかった
	want	wants	want	to	see				と	会（あ）	い	たい
	do	does	do	not want to	see				と	会（あ）	い	たくない
	wanted  	wanted  	wanted	to	see				と	会（あ）	い	たかった
	did	did	did	not want to	see				と	会（あ）	い	たくなかった
	want	wants	want	to be	seeing				と	会（あ）	っ	ていたい
	do	does	do	not want to be	seeing				と	会（あ）	っ	ていたくない
	wanted  	wanted  	wanted	to be	seeing				と	会（あ）	っ	ていたかった
	did	did	did	not want to be	seeing				と	会（あ）	っ	ていたくなかった
	want	wants	want	to be able to	see				と	会（あ）	う	ことができるようになりたい
	do	does	do	not want to be able to	see				と	会（あ）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	see				と	会（あ）	う	ことができるようになりたかった
	did	did	did	not want to be able to	see				と	会（あ）	う	ことはできるようになりたくなかった
	have to	has to	have to		see				と	会（あ）	わ	なければいけない
	do	does	do	not have to	see				と	会（あ）	わ	なくてもいい
	have to	has to	have to	be	seeing				と	会（あ）	っ	ていなければいけない
	do	does	do	not have to be	seeing				と	会（あ）	っ	ていなくてもいい
	have to	has to	have to	be able to	see				と	会（あ）	う	ことができなければいけない
	do	does	do	not have to be able to	see				と	会（あ）	う	ことはできなくてもいい
	had to	had to	had to		see				と	会（あ）	わ	なければいけなかった
	did	did	did	not have to	see				と	会（あ）	わ	なくてもよかった
	had to	had to	had to	be	seeing				と	会（あ）	っ	ていなければいけなかった
	did	did	did	not have to be	seeing				と	会（あ）	っ	ていなくてもよかった
	had to	had to	had to	be able to	see				と	会（あ）	う	ことができなければいけなかった
	did	did	did	not have to be able to	see				と	会（あ）	う	ことはできなくてもよかった
step-3	will	will	will		see				と	会（あ）	う	だろう
	will	will	will	not	see				と	会（あ）	わ	ないだろう
	will	will	will	be	seeing				と	会（あ）	っ	ているだろう
	will	will	will	not be	seeing				と	会（あ）	っ	ていないだろう
	will	will	will	be able to	see				と	会（あ）	う	ことができるだろう
	will	will	will	not be able to	see				と	会（あ）	う	ことはできないだろう
	may	may	may		see				と	会（あ）	う	かもしれない
	may	may	may	not	see				と	会（あ）	わ	ないかもしれない
	may	may	may	be	seeing				と	会（あ）	っ	ているかもしれない
	may	may	may	not be	seeing				と	会（あ）	っ	ていないかもしれない
	may	may	may	be able to	see				と	会（あ）	う	ことができるかもしれない
	may	may	may	not be able to	see				と	会（あ）	う	ことはできないかもしれない
	can	can	can		see				と	会（あ）	う	ことができる
	can	can	can	not	see				と	会（あ）	う	ことはできない
	should	should	should		see				と	会（あ）	う	ほうがいい
	should	should	should	not	see				と	会（あ）	わ	ないほうがいい
	should	should	should	be	seeing				と	会（あ）	っ	ているほうがいい
	should	should	should	not be	seeing				と	会（あ）	っ	ていないほうがいい
	should	should	should	be able to	see				と	会（あ）	う	ことができるほうがいい
	should	should	should	not be able to	see				と	会（あ）	う	ことはできないほうがいい
	should	should	should		see				と	会（あ）	う	はずだ
	should	should	should	not	see				と	会（あ）	わ	ないはずだ
	should	should	should	be	seeing				と	会（あ）	っ	ているはずだ
	should	should	should	not be	seeing				と	会（あ）	っ	ていないはずだ
	should	should	should	be able to	see				と	会（あ）	う	ことができるはずだ
