step-1	meet	meets	meet						と	会（あ）	う
	do	does	do	not	meet				と	会（あ）	わ	ない
	met	met	met						と	会（あ）	っ	た
	did	did	did	not	meet				と	会（あ）	わ	なかった
	am	is	are		meeting				と	会（あ）	っ	ている
	am	is	are	not	meeting				と	会（あ）	っ	ていない
	was	was	were		meeting				と	会（あ）	っ	ていた
	was	was	were	not	meeting				と	会（あ）	っ	ていなかった
step-2	am	is	are	going to	meet				と	会（あ）	う	予定（よてい）だ
	am	is	are	not going to	meet				と	会（あ）	う	予定（よてい）ではない
	was	was	were	going to	meet				と	会（あ）	う	予定（よてい）だった
	was	was	were	not going to	meet				と	会（あ）	う	予定（よてい）ではなかった
	am	is	are	able to	meet				と	会（あ）	う	ことができる
	am	is	are	not able to	meet				と	会（あ）	う	ことはできない
	was	was	were	able to	meet				と	会（あ）	う	ことができた
	was	was	were	not able to	meet				と	会（あ）	う	ことはできなかった
	could	could	could	not	meet				と	会（あ）	う	ことはできなかった
	want	wants	want	to	meet				と	会（あ）	い	たい
	do	does	do	not want to	meet				と	会（あ）	い	たくない
	wanted  	wanted  	wanted	to	meet				と	会（あ）	い	たかった
	did	did	did	not want to	meet				と	会（あ）	い	たくなかった
	want	wants	want	to be	meeting				と	会（あ）	っ	ていたい
	do	does	do	not want to be	meeting				と	会（あ）	っ	ていたくない
	wanted  	wanted  	wanted	to be	meeting				と	会（あ）	っ	ていたかった
	did	did	did	not want to be	meeting				と	会（あ）	っ	ていたくなかった
	want	wants	want	to be able to	meet				と	会（あ）	う	ことができるようになりたい
	do	does	do	not want to be able to	meet				と	会（あ）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	meet				と	会（あ）	う	ことができるようになりたかった
	did	did	did	not want to be able to	meet				と	会（あ）	う	ことはできるようになりたくなかった
	have to	has to	have to		meet				と	会（あ）	わ	なければいけない
	do	does	do	not have to	meet				と	会（あ）	わ	なくてもいい
	have to	has to	have to	be	meeting				と	会（あ）	っ	ていなければいけない
	do	does	do	not have to be	meeting				と	会（あ）	っ	ていなくてもいい
	have to	has to	have to	be able to	meet				と	会（あ）	う	ことができなければいけない
	do	does	do	not have to be able to	meet				と	会（あ）	う	ことはできなくてもいい
	had to	had to	had to		meet				と	会（あ）	わ	なければいけなかった
	did	did	did	not have to	meet				と	会（あ）	わ	なくてもよかった
	had to	had to	had to	be	meeting				と	会（あ）	っ	ていなければいけなかった
	did	did	did	not have to be	meeting				と	会（あ）	っ	ていなくてもよかった
	had to	had to	had to	be able to	meet				と	会（あ）	う	ことができなければいけなかった
	did	did	did	not have to be able to	meet				と	会（あ）	う	ことはできなくてもよかった
step-3	will	will	will		meet				と	会（あ）	う	だろう
	will	will	will	not	meet				と	会（あ）	わ	ないだろう
	will	will	will	be	meeting				と	会（あ）	っ	ているだろう
	will	will	will	not be	meeting				と	会（あ）	っ	ていないだろう
	will	will	will	be able to	meet				と	会（あ）	う	ことができるだろう
	will	will	will	not be able to	meet				と	会（あ）	う	ことはできないだろう
	may	may	may		meet				と	会（あ）	う	かもしれない
	may	may	may	not	meet				と	会（あ）	わ	ないかもしれない
	may	may	may	be	meeting				と	会（あ）	っ	ているかもしれない
	may	may	may	not be	meeting				と	会（あ）	っ	ていないかもしれない
	may	may	may	be able to	meet				と	会（あ）	う	ことができるかもしれない
	may	may	may	not be able to	meet				と	会（あ）	う	ことはできないかもしれない
	can	can	can		meet				と	会（あ）	う	ことができる
	can	can	can	not	meet				と	会（あ）	う	ことはできない
	should	should	should		meet				と	会（あ）	う	ほうがいい
	should	should	should	not	meet				と	会（あ）	わ	ないほうがいい
	should	should	should	be	meeting				と	会（あ）	っ	ているほうがいい
	should	should	should	not be	meeting				と	会（あ）	っ	ていないほうがいい
	should	should	should	be able to	meet				と	会（あ）	う	ことができるほうがいい
	should	should	should	not be able to	meet				と	会（あ）	う	ことはできないほうがいい
	should	should	should		meet				と	会（あ）	う	はずだ
	should	should	should	not	meet				と	会（あ）	わ	ないはずだ
	should	should	should	be	meeting				と	会（あ）	っ	ているはずだ
	should	should	should	not be	meeting				と	会（あ）	っ	ていないはずだ
	should	should	should	be able to	meet				と	会（あ）	う	ことができるはずだ
	should	should	should	not be able to	meet				と	会（あ）	う	ことはできるはずがない
	had better	had better	had better		meet				と	会（あ）	う	べきだ
	had better	had better	had better	not	meet				と	会（あ）	う	べきではない
	must	must	must		meet				と	会（あ）	う	にちがいない
	must	must	must	not	meet				と	会（あ）	っ	てはいけない
	must	must	must	be	meeting				と	会（あ）	っ	ているにちがいない
	must	must	must	not be	meeting				と	会（あ）	っ	ていてはいけない
	must	must	must	be able to	meet				と	会（あ）	う	ことができるにちがいない
	must	must	must	not be able to	meet				と	会（あ）	う	ことはできてはいけない
	will	will	will	have to	meet				と	会（あ）	わ	なければいけないだろう
	will	will	will	not have to	meet				と	会（あ）	わ	なくてもいいだろう
	will	will	will	have to be	meeting				と	会（あ）	っ	ていなければいけないだろう
	will	will	will	not have to be	meeting				と	会（あ）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	meet				と	会（あ）	う	ことができなければいけないだろう
	will	will	will	not have to be able to	meet				と	会（あ）	う	ことはできなくてもいいだろう
	may	may	may	have to	meet				と	会（あ）	わ	なければいけないかもしれない
	may	may	may	not have to	meet				と	会（あ）	わ	なくてもいいかもしれない
	may	may	may	have to be	meeting				と	会（あ）	っ	ていなければいけないかもしれない
	may	may	may	not have to be	meeting				と	会（あ）	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	meet				と	会（あ）	う	ことができなければいけないかもしれない
	may	may	may	not have to be able to	meet				と	会（あ）	う	ことはできなくてもいいかもしれない
step-4	have	has	have		met				と	会（あ）	っ	たことがある
	have	has	have	not	met				と	会（あ）	っ	たことはない
	have	has	have	been	meeting			（ずっと）	と	会（あ）	っ	ている
	have	has	have	not been	meeting			（ずっと）	と	会（あ）	っ	ていない
	have	has	have		met		already	すでに	と	会（あ）	っ	ている
	have	has	have	not	met		yet	まだ	と	会（あ）	っ	ていない
	had	had	had		met		before that	それ以前（いぜん）	と	会（あ）	っ	たことがあった
	had	had	had	not	met		before that	それ以前（いぜん）	と	会（あ）	っ	たことはなかった
	had	had	had	been	meeting		till then	それまでずっと	と	会（あ）	っ	ていた
	had	had	had	not been	meeting		till then	それまでずっと	と	会（あ）	っ	ていなかった
	had	had	had		met		already	すでに	と	会（あ）	っ	ていた
	had	had	had	not	met		yet	まだ	と	会（あ）	っ	ていなかった
	have	has	have	been able to	meet			（ずっと）	と	会（あ）	う	ことができている
	have	has	have	not been able to	meet		yet	まだ	と	会（あ）	う	ことはできていない
	had	had	had	been able to	meet		till then	それまでずっと	と	会（あ）	う	ことができていた
	had	had	had	not been able to	meet		till then	それまでずっと	と	会（あ）	う	ことはできていなかった
