step-1	work	works	work							働（はたら）	く
	do	does	do	not	work					働（はたら）	か	ない
	worked	worked	worked							働（はたら）	い	た
	did	did	did	not	work					働（はたら）	か	なかった
	am	is	are		working					働（はたら）	い	ている
	am	is	are	not	working					働（はたら）	い	ていない
	was	was	were		working					働（はたら）	い	ていた
	was	was	were	not	working					働（はたら）	い	ていなかった
step-2	am	is	are	going to	work					働（はたら）	く	予定（よてい）だ
	am	is	are	not going to	work					働（はたら）	く	予定（よてい）ではない
	was	was	were	going to	work					働（はたら）	く	予定（よてい）だった
	was	was	were	not going to	work					働（はたら）	く	予定（よてい）ではなかった
	am	is	are	able to	work					働（はたら）	く	ことができる
	am	is	are	not able to	work					働（はたら）	く	ことはできない
	was	was	were	able to	work					働（はたら）	く	ことができた
	was	was	were	not able to	work					働（はたら）	く	ことはできなかった
	could	could	could	not	work					働（はたら）	く	ことはできなかった
	want	wants	want	to	work					働（はたら）	き	たい
	do	does	do	not want to	work					働（はたら）	き	たくない
	wanted  	wanted  	wanted	to	work					働（はたら）	き	たかった
	did	did	did	not want to	work					働（はたら）	き	たくなかった
	want	wants	want	to be	working					働（はたら）	い	ていたい
	do	does	do	not want to be	working					働（はたら）	い	ていたくない
	wanted  	wanted  	wanted	to be	working					働（はたら）	い	ていたかった
	did	did	did	not want to be	working					働（はたら）	い	ていたくなかった
	want	wants	want	to be able to	work					働（はたら）	く	ことができるようになりたい
	do	does	do	not want to be able to	work					働（はたら）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	work					働（はたら）	く	ことができるようになりたかった
	did	did	did	not want to be able to	work					働（はたら）	く	ことはできるようになりたくなかった
	have to	has to	have to		work					働（はたら）	か	なければいけない
	do	does	do	not have to	work					働（はたら）	か	なくてもいい
	have to	has to	have to	be	working					働（はたら）	い	ていなければいけない
	do	does	do	not have to be	working					働（はたら）	い	ていなくてもいい
	have to	has to	have to	be able to	work					働（はたら）	く	ことができなければいけない
	do	does	do	not have to be able to	work					働（はたら）	く	ことはできなくてもいい
	had to	had to	had to		work					働（はたら）	か	なければいけなかった
	did	did	did	not have to	work					働（はたら）	か	なくてもよかった
	had to	had to	had to	be	working					働（はたら）	い	ていなければいけなかった
	did	did	did	not have to be	working					働（はたら）	い	ていなくてもよかった
	had to	had to	had to	be able to	work					働（はたら）	く	ことができなければいけなかった
	did	did	did	not have to be able to	work					働（はたら）	く	ことはできなくてもよかった
step-3	will	will	will		work					働（はたら）	く	だろう
