step-1	tell a lie	tells a lie	tell a lie			to			に	嘘（うそ）をつ	く
	do	does	do	not	tell a lie	to			に	嘘（うそ）をつ	か	ない
	told a lie	told a lie	told a lie			to			に	嘘（うそ）をつ	い	た
	did	did	did	not	tell a lie	to			に	嘘（うそ）をつ	か	なかった
	am	is	are		telling a lie	to			に	嘘（うそ）をつ	い	ている
	am	is	are	not	telling a lie	to			に	嘘（うそ）をつ	い	ていない
	was	was	were		telling a lie	to			に	嘘（うそ）をつ	い	ていた
	was	was	were	not	telling a lie	to			に	嘘（うそ）をつ	い	ていなかった
step-2	am	is	are	going to	tell a lie	to			に	嘘（うそ）をつ	く	予定（よてい）だ
	am	is	are	not going to	tell a lie	to			に	嘘（うそ）をつ	く	予定（よてい）ではない
	was	was	were	going to	tell a lie	to			に	嘘（うそ）をつ	く	予定（よてい）だった
	was	was	were	not going to	tell a lie	to			に	嘘（うそ）をつ	く	予定（よてい）ではなかった
	am	is	are	able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができる
	am	is	are	not able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできない
	was	was	were	able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができた
	was	was	were	not able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなかった
	could	could	could	not	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなかった
	want	wants	want	to	tell a lie	to			に	嘘（うそ）をつ	き	たい
	do	does	do	not want to	tell a lie	to			に	嘘（うそ）をつ	き	たくない
	wanted  	wanted  	wanted	to	tell a lie	to			に	嘘（うそ）をつ	き	たかった
	did	did	did	not want to	tell a lie	to			に	嘘（うそ）をつ	き	たくなかった
	want	wants	want	to be	telling a lie	to			に	嘘（うそ）をつ	い	ていたい
	do	does	do	not want to be	telling a lie	to			に	嘘（うそ）をつ	い	ていたくない
	wanted  	wanted  	wanted	to be	telling a lie	to			に	嘘（うそ）をつ	い	ていたかった
	did	did	did	not want to be	telling a lie	to			に	嘘（うそ）をつ	い	ていたくなかった
	want	wants	want	to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができるようになりたい
	do	does	do	not want to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができるようになりたかった
	did	did	did	not want to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできるようになりたくなかった
	have to	has to	have to		tell a lie	to			に	嘘（うそ）をつ	か	なければいけない
	do	does	do	not have to	tell a lie	to			に	嘘（うそ）をつ	か	なくてもいい
	have to	has to	have to	be	telling a lie	to			に	嘘（うそ）をつ	い	ていなければいけない
	do	does	do	not have to be	telling a lie	to			に	嘘（うそ）をつ	い	ていなくてもいい
	have to	has to	have to	be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができなければいけない
	do	does	do	not have to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなくてもいい
	had to	had to	had to		tell a lie	to			に	嘘（うそ）をつ	か	なければいけなかった
	did	did	did	not have to	tell a lie	to			に	嘘（うそ）をつ	か	なくてもよかった
	had to	had to	had to	be	telling a lie	to			に	嘘（うそ）をつ	い	ていなければいけなかった
	did	did	did	not have to be	telling a lie	to			に	嘘（うそ）をつ	い	ていなくてもよかった
	had to	had to	had to	be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができなければいけなかった
	did	did	did	not have to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなくてもよかった
step-3	will	will	will		tell a lie	to			に	嘘（うそ）をつ	く	だろう
	will	will	will	not	tell a lie	to			に	嘘（うそ）をつ	か	ないだろう
	will	will	will	be	telling a lie	to			に	嘘（うそ）をつ	い	ているだろう
	will	will	will	not be	telling a lie	to			に	嘘（うそ）をつ	い	ていないだろう
	will	will	will	be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができるだろう
	will	will	will	not be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできないだろう
	may	may	may		tell a lie	to			に	嘘（うそ）をつ	く	かもしれない
	may	may	may	not	tell a lie	to			に	嘘（うそ）をつ	か	ないかもしれない
	may	may	may	be	telling a lie	to			に	嘘（うそ）をつ	い	ているかもしれない
	may	may	may	not be	telling a lie	to			に	嘘（うそ）をつ	い	ていないかもしれない
	may	may	may	be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができるかもしれない
	may	may	may	not be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできないかもしれない
	can	can	can		tell a lie	to			に	嘘（うそ）をつ	く	ことができる
	can	can	can	not	tell a lie	to			に	嘘（うそ）をつ	く	ことはできない
	should	should	should		tell a lie	to			に	嘘（うそ）をつ	く	ほうがいい
	should	should	should	not	tell a lie	to			に	嘘（うそ）をつ	か	ないほうがいい
	should	should	should	be	telling a lie	to			に	嘘（うそ）をつ	い	ているほうがいい
	should	should	should	not be	telling a lie	to			に	嘘（うそ）をつ	い	ていないほうがいい
	should	should	should	be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができるほうがいい
	should	should	should	not be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできないほうがいい
	should	should	should		tell a lie	to			に	嘘（うそ）をつ	く	はずだ
