step-1	pull	pulls	pull						を	引（ひ）	く
	do	does	do	not	pull				を	引（ひ）	か	ない
	pulled	pulled	pulled						を	引（ひ）	い	た
	did	did	did	not	pull				を	引（ひ）	か	なかった
	am	is	are		pulling				を	引（ひ）	い	ている
	am	is	are	not	pulling				を	引（ひ）	い	ていない
	was	was	were		pulling				を	引（ひ）	い	ていた
	was	was	were	not	pulling				を	引（ひ）	い	ていなかった
step-2	am	is	are	going to	pull				を	引（ひ）	く	予定（よてい）だ
	am	is	are	not going to	pull				を	引（ひ）	く	予定（よてい）ではない
	was	was	were	going to	pull				を	引（ひ）	く	予定（よてい）だった
	was	was	were	not going to	pull				を	引（ひ）	く	予定（よてい）ではなかった
	am	is	are	able to	pull				を	引（ひ）	く	ことができる
	am	is	are	not able to	pull				を	引（ひ）	く	ことはできない
	was	was	were	able to	pull				を	引（ひ）	く	ことができた
	was	was	were	not able to	pull				を	引（ひ）	く	ことはできなかった
	could	could	could	not	pull				を	引（ひ）	く	ことはできなかった
	want	wants	want	to	pull				を	引（ひ）	き	たい
	do	does	do	not want to	pull				を	引（ひ）	き	たくない
	wanted  	wanted  	wanted	to	pull				を	引（ひ）	き	たかった
	did	did	did	not want to	pull				を	引（ひ）	き	たくなかった
	want	wants	want	to be	pulling				を	引（ひ）	い	ていたい
	do	does	do	not want to be	pulling				を	引（ひ）	い	ていたくない
	wanted  	wanted  	wanted	to be	pulling				を	引（ひ）	い	ていたかった
	did	did	did	not want to be	pulling				を	引（ひ）	い	ていたくなかった
	want	wants	want	to be able to	pull				を	引（ひ）	く	ことができるようになりたい
	do	does	do	not want to be able to	pull				を	引（ひ）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	pull				を	引（ひ）	く	ことができるようになりたかった
	did	did	did	not want to be able to	pull				を	引（ひ）	く	ことはできるようになりたくなかった
	have to	has to	have to		pull				を	引（ひ）	か	なければいけない
	do	does	do	not have to	pull				を	引（ひ）	か	なくてもいい
	have to	has to	have to	be	pulling				を	引（ひ）	い	ていなければいけない
	do	does	do	not have to be	pulling				を	引（ひ）	い	ていなくてもいい
	have to	has to	have to	be able to	pull				を	引（ひ）	く	ことができなければいけない
	do	does	do	not have to be able to	pull				を	引（ひ）	く	ことはできなくてもいい
	had to	had to	had to		pull				を	引（ひ）	か	なければいけなかった
	did	did	did	not have to	pull				を	引（ひ）	か	なくてもよかった
	had to	had to	had to	be	pulling				を	引（ひ）	い	ていなければいけなかった
	did	did	did	not have to be	pulling				を	引（ひ）	い	ていなくてもよかった
	had to	had to	had to	be able to	pull				を	引（ひ）	く	ことができなければいけなかった
	did	did	did	not have to be able to	pull				を	引（ひ）	く	ことはできなくてもよかった
step-3	will	will	will		pull				を	引（ひ）	く	だろう
	will	will	will	not	pull				を	引（ひ）	か	ないだろう
