step-1	clap	claps	clap							手（て）を叩（たた）	く
	do	does	do	not	clap					手（て）を叩（たた）	か	ない
	clapped	clapped	clapped							手（て）を叩（たた）	い	た
	did	did	did	not	clap					手（て）を叩（たた）	か	なかった
	am	is	are		clapping					手（て）を叩（たた）	い	ている
	am	is	are	not	clapping					手（て）を叩（たた）	い	ていない
	was	was	were		clapping					手（て）を叩（たた）	い	ていた
	was	was	were	not	clapping					手（て）を叩（たた）	い	ていなかった
step-2	am	is	are	going to	clap					手（て）を叩（たた）	く	予定（よてい）だ
	am	is	are	not going to	clap					手（て）を叩（たた）	く	予定（よてい）ではない
	was	was	were	going to	clap					手（て）を叩（たた）	く	予定（よてい）だった
	was	was	were	not going to	clap					手（て）を叩（たた）	く	予定（よてい）ではなかった
	am	is	are	able to	clap					手（て）を叩（たた）	く	ことができる
	am	is	are	not able to	clap					手（て）を叩（たた）	く	ことはできない
	was	was	were	able to	clap					手（て）を叩（たた）	く	ことができた
	was	was	were	not able to	clap					手（て）を叩（たた）	く	ことはできなかった
	could	could	could	not	clap					手（て）を叩（たた）	く	ことはできなかった
	want	wants	want	to	clap					手（て）を叩（たた）	き	たい
	do	does	do	not want to	clap					手（て）を叩（たた）	き	たくない
	wanted  	wanted  	wanted	to	clap					手（て）を叩（たた）	き	たかった
	did	did	did	not want to	clap					手（て）を叩（たた）	き	たくなかった
	want	wants	want	to be	clapping					手（て）を叩（たた）	い	ていたい
	do	does	do	not want to be	clapping					手（て）を叩（たた）	い	ていたくない
	wanted  	wanted  	wanted	to be	clapping					手（て）を叩（たた）	い	ていたかった
	did	did	did	not want to be	clapping					手（て）を叩（たた）	い	ていたくなかった
	want	wants	want	to be able to	clap					手（て）を叩（たた）	く	ことができるようになりたい
	do	does	do	not want to be able to	clap					手（て）を叩（たた）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	clap					手（て）を叩（たた）	く	ことができるようになりたかった
	did	did	did	not want to be able to	clap					手（て）を叩（たた）	く	ことはできるようになりたくなかった
	have to	has to	have to		clap					手（て）を叩（たた）	か	なければいけない
	do	does	do	not have to	clap					手（て）を叩（たた）	か	なくてもいい
	have to	has to	have to	be	clapping					手（て）を叩（たた）	い	ていなければいけない
	do	does	do	not have to be	clapping					手（て）を叩（たた）	い	ていなくてもいい
	have to	has to	have to	be able to	clap					手（て）を叩（たた）	く	ことができなければいけない
	do	does	do	not have to be able to	clap					手（て）を叩（たた）	く	ことはできなくてもいい
	had to	had to	had to		clap					手（て）を叩（たた）	か	なければいけなかった
	did	did	did	not have to	clap					手（て）を叩（たた）	か	なくてもよかった
	had to	had to	had to	be	clapping					手（て）を叩（たた）	い	ていなければいけなかった
	did	did	did	not have to be	clapping					手（て）を叩（たた）	い	ていなくてもよかった
	had to	had to	had to	be able to	clap					手（て）を叩（たた）	く	ことができなければいけなかった
