step-1	handle	handles	handle						を	扱（あつか）	う
	do	does	do	not	handle				を	扱（あつか）	わ	ない
	handled	handled	handled						を	扱（あつか）	っ	た
	did	did	did	not	handle				を	扱（あつか）	わ	なかった
	am	is	are		handling				を	扱（あつか）	っ	ている
	am	is	are	not	handling				を	扱（あつか）	っ	ていない
	was	was	were		handling				を	扱（あつか）	っ	ていた
	was	was	were	not	handling				を	扱（あつか）	っ	ていなかった
step-2	am	is	are	going to	handle				を	扱（あつか）	う	予定（よてい）だ
	am	is	are	not going to	handle				を	扱（あつか）	う	予定（よてい）ではない
	was	was	were	going to	handle				を	扱（あつか）	う	予定（よてい）だった
	was	was	were	not going to	handle				を	扱（あつか）	う	予定（よてい）ではなかった
	am	is	are	able to	handle				を	扱（あつか）	う	ことができる
	am	is	are	not able to	handle				を	扱（あつか）	う	ことはできない
	was	was	were	able to	handle				を	扱（あつか）	う	ことができた
	was	was	were	not able to	handle				を	扱（あつか）	う	ことはできなかった
	could	could	could	not	handle				を	扱（あつか）	う	ことはできなかった
	want	wants	want	to	handle				を	扱（あつか）	い	たい
	do	does	do	not want to	handle				を	扱（あつか）	い	たくない
	wanted  	wanted  	wanted	to	handle				を	扱（あつか）	い	たかった
	did	did	did	not want to	handle				を	扱（あつか）	い	たくなかった
	want	wants	want	to be	handling				を	扱（あつか）	っ	ていたい
	do	does	do	not want to be	handling				を	扱（あつか）	っ	ていたくない
	wanted  	wanted  	wanted	to be	handling				を	扱（あつか）	っ	ていたかった
	did	did	did	not want to be	handling				を	扱（あつか）	っ	ていたくなかった
	want	wants	want	to be able to	handle				を	扱（あつか）	う	ことができるようになりたい
	do	does	do	not want to be able to	handle				を	扱（あつか）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	handle				を	扱（あつか）	う	ことができるようになりたかった
	did	did	did	not want to be able to	handle				を	扱（あつか）	う	ことはできるようになりたくなかった
	have to	has to	have to		handle				を	扱（あつか）	わ	なければいけない
	do	does	do	not have to	handle				を	扱（あつか）	わ	なくてもいい
	have to	has to	have to	be	handling				を	扱（あつか）	っ	ていなければいけない
	do	does	do	not have to be	handling				を	扱（あつか）	っ	ていなくてもいい
	have to	has to	have to	be able to	handle				を	扱（あつか）	う	ことができなければいけない
	do	does	do	not have to be able to	handle				を	扱（あつか）	う	ことはできなくてもいい
	had to	had to	had to		handle				を	扱（あつか）	わ	なければいけなかった
	did	did	did	not have to	handle				を	扱（あつか）	わ	なくてもよかった
	had to	had to	had to	be	handling				を	扱（あつか）	っ	ていなければいけなかった
	did	did	did	not have to be	handling				を	扱（あつか）	っ	ていなくてもよかった
	had to	had to	had to	be able to	handle				を	扱（あつか）	う	ことができなければいけなかった
	did	did	did	not have to be able to	handle				を	扱（あつか）	う	ことはできなくてもよかった
step-3	will	will	will		handle				を	扱（あつか）	う	だろう
	will	will	will	not	handle				を	扱（あつか）	わ	ないだろう
	will	will	will	be	handling				を	扱（あつか）	っ	ているだろう
	will	will	will	not be	handling				を	扱（あつか）	っ	ていないだろう
	will	will	will	be able to	handle				を	扱（あつか）	う	ことができるだろう
	will	will	will	not be able to	handle				を	扱（あつか）	う	ことはできないだろう
	may	may	may		handle				を	扱（あつか）	う	かもしれない
	may	may	may	not	handle				を	扱（あつか）	わ	ないかもしれない
	may	may	may	be	handling				を	扱（あつか）	っ	ているかもしれない
	may	may	may	not be	handling				を	扱（あつか）	っ	ていないかもしれない
	may	may	may	be able to	handle				を	扱（あつか）	う	ことができるかもしれない
	may	may	may	not be able to	handle				を	扱（あつか）	う	ことはできないかもしれない
	can	can	can		handle				を	扱（あつか）	う	ことができる
	can	can	can	not	handle				を	扱（あつか）	う	ことはできない
	should	should	should		handle				を	扱（あつか）	う	ほうがいい
	should	should	should	not	handle				を	扱（あつか）	わ	ないほうがいい
	should	should	should	be	handling				を	扱（あつか）	っ	ているほうがいい
