step-1	wipe	wipes	wipe						を	拭（ふ）	く
	do	does	do	not	wipe				を	拭（ふ）	か	ない
	wiped	wiped	wiped						を	拭（ふ）	い	た
	did	did	did	not	wipe				を	拭（ふ）	か	なかった
	am	is	are		wiping				を	拭（ふ）	い	ている
	am	is	are	not	wiping				を	拭（ふ）	い	ていない
	was	was	were		wiping				を	拭（ふ）	い	ていた
	was	was	were	not	wiping				を	拭（ふ）	い	ていなかった
step-2	am	is	are	going to	wipe				を	拭（ふ）	く	予定（よてい）だ
	am	is	are	not going to	wipe				を	拭（ふ）	く	予定（よてい）ではない
	was	was	were	going to	wipe				を	拭（ふ）	く	予定（よてい）だった
	was	was	were	not going to	wipe				を	拭（ふ）	く	予定（よてい）ではなかった
	am	is	are	able to	wipe				を	拭（ふ）	く	ことができる
	am	is	are	not able to	wipe				を	拭（ふ）	く	ことはできない
	was	was	were	able to	wipe				を	拭（ふ）	く	ことができた
	was	was	were	not able to	wipe				を	拭（ふ）	く	ことはできなかった
	could	could	could	not	wipe				を	拭（ふ）	く	ことはできなかった
	want	wants	want	to	wipe				を	拭（ふ）	き	たい
	do	does	do	not want to	wipe				を	拭（ふ）	き	たくない
	wanted  	wanted  	wanted	to	wipe				を	拭（ふ）	き	たかった
	did	did	did	not want to	wipe				を	拭（ふ）	き	たくなかった
	want	wants	want	to be	wiping				を	拭（ふ）	い	ていたい
	do	does	do	not want to be	wiping				を	拭（ふ）	い	ていたくない
	wanted  	wanted  	wanted	to be	wiping				を	拭（ふ）	い	ていたかった
	did	did	did	not want to be	wiping				を	拭（ふ）	い	ていたくなかった
	want	wants	want	to be able to	wipe				を	拭（ふ）	く	ことができるようになりたい
	do	does	do	not want to be able to	wipe				を	拭（ふ）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	wipe				を	拭（ふ）	く	ことができるようになりたかった
	did	did	did	not want to be able to	wipe				を	拭（ふ）	く	ことはできるようになりたくなかった
	have to	has to	have to		wipe				を	拭（ふ）	か	なければいけない
	do	does	do	not have to	wipe				を	拭（ふ）	か	なくてもいい
	have to	has to	have to	be	wiping				を	拭（ふ）	い	ていなければいけない
	do	does	do	not have to be	wiping				を	拭（ふ）	い	ていなくてもいい
	have to	has to	have to	be able to	wipe				を	拭（ふ）	く	ことができなければいけない
	do	does	do	not have to be able to	wipe				を	拭（ふ）	く	ことはできなくてもいい
	had to	had to	had to		wipe				を	拭（ふ）	か	なければいけなかった
	did	did	did	not have to	wipe				を	拭（ふ）	か	なくてもよかった
