step-1	draw	draws	draw						を	描（えが）	く
	do	does	do	not	draw				を	描（えが）	か	ない
	drew	drew	drew						を	描（えが）	い	た
	did	did	did	not	draw				を	描（えが）	か	なかった
	am	is	are		drawing				を	描（えが）	い	ている
	am	is	are	not	drawing				を	描（えが）	い	ていない
	was	was	were		drawing				を	描（えが）	い	ていた
	was	was	were	not	drawing				を	描（えが）	い	ていなかった
step-2	am	is	are	going to	draw				を	描（えが）	く	予定（よてい）だ
	am	is	are	not going to	draw				を	描（えが）	く	予定（よてい）ではない
	was	was	were	going to	draw				を	描（えが）	く	予定（よてい）だった
	was	was	were	not going to	draw				を	描（えが）	く	予定（よてい）ではなかった
	am	is	are	able to	draw				を	描（えが）	く	ことができる
	am	is	are	not able to	draw				を	描（えが）	く	ことはできない
	was	was	were	able to	draw				を	描（えが）	く	ことができた
	was	was	were	not able to	draw				を	描（えが）	く	ことはできなかった
	could	could	could	not	draw				を	描（えが）	く	ことはできなかった
	want	wants	want	to	draw				を	描（えが）	き	たい
	do	does	do	not want to	draw				を	描（えが）	き	たくない
	wanted  	wanted  	wanted	to	draw				を	描（えが）	き	たかった
	did	did	did	not want to	draw				を	描（えが）	き	たくなかった
	want	wants	want	to be	drawing				を	描（えが）	い	ていたい
	do	does	do	not want to be	drawing				を	描（えが）	い	ていたくない
	wanted  	wanted  	wanted	to be	drawing				を	描（えが）	い	ていたかった
	did	did	did	not want to be	drawing				を	描（えが）	い	ていたくなかった
	want	wants	want	to be able to	draw				を	描（えが）	く	ことができるようになりたい
	do	does	do	not want to be able to	draw				を	描（えが）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	draw				を	描（えが）	く	ことができるようになりたかった
	did	did	did	not want to be able to	draw				を	描（えが）	く	ことはできるようになりたくなかった
	have to	has to	have to		draw				を	描（えが）	か	なければいけない
	do	does	do	not have to	draw				を	描（えが）	か	なくてもいい
	have to	has to	have to	be	drawing				を	描（えが）	い	ていなければいけない
	do	does	do	not have to be	drawing				を	描（えが）	い	ていなくてもいい
	have to	has to	have to	be able to	draw				を	描（えが）	く	ことができなければいけない
	do	does	do	not have to be able to	draw				を	描（えが）	く	ことはできなくてもいい
	had to	had to	had to		draw				を	描（えが）	か	なければいけなかった
	did	did	did	not have to	draw				を	描（えが）	か	なくてもよかった
	had to	had to	had to	be	drawing				を	描（えが）	い	ていなければいけなかった
	did	did	did	not have to be	drawing				を	描（えが）	い	ていなくてもよかった
	had to	had to	had to	be able to	draw				を	描（えが）	く	ことができなければいけなかった
	did	did	did	not have to be able to	draw				を	描（えが）	く	ことはできなくてもよかった
step-3	will	will	will		draw				を	描（えが）	く	だろう
	will	will	will	not	draw				を	描（えが）	か	ないだろう
	will	will	will	be	drawing				を	描（えが）	い	ているだろう
	will	will	will	not be	drawing				を	描（えが）	い	ていないだろう
	will	will	will	be able to	draw				を	描（えが）	く	ことができるだろう
	will	will	will	not be able to	draw				を	描（えが）	く	ことはできないだろう
	may	may	may		draw				を	描（えが）	く	かもしれない
	may	may	may	not	draw				を	描（えが）	か	ないかもしれない
	may	may	may	be	drawing				を	描（えが）	い	ているかもしれない
	may	may	may	not be	drawing				を	描（えが）	い	ていないかもしれない
	may	may	may	be able to	draw				を	描（えが）	く	ことができるかもしれない
	may	may	may	not be able to	draw				を	描（えが）	く	ことはできないかもしれない
	can	can	can		draw				を	描（えが）	く	ことができる
	can	can	can	not	draw				を	描（えが）	く	ことはできない
	should	should	should		draw				を	描（えが）	く	ほうがいい
	should	should	should	not	draw				を	描（えが）	か	ないほうがいい
	should	should	should	be	drawing				を	描（えが）	い	ているほうがいい
	should	should	should	not be	drawing				を	描（えが）	い	ていないほうがいい
	should	should	should	be able to	draw				を	描（えが）	く	ことができるほうがいい
	should	should	should	not be able to	draw				を	描（えが）	く	ことはできないほうがいい
	should	should	should		draw				を	描（えが）	く	はずだ
	should	should	should	not	draw				を	描（えが）	か	ないはずだ
	should	should	should	be	drawing				を	描（えが）	い	ているはずだ
	should	should	should	not be	drawing				を	描（えが）	い	ていないはずだ
	should	should	should	be able to	draw				を	描（えが）	く	ことができるはずだ
	should	should	should	not be able to	draw				を	描（えが）	く	ことはできるはずがない
	had better	had better	had better		draw				を	描（えが）	く	べきだ
	had better	had better	had better	not	draw				を	描（えが）	く	べきではない
