step-1	walk	walks	walk							歩（ある）	く
	do	does	do	not	walk					歩（ある）	か	ない
	walked	walked	walked							歩（ある）	い	た
	did	did	did	not	walk					歩（ある）	か	なかった
	am	is	are		walking					歩（ある）	い	ている
	am	is	are	not	walking					歩（ある）	い	ていない
	was	was	were		walking					歩（ある）	い	ていた
	was	was	were	not	walking					歩（ある）	い	ていなかった
step-2	am	is	are	going to	walk					歩（ある）	く	予定（よてい）だ
	am	is	are	not going to	walk					歩（ある）	く	予定（よてい）ではない
	was	was	were	going to	walk					歩（ある）	く	予定（よてい）だった
	was	was	were	not going to	walk					歩（ある）	く	予定（よてい）ではなかった
	am	is	are	able to	walk					歩（ある）	く	ことができる
	am	is	are	not able to	walk					歩（ある）	く	ことはできない
	was	was	were	able to	walk					歩（ある）	く	ことができた
	was	was	were	not able to	walk					歩（ある）	く	ことはできなかった
	could	could	could	not	walk					歩（ある）	く	ことはできなかった
	want	wants	want	to	walk					歩（ある）	き	たい
	do	does	do	not want to	walk					歩（ある）	き	たくない
	wanted  	wanted  	wanted	to	walk					歩（ある）	き	たかった
	did	did	did	not want to	walk					歩（ある）	き	たくなかった
	want	wants	want	to be	walking					歩（ある）	い	ていたい
	do	does	do	not want to be	walking					歩（ある）	い	ていたくない
	wanted  	wanted  	wanted	to be	walking					歩（ある）	い	ていたかった
	did	did	did	not want to be	walking					歩（ある）	い	ていたくなかった
	want	wants	want	to be able to	walk					歩（ある）	く	ことができるようになりたい
	do	does	do	not want to be able to	walk					歩（ある）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	walk					歩（ある）	く	ことができるようになりたかった
	did	did	did	not want to be able to	walk					歩（ある）	く	ことはできるようになりたくなかった
	have to	has to	have to		walk					歩（ある）	か	なければいけない
	do	does	do	not have to	walk					歩（ある）	か	なくてもいい
	have to	has to	have to	be	walking					歩（ある）	い	ていなければいけない
	do	does	do	not have to be	walking					歩（ある）	い	ていなくてもいい
	have to	has to	have to	be able to	walk					歩（ある）	く	ことができなければいけない
	do	does	do	not have to be able to	walk					歩（ある）	く	ことはできなくてもいい
	had to	had to	had to		walk					歩（ある）	か	なければいけなかった
	did	did	did	not have to	walk					歩（ある）	か	なくてもよかった
	had to	had to	had to	be	walking					歩（ある）	い	ていなければいけなかった
