step-1	brush	brushes	brush		teeth					歯（は）を磨（みが）	く
	do	does	do	not	brush teeth					歯（は）を磨（みが）	か	ない
	brushed	brushed	brushed		teeth					歯（は）を磨（みが）	い	た
	did	did	did	not	brush teeth					歯（は）を磨（みが）	か	なかった
	am	is	are		brushing teeth					歯（は）を磨（みが）	い	ている
	am	is	are	not	brushing teeth					歯（は）を磨（みが）	い	ていない
	was	was	were		brushing teeth					歯（は）を磨（みが）	い	ていた
	was	was	were	not	brushing teeth					歯（は）を磨（みが）	い	ていなかった
step-2	am	is	are	going to	brush teeth					歯（は）を磨（みが）	く	予定（よてい）だ
	am	is	are	not going to	brush teeth					歯（は）を磨（みが）	く	予定（よてい）ではない
	was	was	were	going to	brush teeth					歯（は）を磨（みが）	く	予定（よてい）だった
	was	was	were	not going to	brush teeth					歯（は）を磨（みが）	く	予定（よてい）ではなかった
	am	is	are	able to	brush teeth					歯（は）を磨（みが）	く	ことができる
	am	is	are	not able to	brush teeth					歯（は）を磨（みが）	く	ことはできない
	was	was	were	able to	brush teeth					歯（は）を磨（みが）	く	ことができた
	was	was	were	not able to	brush teeth					歯（は）を磨（みが）	く	ことはできなかった
	could	could	could	not	brush teeth					歯（は）を磨（みが）	く	ことはできなかった
	want	wants	want	to	brush teeth					歯（は）を磨（みが）	き	たい
	do	does	do	not want to	brush teeth					歯（は）を磨（みが）	き	たくない
	wanted  	wanted  	wanted	to	brush teeth					歯（は）を磨（みが）	き	たかった
	did	did	did	not want to	brush teeth					歯（は）を磨（みが）	き	たくなかった
	want	wants	want	to be	brushing teeth					歯（は）を磨（みが）	い	ていたい
	do	does	do	not want to be	brushing teeth					歯（は）を磨（みが）	い	ていたくない
	wanted  	wanted  	wanted	to be	brushing teeth					歯（は）を磨（みが）	い	ていたかった
	did	did	did	not want to be	brushing teeth					歯（は）を磨（みが）	い	ていたくなかった
	want	wants	want	to be able to	brush teeth					歯（は）を磨（みが）	く	ことができるようになりたい
	do	does	do	not want to be able to	brush teeth					歯（は）を磨（みが）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	brush teeth					歯（は）を磨（みが）	く	ことができるようになりたかった
	did	did	did	not want to be able to	brush teeth					歯（は）を磨（みが）	く	ことはできるようになりたくなかった
	have to	has to	have to		brush teeth					歯（は）を磨（みが）	か	なければいけない
	do	does	do	not have to	brush teeth					歯（は）を磨（みが）	か	なくてもいい
