step-1	notice	notices	notice						に	気（き）づ	く
	do	does	do	not	notice				に	気（き）づ	か	ない
	noticed	noticed	noticed						に	気（き）づ	い	た
	did	did	did	not	notice				に	気（き）づ	か	なかった
	am	is	are		noticing				に	気（き）づ	い	ている
	am	is	are	not	noticing				に	気（き）づ	い	ていない
	was	was	were		noticing				に	気（き）づ	い	ていた
	was	was	were	not	noticing				に	気（き）づ	い	ていなかった
step-2	am	is	are	going to	notice				に	気（き）づ	く	予定（よてい）だ
	am	is	are	not going to	notice				に	気（き）づ	く	予定（よてい）ではない
	was	was	were	going to	notice				に	気（き）づ	く	予定（よてい）だった
	was	was	were	not going to	notice				に	気（き）づ	く	予定（よてい）ではなかった
	am	is	are	able to	notice				に	気（き）づ	く	ことができる
	am	is	are	not able to	notice				に	気（き）づ	く	ことはできない
	was	was	were	able to	notice				に	気（き）づ	く	ことができた
	was	was	were	not able to	notice				に	気（き）づ	く	ことはできなかった
	could	could	could	not	notice				に	気（き）づ	く	ことはできなかった
	want	wants	want	to	notice				に	気（き）づ	き	たい
	do	does	do	not want to	notice				に	気（き）づ	き	たくない
	wanted  	wanted  	wanted	to	notice				に	気（き）づ	き	たかった
	did	did	did	not want to	notice				に	気（き）づ	き	たくなかった
	want	wants	want	to be	noticing				に	気（き）づ	い	ていたい
	do	does	do	not want to be	noticing				に	気（き）づ	い	ていたくない
	wanted  	wanted  	wanted	to be	noticing				に	気（き）づ	い	ていたかった
	did	did	did	not want to be	noticing				に	気（き）づ	い	ていたくなかった
	want	wants	want	to be able to	notice				に	気（き）づ	く	ことができるようになりたい
	do	does	do	not want to be able to	notice				に	気（き）づ	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	notice				に	気（き）づ	く	ことができるようになりたかった
	did	did	did	not want to be able to	notice				に	気（き）づ	く	ことはできるようになりたくなかった
	have to	has to	have to		notice				に	気（き）づ	か	なければいけない
	do	does	do	not have to	notice				に	気（き）づ	か	なくてもいい
	have to	has to	have to	be	noticing				に	気（き）づ	い	ていなければいけない
	do	does	do	not have to be	noticing				に	気（き）づ	い	ていなくてもいい
	have to	has to	have to	be able to	notice				に	気（き）づ	く	ことができなければいけない
	do	does	do	not have to be able to	notice				に	気（き）づ	く	ことはできなくてもいい
	had to	had to	had to		notice				に	気（き）づ	か	なければいけなかった
	did	did	did	not have to	notice				に	気（き）づ	か	なくてもよかった
	had to	had to	had to	be	noticing				に	気（き）づ	い	ていなければいけなかった
	did	did	did	not have to be	noticing				に	気（き）づ	い	ていなくてもよかった
	had to	had to	had to	be able to	notice				に	気（き）づ	く	ことができなければいけなかった
	did	did	did	not have to be able to	notice				に	気（き）づ	く	ことはできなくてもよかった
step-3	will	will	will		notice				に	気（き）づ	く	だろう
	will	will	will	not	notice				に	気（き）づ	か	ないだろう
	will	will	will	be	noticing				に	気（き）づ	い	ているだろう
	will	will	will	not be	noticing				に	気（き）づ	い	ていないだろう
	will	will	will	be able to	notice				に	気（き）づ	く	ことができるだろう
	will	will	will	not be able to	notice				に	気（き）づ	く	ことはできないだろう
	may	may	may		notice				に	気（き）づ	く	かもしれない
	may	may	may	not	notice				に	気（き）づ	か	ないかもしれない
	may	may	may	be	noticing				に	気（き）づ	い	ているかもしれない
	may	may	may	not be	noticing				に	気（き）づ	い	ていないかもしれない
	may	may	may	be able to	notice				に	気（き）づ	く	ことができるかもしれない
	may	may	may	not be able to	notice				に	気（き）づ	く	ことはできないかもしれない
	can	can	can		notice				に	気（き）づ	く	ことができる
	can	can	can	not	notice				に	気（き）づ	く	ことはできない
	should	should	should		notice				に	気（き）づ	く	ほうがいい
	should	should	should	not	notice				に	気（き）づ	か	ないほうがいい
	should	should	should	be	noticing				に	気（き）づ	い	ているほうがいい
	should	should	should	not be	noticing				に	気（き）づ	い	ていないほうがいい
	should	should	should	be able to	notice				に	気（き）づ	く	ことができるほうがいい
	should	should	should	not be able to	notice				に	気（き）づ	く	ことはできないほうがいい
	should	should	should		notice				に	気（き）づ	く	はずだ
	should	should	should	not	notice				に	気（き）づ	か	ないはずだ
	should	should	should	be	noticing				に	気（き）づ	い	ているはずだ
	should	should	should	not be	noticing				に	気（き）づ	い	ていないはずだ
	should	should	should	be able to	notice				に	気（き）づ	く	ことができるはずだ
	should	should	should	not be able to	notice				に	気（き）づ	く	ことはできるはずがない
	had better	had better	had better		notice				に	気（き）づ	く	べきだ
	had better	had better	had better	not	notice				に	気（き）づ	く	べきではない
	must	must	must		notice				に	気（き）づ	く	にちがいない
	must	must	must	not	notice				に	気（き）づ	い	てはいけない
	must	must	must	be	noticing				に	気（き）づ	い	ているにちがいない
	must	must	must	not be	noticing				に	気（き）づ	い	ていてはいけない
	must	must	must	be able to	notice				に	気（き）づ	く	ことができるにちがいない
	must	must	must	not be able to	notice				に	気（き）づ	く	ことはできてはいけない
	will	will	will	have to	notice				に	気（き）づ	か	なければいけないだろう
