step-1	get	gets	get		a shot					注射（ちゅうしゃ）してもら	う	
	do	does	do	not	get a shot					注射（ちゅうしゃ）してもら	わ	ない
	got	got	got		a shot					注射（ちゅうしゃ）してもら	っ	た
	did	did	did	not	get a shot					注射（ちゅうしゃ）してもら	わ	なかった
	am	is	are		getting a shot					注射（ちゅうしゃ）してもら	っ	ている
	am	is	are	not	getting a shot					注射（ちゅうしゃ）してもら	っ	ていない
	was	was	were		getting a shot					注射（ちゅうしゃ）してもら	っ	ていた
	was	was	were	not	getting a shot					注射（ちゅうしゃ）してもら	っ	ていなかった
step-2	am	is	are	going to	get a shot					注射（ちゅうしゃ）してもら	う	予定（よてい）だ
	am	is	are	not going to	get a shot					注射（ちゅうしゃ）してもら	う	予定（よてい）ではない
	was	was	were	going to	get a shot					注射（ちゅうしゃ）してもら	う	予定（よてい）だった
	was	was	were	not going to	get a shot					注射（ちゅうしゃ）してもら	う	予定（よてい）ではなかった
	am	is	are	able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができる
	am	is	are	not able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできない
	was	was	were	able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができた
	was	was	were	not able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかった
	could	could	could	not	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかった
	want	wants	want	to	get a shot					注射（ちゅうしゃ）してもら	い	たい
	do	does	do	not want to	get a shot					注射（ちゅうしゃ）してもら	い	たくない
	wanted  	wanted  	wanted	to	get a shot					注射（ちゅうしゃ）してもら	い	たかった
	did	did	did	not want to	get a shot					注射（ちゅうしゃ）してもら	い	たくなかった
	want	wants	want	to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていたい
	do	does	do	not want to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていたくない
	wanted  	wanted  	wanted	to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていたかった
	did	did	did	not want to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていたくなかった
	want	wants	want	to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができるようになりたい
	do	does	do	not want to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができるようになりたかった
	did	did	did	not want to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできるようになりたくなかった
	have to	has to	have to		get a shot					注射（ちゅうしゃ）してもら	わ	なければいけない
	do	does	do	not have to	get a shot					注射（ちゅうしゃ）してもら	わ	なくてもいい
	have to	has to	have to	be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていなければいけない
	do	does	do	not have to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていなくてもいい
	have to	has to	have to	be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができなければいけない
