step-1	doubt	doubts	doubt						を	疑（うたが）	う
	do	does	do	not	doubt				を	疑（うたが）	わ	ない
	doubted	doubted	doubted						を	疑（うたが）	っ	た
	did	did	did	not	doubt				を	疑（うたが）	わ	なかった
	am	is	are		doubting				を	疑（うたが）	っ	ている
	am	is	are	not	doubting				を	疑（うたが）	っ	ていない
	was	was	were		doubting				を	疑（うたが）	っ	ていた
	was	was	were	not	doubting				を	疑（うたが）	っ	ていなかった
step-2	am	is	are	going to	doubt				を	疑（うたが）	う	予定（よてい）だ
	am	is	are	not going to	doubt				を	疑（うたが）	う	予定（よてい）ではない
	was	was	were	going to	doubt				を	疑（うたが）	う	予定（よてい）だった
	was	was	were	not going to	doubt				を	疑（うたが）	う	予定（よてい）ではなかった
	am	is	are	able to	doubt				を	疑（うたが）	う	ことができる
	am	is	are	not able to	doubt				を	疑（うたが）	う	ことはできない
	was	was	were	able to	doubt				を	疑（うたが）	う	ことができた
	was	was	were	not able to	doubt				を	疑（うたが）	う	ことはできなかった
	could	could	could	not	doubt				を	疑（うたが）	う	ことはできなかった
	want	wants	want	to	doubt				を	疑（うたが）	い	たい
	do	does	do	not want to	doubt				を	疑（うたが）	い	たくない
	wanted  	wanted  	wanted	to	doubt				を	疑（うたが）	い	たかった
	did	did	did	not want to	doubt				を	疑（うたが）	い	たくなかった
	want	wants	want	to be	doubting				を	疑（うたが）	っ	ていたい
	do	does	do	not want to be	doubting				を	疑（うたが）	っ	ていたくない
	wanted  	wanted  	wanted	to be	doubting				を	疑（うたが）	っ	ていたかった
	did	did	did	not want to be	doubting				を	疑（うたが）	っ	ていたくなかった
	want	wants	want	to be able to	doubt				を	疑（うたが）	う	ことができるようになりたい
	do	does	do	not want to be able to	doubt				を	疑（うたが）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	doubt				を	疑（うたが）	う	ことができるようになりたかった
	did	did	did	not want to be able to	doubt				を	疑（うたが）	う	ことはできるようになりたくなかった
	have to	has to	have to		doubt				を	疑（うたが）	わ	なければいけない
	do	does	do	not have to	doubt				を	疑（うたが）	わ	なくてもいい
	have to	has to	have to	be	doubting				を	疑（うたが）	っ	ていなければいけない
	do	does	do	not have to be	doubting				を	疑（うたが）	っ	ていなくてもいい
	have to	has to	have to	be able to	doubt				を	疑（うたが）	う	ことができなければいけない
	do	does	do	not have to be able to	doubt				を	疑（うたが）	う	ことはできなくてもいい
	had to	had to	had to		doubt				を	疑（うたが）	わ	なければいけなかった
	did	did	did	not have to	doubt				を	疑（うたが）	わ	なくてもよかった
	had to	had to	had to	be	doubting				を	疑（うたが）	っ	ていなければいけなかった
	did	did	did	not have to be	doubting				を	疑（うたが）	っ	ていなくてもよかった
	had to	had to	had to	be able to	doubt				を	疑（うたが）	う	ことができなければいけなかった
	did	did	did	not have to be able to	doubt				を	疑（うたが）	う	ことはできなくてもよかった
step-3	will	will	will		doubt				を	疑（うたが）	う	だろう
	will	will	will	not	doubt				を	疑（うたが）	わ	ないだろう
	will	will	will	be	doubting				を	疑（うたが）	っ	ているだろう
	will	will	will	not be	doubting				を	疑（うたが）	っ	ていないだろう
	will	will	will	be able to	doubt				を	疑（うたが）	う	ことができるだろう
	will	will	will	not be able to	doubt				を	疑（うたが）	う	ことはできないだろう
	may	may	may		doubt				を	疑（うたが）	う	かもしれない
	may	may	may	not	doubt				を	疑（うたが）	わ	ないかもしれない
	may	may	may	be	doubting				を	疑（うたが）	っ	ているかもしれない
	may	may	may	not be	doubting				を	疑（うたが）	っ	ていないかもしれない
	may	may	may	be able to	doubt				を	疑（うたが）	う	ことができるかもしれない
	may	may	may	not be able to	doubt				を	疑（うたが）	う	ことはできないかもしれない
	can	can	can		doubt				を	疑（うたが）	う	ことができる
	can	can	can	not	doubt				を	疑（うたが）	う	ことはできない
	should	should	should		doubt				を	疑（うたが）	う	ほうがいい
	should	should	should	not	doubt				を	疑（うたが）	わ	ないほうがいい
	should	should	should	be	doubting				を	疑（うたが）	っ	ているほうがいい
	should	should	should	not be	doubting				を	疑（うたが）	っ	ていないほうがいい
	should	should	should	be able to	doubt				を	疑（うたが）	う	ことができるほうがいい
	should	should	should	not be able to	doubt				を	疑（うたが）	う	ことはできないほうがいい
	should	should	should		doubt				を	疑（うたが）	う	はずだ
	should	should	should	not	doubt				を	疑（うたが）	わ	ないはずだ
	should	should	should	be	doubting				を	疑（うたが）	っ	ているはずだ
	should	should	should	not be	doubting				を	疑（うたが）	っ	ていないはずだ
	should	should	should	be able to	doubt				を	疑（うたが）	う	ことができるはずだ
	should	should	should	not be able to	doubt				を	疑（うたが）	う	ことはできるはずがない
	had better	had better	had better		doubt				を	疑（うたが）	う	べきだ
	had better	had better	had better	not	doubt				を	疑（うたが）	う	べきではない
	must	must	must		doubt				を	疑（うたが）	う	にちがいない
	must	must	must	not	doubt				を	疑（うたが）	っ	てはいけない
	must	must	must	be	doubting				を	疑（うたが）	っ	ているにちがいない
	must	must	must	not be	doubting				を	疑（うたが）	っ	ていてはいけない
	must	must	must	be able to	doubt				を	疑（うたが）	う	ことができるにちがいない
	must	must	must	not be able to	doubt				を	疑（うたが）	う	ことはできてはいけない
	will	will	will	have to	doubt				を	疑（うたが）	わ	なければいけないだろう
	will	will	will	not have to	doubt				を	疑（うたが）	わ	なくてもいいだろう
	will	will	will	have to be	doubting				を	疑（うたが）	っ	ていなければいけないだろう
	will	will	will	not have to be	doubting				を	疑（うたが）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	doubt				を	疑（うたが）	う	ことができなければいけないだろう
	will	will	will	not have to be able to	doubt				を	疑（うたが）	う	ことはできなくてもいいだろう
	may	may	may	have to	doubt				を	疑（うたが）	わ	なければいけないかもしれない
	may	may	may	not have to	doubt				を	疑（うたが）	わ	なくてもいいかもしれない
	may	may	may	have to be	doubting				を	疑（うたが）	っ	ていなければいけないかもしれない
	may	may	may	not have to be	doubting				を	疑（うたが）	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	doubt				を	疑（うたが）	う	ことができなければいけないかもしれない
	may	may	may	not have to be able to	doubt				を	疑（うたが）	う	ことはできなくてもいいかもしれない
step-4	have	has	have		doubted				を	疑（うたが）	っ	たことがある
	have	has	have	not	doubted				を	疑（うたが）	っ	たことはない
	have	has	have	been	doubting			（ずっと）	を	疑（うたが）	っ	ている
	have	has	have	not been	doubting			（ずっと）	を	疑（うたが）	っ	ていない
	have	has	have		doubted		already	すでに	を	疑（うたが）	っ	ている
	have	has	have	not	doubted		yet	まだ	を	疑（うたが）	っ	ていない
	had	had	had		doubted		before that	それ以前（いぜん）	を	疑（うたが）	っ	たことがあった
	had	had	had	not	doubted		before that	それ以前（いぜん）	を	疑（うたが）	っ	たことはなかった
	had	had	had	been	doubting		till then	それまでずっと	を	疑（うたが）	っ	ていた
	had	had	had	not been	doubting		till then	それまでずっと	を	疑（うたが）	っ	ていなかった
	had	had	had		doubted		already	すでに	を	疑（うたが）	っ	ていた
	had	had	had	not	doubted		yet	まだ	を	疑（うたが）	っ	ていなかった
	have	has	have	been able to	doubt			（ずっと）	を	疑（うたが）	う	ことができている
	have	has	have	not been able to	doubt		yet	まだ	を	疑（うたが）	う	ことはできていない
	had	had	had	been able to	doubt		till then	それまでずっと	を	疑（うたが）	う	ことができていた
	had	had	had	not been able to	doubt		till then	それまでずっと	を	疑（うたが）	う	ことはできていなかった
step-5	may have	may have	may have		doubted				を	疑（うたが）	っ	たかもしれない
	may not have	may not have	may not have		doubted				を	疑（うたが）	わ	なかったかもしれない
	may have	may have	may have	been able to	doubt				を	疑（うたが）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	doubt				を	疑（うたが）	う	ことはできなかったかもしれない
	must have	must have	must have		doubted				を	疑（うたが）	っ	たにちがいない
	must not have	must not have	must not have		doubted				を	疑（うたが）	わ	なかったにちがいない
	must have	must have	must have	been able to	doubt				を	疑（うたが）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	doubt				を	疑（うたが）	う	ことはできなかったにちがいない
	should have	should have	should have		doubted				を	疑（うたが）	う	ほうがよかった
	should not have	should not have	should not have		doubted				を	疑（うたが）	わ	ないほうがよかった
	should have	should have	should have	been able to	doubt				を	疑（うたが）	う	ことができたはずだ
