step-1	laugh	laughs	laugh			at			を	笑（わら）	う
	do	does	do	not	laugh	at			を	笑（わら）	わ	ない
	laughed	laughed	laughed			at			を	笑（わら）	っ	た
	did	did	did	not	laugh	at			を	笑（わら）	わ	なかった
	am	is	are		laughing	at			を	笑（わら）	っ	ている
	am	is	are	not	laughing	at			を	笑（わら）	っ	ていない
	was	was	were		laughing	at			を	笑（わら）	っ	ていた
	was	was	were	not	laughing	at			を	笑（わら）	っ	ていなかった
step-2	am	is	are	going to	laugh	at			を	笑（わら）	う	予定（よてい）だ
	am	is	are	not going to	laugh	at			を	笑（わら）	う	予定（よてい）ではない
	was	was	were	going to	laugh	at			を	笑（わら）	う	予定（よてい）だった
	was	was	were	not going to	laugh	at			を	笑（わら）	う	予定（よてい）ではなかった
	am	is	are	able to	laugh	at			を	笑（わら）	う	ことができる
	am	is	are	not able to	laugh	at			を	笑（わら）	う	ことはできない
	was	was	were	able to	laugh	at			を	笑（わら）	う	ことができた
	was	was	were	not able to	laugh	at			を	笑（わら）	う	ことはできなかった
	could	could	could	not	laugh	at			を	笑（わら）	う	ことはできなかった
	want	wants	want	to	laugh	at			を	笑（わら）	い	たい
	do	does	do	not want to	laugh	at			を	笑（わら）	い	たくない
	wanted  	wanted  	wanted	to	laugh	at			を	笑（わら）	い	たかった
	did	did	did	not want to	laugh	at			を	笑（わら）	い	たくなかった
	want	wants	want	to be	laughing	at			を	笑（わら）	っ	ていたい
	do	does	do	not want to be	laughing	at			を	笑（わら）	っ	ていたくない
	wanted  	wanted  	wanted	to be	laughing	at			を	笑（わら）	っ	ていたかった
	did	did	did	not want to be	laughing	at			を	笑（わら）	っ	ていたくなかった
	want	wants	want	to be able to	laugh	at			を	笑（わら）	う	ことができるようになりたい
	do	does	do	not want to be able to	laugh	at			を	笑（わら）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	laugh	at			を	笑（わら）	う	ことができるようになりたかった
	did	did	did	not want to be able to	laugh	at			を	笑（わら）	う	ことはできるようになりたくなかった
	have to	has to	have to		laugh	at			を	笑（わら）	わ	なければいけない
	do	does	do	not have to	laugh	at			を	笑（わら）	わ	なくてもいい
	have to	has to	have to	be	laughing	at			を	笑（わら）	っ	ていなければいけない
	do	does	do	not have to be	laughing	at			を	笑（わら）	っ	ていなくてもいい
	have to	has to	have to	be able to	laugh	at			を	笑（わら）	う	ことができなければいけない
	do	does	do	not have to be able to	laugh	at			を	笑（わら）	う	ことはできなくてもいい
	had to	had to	had to		laugh	at			を	笑（わら）	わ	なければいけなかった
	did	did	did	not have to	laugh	at			を	笑（わら）	わ	なくてもよかった
	had to	had to	had to	be	laughing	at			を	笑（わら）	っ	ていなければいけなかった
	did	did	did	not have to be	laughing	at			を	笑（わら）	っ	ていなくてもよかった
	had to	had to	had to	be able to	laugh	at			を	笑（わら）	う	ことができなければいけなかった
	did	did	did	not have to be able to	laugh	at			を	笑（わら）	う	ことはできなくてもよかった
step-3	will	will	will		laugh	at			を	笑（わら）	う	だろう
	will	will	will	not	laugh	at			を	笑（わら）	わ	ないだろう
	will	will	will	be	laughing	at			を	笑（わら）	っ	ているだろう
	will	will	will	not be	laughing	at			を	笑（わら）	っ	ていないだろう
	will	will	will	be able to	laugh	at			を	笑（わら）	う	ことができるだろう
	will	will	will	not be able to	laugh	at			を	笑（わら）	う	ことはできないだろう
	may	may	may		laugh	at			を	笑（わら）	う	かもしれない
	may	may	may	not	laugh	at			を	笑（わら）	わ	ないかもしれない
	may	may	may	be	laughing	at			を	笑（わら）	っ	ているかもしれない
	may	may	may	not be	laughing	at			を	笑（わら）	っ	ていないかもしれない
	may	may	may	be able to	laugh	at			を	笑（わら）	う	ことができるかもしれない
	may	may	may	not be able to	laugh	at			を	笑（わら）	う	ことはできないかもしれない
	can	can	can		laugh	at			を	笑（わら）	う	ことができる
	can	can	can	not	laugh	at			を	笑（わら）	う	ことはできない
	should	should	should		laugh	at			を	笑（わら）	う	ほうがいい
	should	should	should	not	laugh	at			を	笑（わら）	わ	ないほうがいい
	should	should	should	be	laughing	at			を	笑（わら）	っ	ているほうがいい
	should	should	should	not be	laughing	at			を	笑（わら）	っ	ていないほうがいい
	should	should	should	be able to	laugh	at			を	笑（わら）	う	ことができるほうがいい
	should	should	should	not be able to	laugh	at			を	笑（わら）	う	ことはできないほうがいい
	should	should	should		laugh	at			を	笑（わら）	う	はずだ
	should	should	should	not	laugh	at			を	笑（わら）	わ	ないはずだ
	should	should	should	be	laughing	at			を	笑（わら）	っ	ているはずだ
	should	should	should	not be	laughing	at			を	笑（わら）	っ	ていないはずだ
	should	should	should	be able to	laugh	at			を	笑（わら）	う	ことができるはずだ
	should	should	should	not be able to	laugh	at			を	笑（わら）	う	ことはできるはずがない
	had better	had better	had better		laugh	at			を	笑（わら）	う	べきだ
	had better	had better	had better	not	laugh	at			を	笑（わら）	う	べきではない
	must	must	must		laugh	at			を	笑（わら）	う	にちがいない
	must	must	must	not	laugh	at			を	笑（わら）	っ	てはいけない
	must	must	must	be	laughing	at			を	笑（わら）	っ	ているにちがいない
	must	must	must	not be	laughing	at			を	笑（わら）	っ	ていてはいけない
	must	must	must	be able to	laugh	at			を	笑（わら）	う	ことができるにちがいない
	must	must	must	not be able to	laugh	at			を	笑（わら）	う	ことはできてはいけない
	will	will	will	have to	laugh	at			を	笑（わら）	わ	なければいけないだろう
	will	will	will	not have to	laugh	at			を	笑（わら）	わ	なくてもいいだろう
	will	will	will	have to be	laughing	at			を	笑（わら）	っ	ていなければいけないだろう
	will	will	will	not have to be	laughing	at			を	笑（わら）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	laugh	at			を	笑（わら）	う	ことができなければいけないだろう
	will	will	will	not have to be able to	laugh	at			を	笑（わら）	う	ことはできなくてもいいだろう
	may	may	may	have to	laugh	at			を	笑（わら）	わ	なければいけないかもしれない
	may	may	may	not have to	laugh	at			を	笑（わら）	わ	なくてもいいかもしれない
	may	may	may	have to be	laughing	at			を	笑（わら）	っ	ていなければいけないかもしれない
	may	may	may	not have to be	laughing	at			を	笑（わら）	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	laugh	at			を	笑（わら）	う	ことができなければいけないかもしれない
	may	may	may	not have to be able to	laugh	at			を	笑（わら）	う	ことはできなくてもいいかもしれない
step-4	have	has	have		laughed	at			を	笑（わら）	っ	たことがある
	have	has	have	not	laughed	at			を	笑（わら）	っ	たことはない
	have	has	have	been	laughing	at		（ずっと）	を	笑（わら）	っ	ている
	have	has	have	not been	laughing	at		（ずっと）	を	笑（わら）	っ	ていない
	have	has	have		laughed	at	already	すでに	を	笑（わら）	っ	ている
	have	has	have	not	laughed	at	yet	まだ	を	笑（わら）	っ	ていない
	had	had	had		laughed	at	before that	それ以前（いぜん）	を	笑（わら）	っ	たことがあった
	had	had	had	not	laughed	at	before that	それ以前（いぜん）	を	笑（わら）	っ	たことはなかった
	had	had	had	been	laughing	at	till then	それまでずっと	を	笑（わら）	っ	ていた
