step-1	paint	paints	paint						を	絵（え）の具（ぐ）で描（か）	く
	do	does	do	not	paint				を	絵（え）の具（ぐ）で描（か）	か	ない
	painted	painted	painted						を	絵（え）の具（ぐ）で描（か）	い	た
	did	did	did	not	paint				を	絵（え）の具（ぐ）で描（か）	か	なかった
	am	is	are		painting				を	絵（え）の具（ぐ）で描（か）	い	ている
	am	is	are	not	painting				を	絵（え）の具（ぐ）で描（か）	い	ていない
	was	was	were		painting				を	絵（え）の具（ぐ）で描（か）	い	ていた
	was	was	were	not	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなかった
step-2	am	is	are	going to	paint				を	絵（え）の具（ぐ）で描（か）	く	予定（よてい）だ
	am	is	are	not going to	paint				を	絵（え）の具（ぐ）で描（か）	く	予定（よてい）ではない
	was	was	were	going to	paint				を	絵（え）の具（ぐ）で描（か）	く	予定（よてい）だった
	was	was	were	not going to	paint				を	絵（え）の具（ぐ）で描（か）	く	予定（よてい）ではなかった
	am	is	are	able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができる
	am	is	are	not able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできない
	was	was	were	able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができた
	was	was	were	not able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなかった
	could	could	could	not	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなかった
	want	wants	want	to	paint				を	絵（え）の具（ぐ）で描（か）	き	たい
	do	does	do	not want to	paint				を	絵（え）の具（ぐ）で描（か）	き	たくない
	wanted  	wanted  	wanted	to	paint				を	絵（え）の具（ぐ）で描（か）	き	たかった
	did	did	did	not want to	paint				を	絵（え）の具（ぐ）で描（か）	き	たくなかった
	want	wants	want	to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていたい
	do	does	do	not want to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていたくない
	wanted  	wanted  	wanted	to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていたかった
	did	did	did	not want to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていたくなかった
	want	wants	want	to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができるようになりたい
	do	does	do	not want to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができるようになりたかった
	did	did	did	not want to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできるようになりたくなかった
	have to	has to	have to		paint				を	絵（え）の具（ぐ）で描（か）	か	なければいけない
	do	does	do	not have to	paint				を	絵（え）の具（ぐ）で描（か）	か	なくてもいい
	have to	has to	have to	be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなければいけない
	do	does	do	not have to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなくてもいい
	have to	has to	have to	be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができなければいけない
	do	does	do	not have to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなくてもいい
	had to	had to	had to		paint				を	絵（え）の具（ぐ）で描（か）	か	なければいけなかった
	did	did	did	not have to	paint				を	絵（え）の具（ぐ）で描（か）	か	なくてもよかった
	had to	had to	had to	be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなければいけなかった
	did	did	did	not have to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなくてもよかった
	had to	had to	had to	be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができなければいけなかった
	did	did	did	not have to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなくてもよかった
step-3	will	will	will		paint				を	絵（え）の具（ぐ）で描（か）	く	だろう
	will	will	will	not	paint				を	絵（え）の具（ぐ）で描（か）	か	ないだろう
	will	will	will	be	painting				を	絵（え）の具（ぐ）で描（か）	い	ているだろう
