step-1	place	places	place						を	置（お）	く
	do	does	do	not	place				を	置（お）	か	ない
	placed	placed	placed						を	置（お）	い	た
	did	did	did	not	place				を	置（お）	か	なかった
	am	is	are		placing				を	置（お）	い	ている
	am	is	are	not	placing				を	置（お）	い	ていない
	was	was	were		placing				を	置（お）	い	ていた
	was	was	were	not	placing				を	置（お）	い	ていなかった
step-2	am	is	are	going to	place				を	置（お）	く	予定（よてい）だ
	am	is	are	not going to	place				を	置（お）	く	予定（よてい）ではない
	was	was	were	going to	place				を	置（お）	く	予定（よてい）だった
	was	was	were	not going to	place				を	置（お）	く	予定（よてい）ではなかった
	am	is	are	able to	place				を	置（お）	く	ことができる
	am	is	are	not able to	place				を	置（お）	く	ことはできない
	was	was	were	able to	place				を	置（お）	く	ことができた
	was	was	were	not able to	place				を	置（お）	く	ことはできなかった
	could	could	could	not	place				を	置（お）	く	ことはできなかった
	want	wants	want	to	place				を	置（お）	き	たい
	do	does	do	not want to	place				を	置（お）	き	たくない
	wanted  	wanted  	wanted	to	place				を	置（お）	き	たかった
	did	did	did	not want to	place				を	置（お）	き	たくなかった
	want	wants	want	to be	placing				を	置（お）	い	ていたい
	do	does	do	not want to be	placing				を	置（お）	い	ていたくない
	wanted  	wanted  	wanted	to be	placing				を	置（お）	い	ていたかった
	did	did	did	not want to be	placing				を	置（お）	い	ていたくなかった
	want	wants	want	to be able to	place				を	置（お）	く	ことができるようになりたい
	do	does	do	not want to be able to	place				を	置（お）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	place				を	置（お）	く	ことができるようになりたかった
	did	did	did	not want to be able to	place				を	置（お）	く	ことはできるようになりたくなかった
	have to	has to	have to		place				を	置（お）	か	なければいけない
	do	does	do	not have to	place				を	置（お）	か	なくてもいい
	have to	has to	have to	be	placing				を	置（お）	い	ていなければいけない
	do	does	do	not have to be	placing				を	置（お）	い	ていなくてもいい
	have to	has to	have to	be able to	place				を	置（お）	く	ことができなければいけない
	do	does	do	not have to be able to	place				を	置（お）	く	ことはできなくてもいい
	had to	had to	had to		place				を	置（お）	か	なければいけなかった
	did	did	did	not have to	place				を	置（お）	か	なくてもよかった
	had to	had to	had to	be	placing				を	置（お）	い	ていなければいけなかった
	did	did	did	not have to be	placing				を	置（お）	い	ていなくてもよかった
	had to	had to	had to	be able to	place				を	置（お）	く	ことができなければいけなかった
	did	did	did	not have to be able to	place				を	置（お）	く	ことはできなくてもよかった
step-3	will	will	will		place				を	置（お）	く	だろう
	will	will	will	not	place				を	置（お）	か	ないだろう
