step-1	listen	listens	listen			to			を	聴（き）	く
	do	does	do	not	listen	to			を	聴（き）	か	ない
	listened	listened	listened			to			を	聴（き）	い	た
	did	did	did	not	listen	to			を	聴（き）	か	なかった
	am	is	are		listening	to			を	聴（き）	い	ている
	am	is	are	not	listening	to			を	聴（き）	い	ていない
	was	was	were		listening	to			を	聴（き）	い	ていた
	was	was	were	not	listening	to			を	聴（き）	い	ていなかった
step-2	am	is	are	going to	listen	to			を	聴（き）	く	予定（よてい）だ
	am	is	are	not going to	listen	to			を	聴（き）	く	予定（よてい）ではない
	was	was	were	going to	listen	to			を	聴（き）	く	予定（よてい）だった
	was	was	were	not going to	listen	to			を	聴（き）	く	予定（よてい）ではなかった
	am	is	are	able to	listen	to			を	聴（き）	く	ことができる
	am	is	are	not able to	listen	to			を	聴（き）	く	ことはできない
	was	was	were	able to	listen	to			を	聴（き）	く	ことができた
	was	was	were	not able to	listen	to			を	聴（き）	く	ことはできなかった
	could	could	could	not	listen	to			を	聴（き）	く	ことはできなかった
	want	wants	want	to	listen	to			を	聴（き）	き	たい
	do	does	do	not want to	listen	to			を	聴（き）	き	たくない
	wanted  	wanted  	wanted	to	listen	to			を	聴（き）	き	たかった
	did	did	did	not want to	listen	to			を	聴（き）	き	たくなかった
	want	wants	want	to be	listening	to			を	聴（き）	い	ていたい
	do	does	do	not want to be	listening	to			を	聴（き）	い	ていたくない
	wanted  	wanted  	wanted	to be	listening	to			を	聴（き）	い	ていたかった
	did	did	did	not want to be	listening	to			を	聴（き）	い	ていたくなかった
	want	wants	want	to be able to	listen	to			を	聴（き）	く	ことができるようになりたい
	do	does	do	not want to be able to	listen	to			を	聴（き）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	listen	to			を	聴（き）	く	ことができるようになりたかった
	did	did	did	not want to be able to	listen	to			を	聴（き）	く	ことはできるようになりたくなかった
	have to	has to	have to		listen	to			を	聴（き）	か	なければいけない
	do	does	do	not have to	listen	to			を	聴（き）	か	なくてもいい
	have to	has to	have to	be	listening	to			を	聴（き）	い	ていなければいけない
	do	does	do	not have to be	listening	to			を	聴（き）	い	ていなくてもいい
	have to	has to	have to	be able to	listen	to			を	聴（き）	く	ことができなければいけない
	do	does	do	not have to be able to	listen	to			を	聴（き）	く	ことはできなくてもいい
	had to	had to	had to		listen	to			を	聴（き）	か	なければいけなかった
	did	did	did	not have to	listen	to			を	聴（き）	か	なくてもよかった
	had to	had to	had to	be	listening	to			を	聴（き）	い	ていなければいけなかった
	did	did	did	not have to be	listening	to			を	聴（き）	い	ていなくてもよかった
	had to	had to	had to	be able to	listen	to			を	聴（き）	く	ことができなければいけなかった
