step-1	take	takes	take		off				を	脱（ぬ）	ぐ
	do	does	do	not	take off				を	脱（ぬ）	が	ない
	took	took	took		off				を	脱（ぬ）	い	だ
	did	did	did	not	take off				を	脱（ぬ）	が	なかった
	am	is	are		taking off				を	脱（ぬ）	い	でいる
	am	is	are	not	taking off				を	脱（ぬ）	い	でいない
	was	was	were		taking off				を	脱（ぬ）	い	でいた
	was	was	were	not	taking off				を	脱（ぬ）	い	でいなかった
step-2	am	is	are	going to	take off				を	脱（ぬ）	ぐ	予定（よてい）だ
	am	is	are	not going to	take off				を	脱（ぬ）	ぐ	予定（よてい）ではない
	was	was	were	going to	take off				を	脱（ぬ）	ぐ	予定（よてい）だった
	was	was	were	not going to	take off				を	脱（ぬ）	ぐ	予定（よてい）ではなかった
	am	is	are	able to	take off				を	脱（ぬ）	ぐ	ことができる
	am	is	are	not able to	take off				を	脱（ぬ）	ぐ	ことはできない
	was	was	were	able to	take off				を	脱（ぬ）	ぐ	ことができた
	was	was	were	not able to	take off				を	脱（ぬ）	ぐ	ことはできなかった
	could	could	could	not	take off				を	脱（ぬ）	ぐ	ことはできなかった
	want	wants	want	to	take off				を	脱（ぬ）	ぎ	たい
	do	does	do	not want to	take off				を	脱（ぬ）	ぎ	たくない
	wanted  	wanted  	wanted	to	take off				を	脱（ぬ）	ぎ	たかった
	did	did	did	not want to	take off				を	脱（ぬ）	ぎ	たくなかった
	want	wants	want	to be	taking off				を	脱（ぬ）	い	でいたい
	do	does	do	not want to be	taking off				を	脱（ぬ）	い	でいたくない
	wanted  	wanted  	wanted	to be	taking off				を	脱（ぬ）	い	でいたかった
	did	did	did	not want to be	taking off				を	脱（ぬ）	い	でいたくなかった
	want	wants	want	to be able to	take off				を	脱（ぬ）	ぐ	ことができるようになりたい
	do	does	do	not want to be able to	take off				を	脱（ぬ）	ぐ	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	take off				を	脱（ぬ）	ぐ	ことができるようになりたかった
	did	did	did	not want to be able to	take off				を	脱（ぬ）	ぐ	ことはできるようになりたくなかった
	have to	has to	have to		take off				を	脱（ぬ）	が	なければいけない
	do	does	do	not have to	take off				を	脱（ぬ）	が	なくてもいい
	have to	has to	have to	be	taking off				を	脱（ぬ）	い	でいなければいけない
	do	does	do	not have to be	taking off				を	脱（ぬ）	い	でいなくてもいい
	have to	has to	have to	be able to	take off				を	脱（ぬ）	ぐ	ことができなければいけない
	do	does	do	not have to be able to	take off				を	脱（ぬ）	ぐ	ことはできなくてもいい
	had to	had to	had to		take off				を	脱（ぬ）	が	なければいけなかった
	did	did	did	not have to	take off				を	脱（ぬ）	が	なくてもよかった
	had to	had to	had to	be	taking off				を	脱（ぬ）	い	でいなければいけなかった
	did	did	did	not have to be	taking off				を	脱（ぬ）	い	でいなくてもよかった
	had to	had to	had to	be able to	take off				を	脱（ぬ）	ぐ	ことができなければいけなかった
	did	did	did	not have to be able to	take off				を	脱（ぬ）	ぐ	ことはできなくてもよかった
step-3	will	will	will		take off				を	脱（ぬ）	ぐ	だろう
	will	will	will	not	take off				を	脱（ぬ）	が	ないだろう
	will	will	will	be	taking off				を	脱（ぬ）	い	でいるだろう
	will	will	will	not be	taking off				を	脱（ぬ）	い	でいないだろう
	will	will	will	be able to	take off				を	脱（ぬ）	ぐ	ことができるだろう
	will	will	will	not be able to	take off				を	脱（ぬ）	ぐ	ことはできないだろう
	may	may	may		take off				を	脱（ぬ）	ぐ	かもしれない
	may	may	may	not	take off				を	脱（ぬ）	が	ないかもしれない
	may	may	may	be	taking off				を	脱（ぬ）	い	でいるかもしれない
	may	may	may	not be	taking off				を	脱（ぬ）	い	でいないかもしれない
	may	may	may	be able to	take off				を	脱（ぬ）	ぐ	ことができるかもしれない
	may	may	may	not be able to	take off				を	脱（ぬ）	ぐ	ことはできないかもしれない
	can	can	can		take off				を	脱（ぬ）	ぐ	ことができる
	can	can	can	not	take off				を	脱（ぬ）	ぐ	ことはできない
	should	should	should		take off				を	脱（ぬ）	ぐ	ほうがいい
	should	should	should	not	take off				を	脱（ぬ）	が	ないほうがいい
	should	should	should	be	taking off				を	脱（ぬ）	い	でいるほうがいい
	should	should	should	not be	taking off				を	脱（ぬ）	い	でいないほうがいい
	should	should	should	be able to	take off				を	脱（ぬ）	ぐ	ことができるほうがいい
	should	should	should	not be able to	take off				を	脱（ぬ）	ぐ	ことはできないほうがいい
	should	should	should		take off				を	脱（ぬ）	ぐ	はずだ
	should	should	should	not	take off				を	脱（ぬ）	が	ないはずだ
	should	should	should	be	taking off				を	脱（ぬ）	い	でいるはずだ
	should	should	should	not be	taking off				を	脱（ぬ）	い	でいないはずだ
	should	should	should	be able to	take off				を	脱（ぬ）	ぐ	ことができるはずだ
	should	should	should	not be able to	take off				を	脱（ぬ）	ぐ	ことはできるはずがない
	had better	had better	had better		take off				を	脱（ぬ）	ぐ	べきだ
	had better	had better	had better	not	take off				を	脱（ぬ）	ぐ	べきではない
	must	must	must		take off				を	脱（ぬ）	ぐ	にちがいない
	must	must	must	not	take off				を	脱（ぬ）	い	ではいけない
	must	must	must	be	taking off				を	脱（ぬ）	い	でいるにちがいない
	must	must	must	not be	taking off				を	脱（ぬ）	い	でいてはいけない
	must	must	must	be able to	take off				を	脱（ぬ）	ぐ	ことができるにちがいない
	must	must	must	not be able to	take off				を	脱（ぬ）	ぐ	ことはできてはいけない
	will	will	will	have to	take off				を	脱（ぬ）	が	なければいけないだろう
	will	will	will	not have to	take off				を	脱（ぬ）	が	なくてもいいだろう
	will	will	will	have to be	taking off				を	脱（ぬ）	い	でいなければいけないだろう
	will	will	will	not have to be	taking off				を	脱（ぬ）	い	でいなくてもいいだろう
	will	will	will	have to be able to	take off				を	脱（ぬ）	ぐ	ことができなければいけないだろう
	will	will	will	not have to be able to	take off				を	脱（ぬ）	ぐ	ことはできなくてもいいだろう
	may	may	may	have to	take off				を	脱（ぬ）	が	なければいけないかもしれない
	may	may	may	not have to	take off				を	脱（ぬ）	が	なくてもいいかもしれない
	may	may	may	have to be	taking off				を	脱（ぬ）	い	でいなければいけないかもしれない
	may	may	may	not have to be	taking off				を	脱（ぬ）	い	でいなくてもいいかもしれない
	may	may	may	have to be able to	take off				を	脱（ぬ）	ぐ	ことができなければいけないかもしれない
	may	may	may	not have to be able to	take off				を	脱（ぬ）	ぐ	ことはできなくてもいいかもしれない
step-4	have	has	have		taken off				を	脱（ぬ）	い	たことがある
	have	has	have	not	taken off				を	脱（ぬ）	い	だことはない
	have	has	have	been	taking off			（ずっと）	を	脱（ぬ）	い	でいる
	have	has	have	not been	taking off			（ずっと）	を	脱（ぬ）	い	でいない
	have	has	have		taken off		already	すでに	を	脱（ぬ）	い	でいる
	have	has	have	not	taken off		yet	まだ	を	脱（ぬ）	い	でいない
	had	had	had		taken off		before that	それ以前（いぜん）	を	脱（ぬ）	い	だことがあった
	had	had	had	not	taken off		before that	それ以前（いぜん）	を	脱（ぬ）	い	だことはなかった
	had	had	had	been	taking off		till then	それまでずっと	を	脱（ぬ）	い	でいた
	had	had	had	not been	taking off		till then	それまでずっと	を	脱（ぬ）	い	でいなかった
	had	had	had		taken off		already	すでに	を	脱（ぬ）	い	でいた
	had	had	had	not	taken off		yet	まだ	を	脱（ぬ）	い	でいなかった
