step-1	make up for	makes up for	make up for						を	補（おぎな）	う
	do	does	do	not	make up for				を	補（おぎな）	わ	ない
	made up for	made up for	made up for						を	補（おぎな）	っ	た
	did	did	did	not	make up for				を	補（おぎな）	わ	なかった
	am	is	are		making up for				を	補（おぎな）	っ	ている
	am	is	are	not	making up for				を	補（おぎな）	っ	ていない
	was	was	were		making up for				を	補（おぎな）	っ	ていた
	was	was	were	not	making up for				を	補（おぎな）	っ	ていなかった
step-2	am	is	are	going to	make up for				を	補（おぎな）	う	予定（よてい）だ
	am	is	are	not going to	make up for				を	補（おぎな）	う	予定（よてい）ではない
	was	was	were	going to	make up for				を	補（おぎな）	う	予定（よてい）だった
	was	was	were	not going to	make up for				を	補（おぎな）	う	予定（よてい）ではなかった
	am	is	are	able to	make up for				を	補（おぎな）	う	ことができる
	am	is	are	not able to	make up for				を	補（おぎな）	う	ことはできない
	was	was	were	able to	make up for				を	補（おぎな）	う	ことができた
	was	was	were	not able to	make up for				を	補（おぎな）	う	ことはできなかった
	could	could	could	not	make up for				を	補（おぎな）	う	ことはできなかった
	want	wants	want	to	make up for				を	補（おぎな）	い	たい
	do	does	do	not want to	make up for				を	補（おぎな）	い	たくない
	wanted  	wanted  	wanted	to	make up for				を	補（おぎな）	い	たかった
	did	did	did	not want to	make up for				を	補（おぎな）	い	たくなかった
	want	wants	want	to be	making up for				を	補（おぎな）	っ	ていたい
	do	does	do	not want to be	making up for				を	補（おぎな）	っ	ていたくない
	wanted  	wanted  	wanted	to be	making up for				を	補（おぎな）	っ	ていたかった
	did	did	did	not want to be	making up for				を	補（おぎな）	っ	ていたくなかった
	want	wants	want	to be able to	make up for				を	補（おぎな）	う	ことができるようになりたい
	do	does	do	not want to be able to	make up for				を	補（おぎな）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	make up for				を	補（おぎな）	う	ことができるようになりたかった
	did	did	did	not want to be able to	make up for				を	補（おぎな）	う	ことはできるようになりたくなかった
	have to	has to	have to		make up for				を	補（おぎな）	わ	なければいけない
	do	does	do	not have to	make up for				を	補（おぎな）	わ	なくてもいい
	have to	has to	have to	be	making up for				を	補（おぎな）	っ	ていなければいけない
