step-1	cover	covers	cover						を	覆（おお）	う
	do	does	do	not	cover				を	覆（おお）	わ	ない
	covered	covered	covered						を	覆（おお）	っ	た
	did	did	did	not	cover				を	覆（おお）	わ	なかった
	am	is	are		covering				を	覆（おお）	っ	ている
	am	is	are	not	covering				を	覆（おお）	っ	ていない
	was	was	were		covering				を	覆（おお）	っ	ていた
	was	was	were	not	covering				を	覆（おお）	っ	ていなかった
step-2	am	is	are	going to	cover				を	覆（おお）	う	予定（よてい）だ
	am	is	are	not going to	cover				を	覆（おお）	う	予定（よてい）ではない
	was	was	were	going to	cover				を	覆（おお）	う	予定（よてい）だった
	was	was	were	not going to	cover				を	覆（おお）	う	予定（よてい）ではなかった
	am	is	are	able to	cover				を	覆（おお）	う	ことができる
	am	is	are	not able to	cover				を	覆（おお）	う	ことはできない
	was	was	were	able to	cover				を	覆（おお）	う	ことができた
	was	was	were	not able to	cover				を	覆（おお）	う	ことはできなかった
	could	could	could	not	cover				を	覆（おお）	う	ことはできなかった
	want	wants	want	to	cover				を	覆（おお）	い	たい
	do	does	do	not want to	cover				を	覆（おお）	い	たくない
	wanted  	wanted  	wanted	to	cover				を	覆（おお）	い	たかった
	did	did	did	not want to	cover				を	覆（おお）	い	たくなかった
	want	wants	want	to be	covering				を	覆（おお）	っ	ていたい
	do	does	do	not want to be	covering				を	覆（おお）	っ	ていたくない
	wanted  	wanted  	wanted	to be	covering				を	覆（おお）	っ	ていたかった
	did	did	did	not want to be	covering				を	覆（おお）	っ	ていたくなかった
	want	wants	want	to be able to	cover				を	覆（おお）	う	ことができるようになりたい
	do	does	do	not want to be able to	cover				を	覆（おお）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	cover				を	覆（おお）	う	ことができるようになりたかった
	did	did	did	not want to be able to	cover				を	覆（おお）	う	ことはできるようになりたくなかった
	have to	has to	have to		cover				を	覆（おお）	わ	なければいけない
	do	does	do	not have to	cover				を	覆（おお）	わ	なくてもいい
	have to	has to	have to	be	covering				を	覆（おお）	っ	ていなければいけない
	do	does	do	not have to be	covering				を	覆（おお）	っ	ていなくてもいい
	have to	has to	have to	be able to	cover				を	覆（おお）	う	ことができなければいけない
	do	does	do	not have to be able to	cover				を	覆（おお）	う	ことはできなくてもいい
	had to	had to	had to		cover				を	覆（おお）	わ	なければいけなかった
	did	did	did	not have to	cover				を	覆（おお）	わ	なくてもよかった
	had to	had to	had to	be	covering				を	覆（おお）	っ	ていなければいけなかった
	did	did	did	not have to be	covering				を	覆（おお）	っ	ていなくてもよかった
	had to	had to	had to	be able to	cover				を	覆（おお）	う	ことができなければいけなかった
	did	did	did	not have to be able to	cover				を	覆（おお）	う	ことはできなくてもよかった
step-3	will	will	will		cover				を	覆（おお）	う	だろう
	will	will	will	not	cover				を	覆（おお）	わ	ないだろう
	will	will	will	be	covering				を	覆（おお）	っ	ているだろう
	will	will	will	not be	covering				を	覆（おお）	っ	ていないだろう
	will	will	will	be able to	cover				を	覆（おお）	う	ことができるだろう
	will	will	will	not be able to	cover				を	覆（おお）	う	ことはできないだろう
	may	may	may		cover				を	覆（おお）	う	かもしれない
	may	may	may	not	cover				を	覆（おお）	わ	ないかもしれない
	may	may	may	be	covering				を	覆（おお）	っ	ているかもしれない
	may	may	may	not be	covering				を	覆（おお）	っ	ていないかもしれない
	may	may	may	be able to	cover				を	覆（おお）	う	ことができるかもしれない
	may	may	may	not be able to	cover				を	覆（おお）	う	ことはできないかもしれない
	can	can	can		cover				を	覆（おお）	う	ことができる
	can	can	can	not	cover				を	覆（おお）	う	ことはできない
	should	should	should		cover				を	覆（おお）	う	ほうがいい
	should	should	should	not	cover				を	覆（おお）	わ	ないほうがいい
	should	should	should	be	covering				を	覆（おお）	っ	ているほうがいい
	should	should	should	not be	covering				を	覆（おお）	っ	ていないほうがいい
	should	should	should	be able to	cover				を	覆（おお）	う	ことができるほうがいい
