step-1	untie	unties	untie						を	解（ほど）	く
	do	does	do	not	untie				を	解（ほど）	か	ない
	untied	untied	untied						を	解（ほど）	い	た
	did	did	did	not	untie				を	解（ほど）	か	なかった
	am	is	are		untying				を	解（ほど）	い	ている
	am	is	are	not	untying				を	解（ほど）	い	ていない
	was	was	were		untying				を	解（ほど）	い	ていた
	was	was	were	not	untying				を	解（ほど）	い	ていなかった
step-2	am	is	are	going to	untie				を	解（ほど）	く	予定（よてい）だ
	am	is	are	not going to	untie				を	解（ほど）	く	予定（よてい）ではない
	was	was	were	going to	untie				を	解（ほど）	く	予定（よてい）だった
	was	was	were	not going to	untie				を	解（ほど）	く	予定（よてい）ではなかった
	am	is	are	able to	untie				を	解（ほど）	く	ことができる
	am	is	are	not able to	untie				を	解（ほど）	く	ことはできない
	was	was	were	able to	untie				を	解（ほど）	く	ことができた
	was	was	were	not able to	untie				を	解（ほど）	く	ことはできなかった
	could	could	could	not	untie				を	解（ほど）	く	ことはできなかった
	want	wants	want	to	untie				を	解（ほど）	き	たい
	do	does	do	not want to	untie				を	解（ほど）	き	たくない
	wanted  	wanted  	wanted	to	untie				を	解（ほど）	き	たかった
	did	did	did	not want to	untie				を	解（ほど）	き	たくなかった
	want	wants	want	to be	untying				を	解（ほど）	い	ていたい
	do	does	do	not want to be	untying				を	解（ほど）	い	ていたくない
	wanted  	wanted  	wanted	to be	untying				を	解（ほど）	い	ていたかった
	did	did	did	not want to be	untying				を	解（ほど）	い	ていたくなかった
	want	wants	want	to be able to	untie				を	解（ほど）	く	ことができるようになりたい
	do	does	do	not want to be able to	untie				を	解（ほど）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	untie				を	解（ほど）	く	ことができるようになりたかった
	did	did	did	not want to be able to	untie				を	解（ほど）	く	ことはできるようになりたくなかった
	have to	has to	have to		untie				を	解（ほど）	か	なければいけない
	do	does	do	not have to	untie				を	解（ほど）	か	なくてもいい
	have to	has to	have to	be	untying				を	解（ほど）	い	ていなければいけない
	do	does	do	not have to be	untying				を	解（ほど）	い	ていなくてもいい
	have to	has to	have to	be able to	untie				を	解（ほど）	く	ことができなければいけない
	do	does	do	not have to be able to	untie				を	解（ほど）	く	ことはできなくてもいい
	had to	had to	had to		untie				を	解（ほど）	か	なければいけなかった
	did	did	did	not have to	untie				を	解（ほど）	か	なくてもよかった
	had to	had to	had to	be	untying				を	解（ほど）	い	ていなければいけなかった
	did	did	did	not have to be	untying				を	解（ほど）	い	ていなくてもよかった
	had to	had to	had to	be able to	untie				を	解（ほど）	く	ことができなければいけなかった
	did	did	did	not have to be able to	untie				を	解（ほど）	く	ことはできなくてもよかった
step-3	will	will	will		untie				を	解（ほど）	く	だろう
	will	will	will	not	untie				を	解（ほど）	か	ないだろう
	will	will	will	be	untying				を	解（ほど）	い	ているだろう
	will	will	will	not be	untying				を	解（ほど）	い	ていないだろう
	will	will	will	be able to	untie				を	解（ほど）	く	ことができるだろう
	will	will	will	not be able to	untie				を	解（ほど）	く	ことはできないだろう
	may	may	may		untie				を	解（ほど）	く	かもしれない
