step-1	buy	buys	buy						を	買（か）	う
	do	does	do	not	buy				を	買（か）	わ	ない
	bought	bought	bought						を	買（か）	っ	た
	did	did	did	not	buy				を	買（か）	わ	なかった
	am	is	are		buying				を	買（か）	っ	ている
	am	is	are	not	buying				を	買（か）	っ	ていない
	was	was	were		buying				を	買（か）	っ	ていた
	was	was	were	not	buying				を	買（か）	っ	ていなかった
step-2	am	is	are	going to	buy				を	買（か）	う	予定（よてい）だ
	am	is	are	not going to	buy				を	買（か）	う	予定（よてい）ではない
	was	was	were	going to	buy				を	買（か）	う	予定（よてい）だった
	was	was	were	not going to	buy				を	買（か）	う	予定（よてい）ではなかった
	am	is	are	able to	buy				を	買（か）	う	ことができる
	am	is	are	not able to	buy				を	買（か）	う	ことはできない
	was	was	were	able to	buy				を	買（か）	う	ことができた
	was	was	were	not able to	buy				を	買（か）	う	ことはできなかった
	could	could	could	not	buy				を	買（か）	う	ことはできなかった
	want	wants	want	to	buy				を	買（か）	い	たい
	do	does	do	not want to	buy				を	買（か）	い	たくない
	wanted  	wanted  	wanted	to	buy				を	買（か）	い	たかった
	did	did	did	not want to	buy				を	買（か）	い	たくなかった
	want	wants	want	to be	buying				を	買（か）	っ	ていたい
	do	does	do	not want to be	buying				を	買（か）	っ	ていたくない
	wanted  	wanted  	wanted	to be	buying				を	買（か）	っ	ていたかった
	did	did	did	not want to be	buying				を	買（か）	っ	ていたくなかった
	want	wants	want	to be able to	buy				を	買（か）	う	ことができるようになりたい
	do	does	do	not want to be able to	buy				を	買（か）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	buy				を	買（か）	う	ことができるようになりたかった
	did	did	did	not want to be able to	buy				を	買（か）	う	ことはできるようになりたくなかった
	have to	has to	have to		buy				を	買（か）	わ	なければいけない
	do	does	do	not have to	buy				を	買（か）	わ	なくてもいい
	have to	has to	have to	be	buying				を	買（か）	っ	ていなければいけない
	do	does	do	not have to be	buying				を	買（か）	っ	ていなくてもいい
	have to	has to	have to	be able to	buy				を	買（か）	う	ことができなければいけない
	do	does	do	not have to be able to	buy				を	買（か）	う	ことはできなくてもいい
	had to	had to	had to		buy				を	買（か）	わ	なければいけなかった
	did	did	did	not have to	buy				を	買（か）	わ	なくてもよかった
	had to	had to	had to	be	buying				を	買（か）	っ	ていなければいけなかった
	did	did	did	not have to be	buying				を	買（か）	っ	ていなくてもよかった
	had to	had to	had to	be able to	buy				を	買（か）	う	ことができなければいけなかった
	did	did	did	not have to be able to	buy				を	買（か）	う	ことはできなくてもよかった
step-3	will	will	will		buy				を	買（か）	う	だろう
	will	will	will	not	buy				を	買（か）	わ	ないだろう
	will	will	will	be	buying				を	買（か）	っ	ているだろう
	will	will	will	not be	buying				を	買（か）	っ	ていないだろう
	will	will	will	be able to	buy				を	買（か）	う	ことができるだろう
	will	will	will	not be able to	buy				を	買（か）	う	ことはできないだろう
	may	may	may		buy				を	買（か）	う	かもしれない
	may	may	may	not	buy				を	買（か）	わ	ないかもしれない
	may	may	may	be	buying				を	買（か）	っ	ているかもしれない
	may	may	may	not be	buying				を	買（か）	っ	ていないかもしれない
	may	may	may	be able to	buy				を	買（か）	う	ことができるかもしれない
	may	may	may	not be able to	buy				を	買（か）	う	ことはできないかもしれない
	can	can	can		buy				を	買（か）	う	ことができる
	can	can	can	not	buy				を	買（か）	う	ことはできない
	should	should	should		buy				を	買（か）	う	ほうがいい
	should	should	should	not	buy				を	買（か）	わ	ないほうがいい
	should	should	should	be	buying				を	買（か）	っ	ているほうがいい
	should	should	should	not be	buying				を	買（か）	っ	ていないほうがいい
	should	should	should	be able to	buy				を	買（か）	う	ことができるほうがいい
	should	should	should	not be able to	buy				を	買（か）	う	ことはできないほうがいい
	should	should	should		buy				を	買（か）	う	はずだ
	should	should	should	not	buy				を	買（か）	わ	ないはずだ
	should	should	should	be	buying				を	買（か）	っ	ているはずだ
	should	should	should	not be	buying				を	買（か）	っ	ていないはずだ
	should	should	should	be able to	buy				を	買（か）	う	ことができるはずだ
	should	should	should	not be able to	buy				を	買（か）	う	ことはできるはずがない
	had better	had better	had better		buy				を	買（か）	う	べきだ
	had better	had better	had better	not	buy				を	買（か）	う	べきではない
	must	must	must		buy				を	買（か）	う	にちがいない
	must	must	must	not	buy				を	買（か）	っ	てはいけない
	must	must	must	be	buying				を	買（か）	っ	ているにちがいない
	must	must	must	not be	buying				を	買（か）	っ	ていてはいけない
	must	must	must	be able to	buy				を	買（か）	う	ことができるにちがいない
	must	must	must	not be able to	buy				を	買（か）	う	ことはできてはいけない
	will	will	will	have to	buy				を	買（か）	わ	なければいけないだろう
	will	will	will	not have to	buy				を	買（か）	わ	なくてもいいだろう
	will	will	will	have to be	buying				を	買（か）	っ	ていなければいけないだろう
	will	will	will	not have to be	buying				を	買（か）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	buy				を	買（か）	う	ことができなければいけないだろう
	will	will	will	not have to be able to	buy				を	買（か）	う	ことはできなくてもいいだろう
	may	may	may	have to	buy				を	買（か）	わ	なければいけないかもしれない
