step-1	get	gets	get		close	to			に	近（ちか）づ	く
	do	does	do	not	get close	to			に	近（ちか）づ	か	ない
	got	got	got		close	to			に	近（ちか）づ	い	た
	did	did	did	not	get close	to			に	近（ちか）づ	か	なかった
	am	is	are		getting close	to			に	近（ちか）づ	い	ている
	am	is	are	not	getting close	to			に	近（ちか）づ	い	ていない
	was	was	were		getting close	to			に	近（ちか）づ	い	ていた
	was	was	were	not	getting close	to			に	近（ちか）づ	い	ていなかった
step-2	am	is	are	going to	get close	to			に	近（ちか）づ	く	予定（よてい）だ
	am	is	are	not going to	get close	to			に	近（ちか）づ	く	予定（よてい）ではない
	was	was	were	going to	get close	to			に	近（ちか）づ	く	予定（よてい）だった
	was	was	were	not going to	get close	to			に	近（ちか）づ	く	予定（よてい）ではなかった
	am	is	are	able to	get close	to			に	近（ちか）づ	く	ことができる
	am	is	are	not able to	get close	to			に	近（ちか）づ	く	ことはできない
	was	was	were	able to	get close	to			に	近（ちか）づ	く	ことができた
	was	was	were	not able to	get close	to			に	近（ちか）づ	く	ことはできなかった
	could	could	could	not	get close	to			に	近（ちか）づ	く	ことはできなかった
	want	wants	want	to	get close	to			に	近（ちか）づ	き	たい
	do	does	do	not want to	get close	to			に	近（ちか）づ	き	たくない
	wanted  	wanted  	wanted	to	get close	to			に	近（ちか）づ	き	たかった
	did	did	did	not want to	get close	to			に	近（ちか）づ	き	たくなかった
	want	wants	want	to be	getting close	to			に	近（ちか）づ	い	ていたい
	do	does	do	not want to be	getting close	to			に	近（ちか）づ	い	ていたくない
	wanted  	wanted  	wanted	to be	getting close	to			に	近（ちか）づ	い	ていたかった
	did	did	did	not want to be	getting close	to			に	近（ちか）づ	い	ていたくなかった
	want	wants	want	to be able to	get close	to			に	近（ちか）づ	く	ことができるようになりたい
	do	does	do	not want to be able to	get close	to			に	近（ちか）づ	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	get close	to			に	近（ちか）づ	く	ことができるようになりたかった
	did	did	did	not want to be able to	get close	to			に	近（ちか）づ	く	ことはできるようになりたくなかった
	have to	has to	have to		get close	to			に	近（ちか）づ	か	なければいけない
	do	does	do	not have to	get close	to			に	近（ちか）づ	か	なくてもいい
	have to	has to	have to	be	getting close	to			に	近（ちか）づ	い	ていなければいけない
	do	does	do	not have to be	getting close	to			に	近（ちか）づ	い	ていなくてもいい
	have to	has to	have to	be able to	get close	to			に	近（ちか）づ	く	ことができなければいけない
	do	does	do	not have to be able to	get close	to			に	近（ちか）づ	く	ことはできなくてもいい
	had to	had to	had to		get close	to			に	近（ちか）づ	か	なければいけなかった
	did	did	did	not have to	get close	to			に	近（ちか）づ	か	なくてもよかった
	had to	had to	had to	be	getting close	to			に	近（ちか）づ	い	ていなければいけなかった
	did	did	did	not have to be	getting close	to			に	近（ちか）づ	い	ていなくてもよかった
	had to	had to	had to	be able to	get close	to			に	近（ちか）づ	く	ことができなければいけなかった
	did	did	did	not have to be able to	get close	to			に	近（ちか）づ	く	ことはできなくてもよかった
step-3	will	will	will		get close	to			に	近（ちか）づ	く	だろう
	will	will	will	not	get close	to			に	近（ちか）づ	か	ないだろう
	will	will	will	be	getting close	to			に	近（ちか）づ	い	ているだろう
	will	will	will	not be	getting close	to			に	近（ちか）づ	い	ていないだろう
	will	will	will	be able to	get close	to			に	近（ちか）づ	く	ことができるだろう
	will	will	will	not be able to	get close	to			に	近（ちか）づ	く	ことはできないだろう
	may	may	may		get close	to			に	近（ちか）づ	く	かもしれない
	may	may	may	not	get close	to			に	近（ちか）づ	か	ないかもしれない
	may	may	may	be	getting close	to			に	近（ちか）づ	い	ているかもしれない
