step-1	make	makes	make		a mistake	about			を	間違（まちが）	う
	do	does	do	not	make a mistake	about			を	間違（まちが）	わ	ない
	made	made	made		a mistake	about			を	間違（まちが）	っ	た
	did	did	did	not	make a mistake	about			を	間違（まちが）	わ	なかった
	am	is	are		making a mistake	about			を	間違（まちが）	っ	ている
	am	is	are	not	making a mistake	about			を	間違（まちが）	っ	ていない
	was	was	were		making a mistake	about			を	間違（まちが）	っ	ていた
	was	was	were	not	making a mistake	about			を	間違（まちが）	っ	ていなかった
step-2	am	is	are	going to	make a mistake	about			を	間違（まちが）	う	予定（よてい）だ
	am	is	are	not going to	make a mistake	about			を	間違（まちが）	う	予定（よてい）ではない
	was	was	were	going to	make a mistake	about			を	間違（まちが）	う	予定（よてい）だった
	was	was	were	not going to	make a mistake	about			を	間違（まちが）	う	予定（よてい）ではなかった
	am	is	are	able to	make a mistake	about			を	間違（まちが）	う	ことができる
	am	is	are	not able to	make a mistake	about			を	間違（まちが）	う	ことはできない
	was	was	were	able to	make a mistake	about			を	間違（まちが）	う	ことができた
	was	was	were	not able to	make a mistake	about			を	間違（まちが）	う	ことはできなかった
	could	could	could	not	make a mistake	about			を	間違（まちが）	う	ことはできなかった
	want	wants	want	to	make a mistake	about			を	間違（まちが）	い	たい
	do	does	do	not want to	make a mistake	about			を	間違（まちが）	い	たくない
	wanted  	wanted  	wanted	to	make a mistake	about			を	間違（まちが）	い	たかった
	did	did	did	not want to	make a mistake	about			を	間違（まちが）	い	たくなかった
	want	wants	want	to be	making a mistake	about			を	間違（まちが）	っ	ていたい
	do	does	do	not want to be	making a mistake	about			を	間違（まちが）	っ	ていたくない
	wanted  	wanted  	wanted	to be	making a mistake	about			を	間違（まちが）	っ	ていたかった
	did	did	did	not want to be	making a mistake	about			を	間違（まちが）	っ	ていたくなかった
	want	wants	want	to be able to	make a mistake	about			を	間違（まちが）	う	ことができるようになりたい
	do	does	do	not want to be able to	make a mistake	about			を	間違（まちが）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	make a mistake	about			を	間違（まちが）	う	ことができるようになりたかった
	did	did	did	not want to be able to	make a mistake	about			を	間違（まちが）	う	ことはできるようになりたくなかった
	have to	has to	have to		make a mistake	about			を	間違（まちが）	わ	なければいけない
	do	does	do	not have to	make a mistake	about			を	間違（まちが）	わ	なくてもいい
	have to	has to	have to	be	making a mistake	about			を	間違（まちが）	っ	ていなければいけない
	do	does	do	not have to be	making a mistake	about			を	間違（まちが）	っ	ていなくてもいい
	have to	has to	have to	be able to	make a mistake	about			を	間違（まちが）	う	ことができなければいけない
	do	does	do	not have to be able to	make a mistake	about			を	間違（まちが）	う	ことはできなくてもいい
	had to	had to	had to		make a mistake	about			を	間違（まちが）	わ	なければいけなかった
	did	did	did	not have to	make a mistake	about			を	間違（まちが）	わ	なくてもよかった
	had to	had to	had to	be	making a mistake	about			を	間違（まちが）	っ	ていなければいけなかった
	did	did	did	not have to be	making a mistake	about			を	間違（まちが）	っ	ていなくてもよかった
	had to	had to	had to	be able to	make a mistake	about			を	間違（まちが）	う	ことができなければいけなかった
	did	did	did	not have to be able to	make a mistake	about			を	間違（まちが）	う	ことはできなくてもよかった
step-3	will	will	will		make a mistake	about			を	間違（まちが）	う	だろう
	will	will	will	not	make a mistake	about			を	間違（まちが）	わ	ないだろう
	will	will	will	be	making a mistake	about			を	間違（まちが）	っ	ているだろう
	will	will	will	not be	making a mistake	about			を	間違（まちが）	っ	ていないだろう
	will	will	will	be able to	make a mistake	about			を	間違（まちが）	う	ことができるだろう
	will	will	will	not be able to	make a mistake	about			を	間違（まちが）	う	ことはできないだろう
	may	may	may		make a mistake	about			を	間違（まちが）	う	かもしれない
	may	may	may	not	make a mistake	about			を	間違（まちが）	わ	ないかもしれない
	may	may	may	be	making a mistake	about			を	間違（まちが）	っ	ているかもしれない
	may	may	may	not be	making a mistake	about			を	間違（まちが）	っ	ていないかもしれない
	may	may	may	be able to	make a mistake	about			を	間違（まちが）	う	ことができるかもしれない
	may	may	may	not be able to	make a mistake	about			を	間違（まちが）	う	ことはできないかもしれない
	can	can	can		make a mistake	about			を	間違（まちが）	う	ことができる
	can	can	can	not	make a mistake	about			を	間違（まちが）	う	ことはできない
	should	should	should		make a mistake	about			を	間違（まちが）	う	ほうがいい
	should	should	should	not	make a mistake	about			を	間違（まちが）	わ	ないほうがいい
	should	should	should	be	making a mistake	about			を	間違（まちが）	っ	ているほうがいい
	should	should	should	not be	making a mistake	about			を	間違（まちが）	っ	ていないほうがいい
	should	should	should	be able to	make a mistake	about			を	間違（まちが）	う	ことができるほうがいい
	should	should	should	not be able to	make a mistake	about			を	間違（まちが）	う	ことはできないほうがいい
	should	should	should		make a mistake	about			を	間違（まちが）	う	はずだ
	should	should	should	not	make a mistake	about			を	間違（まちが）	わ	ないはずだ
	should	should	should	be	making a mistake	about			を	間違（まちが）	っ	ているはずだ
	should	should	should	not be	making a mistake	about			を	間違（まちが）	っ	ていないはずだ
	should	should	should	be able to	make a mistake	about			を	間違（まちが）	う	ことができるはずだ
	should	should	should	not be able to	make a mistake	about			を	間違（まちが）	う	ことはできるはずがない
	had better	had better	had better		make a mistake	about			を	間違（まちが）	う	べきだ
	had better	had better	had better	not	make a mistake	about			を	間違（まちが）	う	べきではない
	must	must	must		make a mistake	about			を	間違（まちが）	う	にちがいない
