step-1	hire	hires	hire						を	雇（やと）	う
	do	does	do	not	hire				を	雇（やと）	わ	ない
	hired	hired	hired						を	雇（やと）	っ	た
	did	did	did	not	hire				を	雇（やと）	わ	なかった
	am	is	are		hiring				を	雇（やと）	っ	ている
	am	is	are	not	hiring				を	雇（やと）	っ	ていない
	was	was	were		hiring				を	雇（やと）	っ	ていた
	was	was	were	not	hiring				を	雇（やと）	っ	ていなかった
step-2	am	is	are	going to	hire				を	雇（やと）	う	予定（よてい）だ
	am	is	are	not going to	hire				を	雇（やと）	う	予定（よてい）ではない
	was	was	were	going to	hire				を	雇（やと）	う	予定（よてい）だった
	was	was	were	not going to	hire				を	雇（やと）	う	予定（よてい）ではなかった
	am	is	are	able to	hire				を	雇（やと）	う	ことができる
	am	is	are	not able to	hire				を	雇（やと）	う	ことはできない
	was	was	were	able to	hire				を	雇（やと）	う	ことができた
	was	was	were	not able to	hire				を	雇（やと）	う	ことはできなかった
	could	could	could	not	hire				を	雇（やと）	う	ことはできなかった
	want	wants	want	to	hire				を	雇（やと）	い	たい
	do	does	do	not want to	hire				を	雇（やと）	い	たくない
	wanted  	wanted  	wanted	to	hire				を	雇（やと）	い	たかった
	did	did	did	not want to	hire				を	雇（やと）	い	たくなかった
	want	wants	want	to be	hiring				を	雇（やと）	っ	ていたい
	do	does	do	not want to be	hiring				を	雇（やと）	っ	ていたくない
	wanted  	wanted  	wanted	to be	hiring				を	雇（やと）	っ	ていたかった
	did	did	did	not want to be	hiring				を	雇（やと）	っ	ていたくなかった
	want	wants	want	to be able to	hire				を	雇（やと）	う	ことができるようになりたい
	do	does	do	not want to be able to	hire				を	雇（やと）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	hire				を	雇（やと）	う	ことができるようになりたかった
	did	did	did	not want to be able to	hire				を	雇（やと）	う	ことはできるようになりたくなかった
	have to	has to	have to		hire				を	雇（やと）	わ	なければいけない
	do	does	do	not have to	hire				を	雇（やと）	わ	なくてもいい
	have to	has to	have to	be	hiring				を	雇（やと）	っ	ていなければいけない
	do	does	do	not have to be	hiring				を	雇（やと）	っ	ていなくてもいい
	have to	has to	have to	be able to	hire				を	雇（やと）	う	ことができなければいけない
	do	does	do	not have to be able to	hire				を	雇（やと）	う	ことはできなくてもいい
	had to	had to	had to		hire				を	雇（やと）	わ	なければいけなかった
	did	did	did	not have to	hire				を	雇（やと）	わ	なくてもよかった
	had to	had to	had to	be	hiring				を	雇（やと）	っ	ていなければいけなかった
	did	did	did	not have to be	hiring				を	雇（やと）	っ	ていなくてもよかった
	had to	had to	had to	be able to	hire				を	雇（やと）	う	ことができなければいけなかった
	did	did	did	not have to be able to	hire				を	雇（やと）	う	ことはできなくてもよかった
step-3	will	will	will		hire				を	雇（やと）	う	だろう
	will	will	will	not	hire				を	雇（やと）	わ	ないだろう
	will	will	will	be	hiring				を	雇（やと）	っ	ているだろう
	will	will	will	not be	hiring				を	雇（やと）	っ	ていないだろう
	will	will	will	be able to	hire				を	雇（やと）	う	ことができるだろう
	will	will	will	not be able to	hire				を	雇（やと）	う	ことはできないだろう
	may	may	may		hire				を	雇（やと）	う	かもしれない
	may	may	may	not	hire				を	雇（やと）	わ	ないかもしれない
	may	may	may	be	hiring				を	雇（やと）	っ	ているかもしれない
	may	may	may	not be	hiring				を	雇（やと）	っ	ていないかもしれない
	may	may	may	be able to	hire				を	雇（やと）	う	ことができるかもしれない
	may	may	may	not be able to	hire				を	雇（やと）	う	ことはできないかもしれない
	can	can	can		hire				を	雇（やと）	う	ことができる
	can	can	can	not	hire				を	雇（やと）	う	ことはできない
	should	should	should		hire				を	雇（やと）	う	ほうがいい
	should	should	should	not	hire				を	雇（やと）	わ	ないほうがいい
	should	should	should	be	hiring				を	雇（やと）	っ	ているほうがいい
	should	should	should	not be	hiring				を	雇（やと）	っ	ていないほうがいい
	should	should	should	be able to	hire				を	雇（やと）	う	ことができるほうがいい
	should	should	should	not be able to	hire				を	雇（やと）	う	ことはできないほうがいい
	should	should	should		hire				を	雇（やと）	う	はずだ
	should	should	should	not	hire				を	雇（やと）	わ	ないはずだ
	should	should	should	be	hiring				を	雇（やと）	っ	ているはずだ
	should	should	should	not be	hiring				を	雇（やと）	っ	ていないはずだ
	should	should	should	be able to	hire				を	雇（やと）	う	ことができるはずだ
	should	should	should	not be able to	hire				を	雇（やと）	う	ことはできるはずがない
	had better	had better	had better		hire				を	雇（やと）	う	べきだ
	had better	had better	had better	not	hire				を	雇（やと）	う	べきではない
	must	must	must		hire				を	雇（やと）	う	にちがいない
	must	must	must	not	hire				を	雇（やと）	っ	てはいけない
	must	must	must	be	hiring				を	雇（やと）	っ	ているにちがいない
	must	must	must	not be	hiring				を	雇（やと）	っ	ていてはいけない
	must	must	must	be able to	hire				を	雇（やと）	う	ことができるにちがいない
	must	must	must	not be able to	hire				を	雇（やと）	う	ことはできてはいけない
