step-1	wish	wishes	wish			for			を	願（ねが）	う
	do	does	do	not	wish	for			を	願（ねが）	わ	ない
	wished	wished	wished			for			を	願（ねが）	っ	た
	did	did	did	not	wish	for			を	願（ねが）	わ	なかった
step-2	am	is	are	going to	wish	for			を	願（ねが）	う	予定（よてい）だ
	am	is	are	not going to	wish	for			を	願（ねが）	う	予定（よてい）ではない
	was	was	were	going to	wish	for			を	願（ねが）	う	予定（よてい）だった
	was	was	were	not going to	wish	for			を	願（ねが）	う	予定（よてい）ではなかった
	am	is	are	able to	wish	for			を	願（ねが）	う	ことができる
	am	is	are	not able to	wish	for			を	願（ねが）	う	ことはできない
	was	was	were	able to	wish	for			を	願（ねが）	う	ことができた
	was	was	were	not able to	wish	for			を	願（ねが）	う	ことはできなかった
	could	could	could	not	wish	for			を	願（ねが）	う	ことはできなかった
	want	wants	want	to	wish	for			を	願（ねが）	い	たい
	do	does	do	not want to	wish	for			を	願（ねが）	い	たくない
	wanted  	wanted  	wanted	to	wish	for			を	願（ねが）	い	たかった
	did	did	did	not want to	wish	for			を	願（ねが）	い	たくなかった
	want	wants	want	to be able to	wish	for			を	願（ねが）	う	ことができるようになりたい
	do	does	do	not want to be able to	wish	for			を	願（ねが）	う	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	wish	for			を	願（ねが）	う	ことができるようになりたかった
	did	did	did	not want to be able to	wish	for			を	願（ねが）	う	ことはできるようになりたくなかった
	have to	has to	have to		wish	for			を	願（ねが）	わ	なければいけない
	do	does	do	not have to	wish	for			を	願（ねが）	わ	なくてもいい
	have to	has to	have to	be able to	wish	for			を	願（ねが）	う	ことができなければいけない
	do	does	do	not have to be able to	wish	for			を	願（ねが）	う	ことはできなくてもいい
	had to	had to	had to		wish	for			を	願（ねが）	わ	なければいけなかった
	did	did	did	not have to	wish	for			を	願（ねが）	わ	なくてもよかった
	had to	had to	had to	be able to	wish	for			を	願（ねが）	う	ことができなければいけなかった
	did	did	did	not have to be able to	wish	for			を	願（ねが）	う	ことはできなくてもよかった
step-3	will	will	will		wish	for			を	願（ねが）	う	だろう
	will	will	will	not	wish	for			を	願（ねが）	わ	ないだろう
	will	will	will	be able to	wish	for			を	願（ねが）	う	ことができるだろう
	will	will	will	not be able to	wish	for			を	願（ねが）	う	ことはできないだろう
	may	may	may		wish	for			を	願（ねが）	う	かもしれない
	may	may	may	not	wish	for			を	願（ねが）	わ	ないかもしれない
	may	may	may	be able to	wish	for			を	願（ねが）	う	ことができるかもしれない
	may	may	may	not be able to	wish	for			を	願（ねが）	う	ことはできないかもしれない
	can	can	can		wish	for			を	願（ねが）	う	ことができる
	can	can	can	not	wish	for			を	願（ねが）	う	ことはできない
