step-1	hold	holds	hold							（イベントなどを）開（ひら）	く
	do	does	do	not	hold					（イベントなどを）開（ひら）	か	ない
	held	held	held							（イベントなどを）開（ひら）	い	た
	did	did	did	not	hold					（イベントなどを）開（ひら）	か	なかった
	am	is	are		holding					（イベントなどを）開（ひら）	い	ている
	am	is	are	not	holding					（イベントなどを）開（ひら）	い	ていない
	was	was	were		holding					（イベントなどを）開（ひら）	い	ていた
	was	was	were	not	holding					（イベントなどを）開（ひら）	い	ていなかった
step-2	am	is	are	going to	hold					（イベントなどを）開（ひら）	く	予定（よてい）だ
	am	is	are	not going to	hold					（イベントなどを）開（ひら）	く	予定（よてい）ではない
	was	was	were	going to	hold					（イベントなどを）開（ひら）	く	予定（よてい）だった
	was	was	were	not going to	hold					（イベントなどを）開（ひら）	く	予定（よてい）ではなかった
	am	is	are	able to	hold					（イベントなどを）開（ひら）	く	ことができる
	am	is	are	not able to	hold					（イベントなどを）開（ひら）	く	ことはできない
	was	was	were	able to	hold					（イベントなどを）開（ひら）	く	ことができた
	was	was	were	not able to	hold					（イベントなどを）開（ひら）	く	ことはできなかった
	could	could	could	not	hold					（イベントなどを）開（ひら）	く	ことはできなかった
	want	wants	want	to	hold					（イベントなどを）開（ひら）	き	たい
	do	does	do	not want to	hold					（イベントなどを）開（ひら）	き	たくない
	wanted  	wanted  	wanted	to	hold					（イベントなどを）開（ひら）	き	たかった
	did	did	did	not want to	hold					（イベントなどを）開（ひら）	き	たくなかった
	want	wants	want	to be	holding					（イベントなどを）開（ひら）	い	ていたい
	do	does	do	not want to be	holding					（イベントなどを）開（ひら）	い	ていたくない
	wanted  	wanted  	wanted	to be	holding					（イベントなどを）開（ひら）	い	ていたかった
	did	did	did	not want to be	holding					（イベントなどを）開（ひら）	い	ていたくなかった
	want	wants	want	to be able to	hold					（イベントなどを）開（ひら）	く	ことができるようになりたい
	do	does	do	not want to be able to	hold					（イベントなどを）開（ひら）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	hold					（イベントなどを）開（ひら）	く	ことができるようになりたかった
	did	did	did	not want to be able to	hold					（イベントなどを）開（ひら）	く	ことはできるようになりたくなかった
	have to	has to	have to		hold					（イベントなどを）開（ひら）	か	なければいけない
	do	does	do	not have to	hold					（イベントなどを）開（ひら）	か	なくてもいい
	have to	has to	have to	be	holding					（イベントなどを）開（ひら）	い	ていなければいけない
	do	does	do	not have to be	holding					（イベントなどを）開（ひら）	い	ていなくてもいい
	have to	has to	have to	be able to	hold					（イベントなどを）開（ひら）	く	ことができなければいけない
	do	does	do	not have to be able to	hold					（イベントなどを）開（ひら）	く	ことはできなくてもいい
	had to	had to	had to		hold					（イベントなどを）開（ひら）	か	なければいけなかった
	did	did	did	not have to	hold					（イベントなどを）開（ひら）	か	なくてもよかった
	had to	had to	had to	be	holding					（イベントなどを）開（ひら）	い	ていなければいけなかった
	did	did	did	not have to be	holding					（イベントなどを）開（ひら）	い	ていなくてもよかった
	had to	had to	had to	be able to	hold					（イベントなどを）開（ひら）	く	ことができなければいけなかった
	did	did	did	not have to be able to	hold					（イベントなどを）開（ひら）	く	ことはできなくてもよかった
step-3	will	will	will		hold					（イベントなどを）開（ひら）	く	だろう
	will	will	will	not	hold					（イベントなどを）開（ひら）	か	ないだろう
	will	will	will	be	holding					（イベントなどを）開（ひら）	い	ているだろう
	will	will	will	not be	holding					（イベントなどを）開（ひら）	い	ていないだろう
	will	will	will	be able to	hold					（イベントなどを）開（ひら）	く	ことができるだろう
	will	will	will	not be able to	hold					（イベントなどを）開（ひら）	く	ことはできないだろう
	may	may	may		hold					（イベントなどを）開（ひら）	く	かもしれない
	may	may	may	not	hold					（イベントなどを）開（ひら）	か	ないかもしれない
	may	may	may	be	holding					（イベントなどを）開（ひら）	い	ているかもしれない
	may	may	may	not be	holding					（イベントなどを）開（ひら）	い	ていないかもしれない
	may	may	may	be able to	hold					（イベントなどを）開（ひら）	く	ことができるかもしれない
	may	may	may	not be able to	hold					（イベントなどを）開（ひら）	く	ことはできないかもしれない
	can	can	can		hold					（イベントなどを）開（ひら）	く	ことができる
	can	can	can	not	hold					（イベントなどを）開（ひら）	く	ことはできない
	should	should	should		hold					（イベントなどを）開（ひら）	く	ほうがいい
	should	should	should	not	hold					（イベントなどを）開（ひら）	か	ないほうがいい
	should	should	should	be	holding					（イベントなどを）開（ひら）	い	ているほうがいい
